date;US0003M Index;GB3 Govt;ted
2000-01-03;6,00125;5,411;0,59025
2000-01-04;6,04250;5,447;0,59550
2000-01-05;6,03000;5,425;0,60500
2000-01-06;6,03000;5,383;0,64700
2000-01-07;6,03000;5,380;0,65000
2000-01-10;6,02625;5,390;0,63625
2000-01-11;6,03000;5,426;0,60400
2000-01-12;6,03938;5,446;0,59338
2000-01-13;6,04000;5,403;0,63700
2000-01-14;6,04000;5,400;0,64000
2000-01-17;6,03625;5,399;0,63725
2000-01-18;6,03500;5,378;0,65700
2000-01-19;6,03750;5,326;0,71150
2000-01-20;6,04000;5,456;0,58400
2000-01-21;6,04000;5,464;0,57600
2000-01-24;6,04000;5,452;0,58800
2000-01-25;6,04000;5,562;0,47800
2000-01-26;6,04000;5,561;0,47900
2000-01-27;6,04000;5,602;0,43800
2000-01-28;6,04875;5,620;0,42875
2000-01-31;6,07750;5,692;0,38550
2000-02-01;6,09125;5,708;0,38325
2000-02-02;6,10000;5,645;0,45500
2000-02-03;6,09750;5,612;0,48550
2000-02-04;6,09000;5,662;0,42800
2000-02-07;6,10000;5,619;0,48100
2000-02-08;6,10000;5,677;0,42300
2000-02-09;6,10000;5,634;0,46600
2000-02-10;6,09875;5,654;0,44475
2000-02-11;6,09625;5,631;0,46525
2000-02-14;6,09000;5,619;0,47100
2000-02-15;6,09000;5,740;0,35000
2000-02-16;6,09000;5,728;0,36200
2000-02-17;6,09000;5,738;0,35200
2000-02-18;6,11000;5,745;0,36500
2000-02-21;6,11000;5,765;0,34500
2000-02-22;6,11000;5,764;0,34600
2000-02-23;6,11000;5,822;0,28800
2000-02-24;6,11000;5,801;0,30900
2000-02-25;6,10125;5,766;0,33525
2000-02-28;6,10125;5,828;0,27325
2000-02-29;6,10875;5,781;0,32775
2000-03-01;6,11000;5,770;0,34000
2000-03-02;6,11875;5,759;0,35975
2000-03-03;6,12000;5,819;0,30100
2000-03-06;6,12000;5,818;0,30200
2000-03-07;6,12688;5,834;0,29288
2000-03-08;6,13000;5,822;0,30800
2000-03-09;6,14000;5,832;0,30800
2000-03-10;6,14375;5,892;0,25175
2000-03-13;6,15000;5,870;0,28000
2000-03-14;6,16000;5,886;0,27400
2000-03-15;6,17250;5,864;0,30850
2000-03-16;6,19125;5,863;0,32825
2000-03-17;6,21000;5,871;0,33900
2000-03-20;6,22875;5,901;0,32775
2000-03-21;6,24125;5,918;0,32325
2000-03-22;6,24625;5,917;0,32925
2000-03-23;6,24750;5,884;0,36350
2000-03-24;6,25500;5,902;0,35300
2000-03-27;6,28000;5,849;0,43100
2000-03-28;6,28000;5,886;0,39400
2000-03-29;6,28000;5,885;0,39500
2000-03-30;6,29000;5,884;0,40600
2000-03-31;6,29000;5,871;0,41900
2000-04-03;6,29000;5,849;0,44100
2000-04-04;6,29000;5,876;0,41400
2000-04-05;6,27125;5,875;0,39625
2000-04-06;6,27125;5,905;0,36625
2000-04-07;6,28000;5,892;0,38800
2000-04-10;6,28000;5,849;0,43100
2000-04-11;6,28000;5,844;0,43600
2000-04-12;6,28375;5,822;0,46175
2000-04-13;6,28125;5,821;0,46025
2000-04-14;6,28125;5,777;0,50425
2000-04-17;6,28250;5,807;0,47550
2000-04-18;6,29250;5,813;0,47950
2000-04-19;6,31000;5,812;0,49800
2000-04-20;6,31813;5,798;0,52013
2000-04-21;6,31813;5,797;0,52113
2000-04-24;6,31813;5,765;0,55313
2000-04-25;6,33375;5,813;0,52075
2000-04-26;6,37500;5,749;0,62600
2000-04-27;6,39125;5,748;0,64325
2000-04-28;6,50250;5,829;0,67350
2000-05-01;6,50250;5,839;0,66350
2000-05-02;6,56875;5,918;0,65075
2000-05-03;6,60000;5,927;0,67300
2000-05-04;6,65250;5,916;0,73650
2000-05-05;6,67000;5,965;0,70500
2000-05-08;6,70000;6,048;0,65200
2000-05-09;6,71875;6,138;0,58075
2000-05-10;6,72000;6,168;0,55200
2000-05-11;6,72000;6,020;0,70000
2000-05-12;6,73375;6,132;0,60175
2000-05-15;6,76000;6,079;0,68100
2000-05-16;6,76125;6,211;0,55025
2000-05-17;6,80875;6,053;0,75575
2000-05-18;6,81875;5,895;0,92375
2000-05-19;6,82000;5,871;0,94900
2000-05-22;6,82000;5,870;0,95000
2000-05-23;6,82000;5,938;0,88200
2000-05-24;6,82000;5,906;0,91400
2000-05-25;6,82750;5,853;0,97450
2000-05-26;6,82625;5,828;0,99825
2000-05-29;6,82625;5,806;1,02025
2000-05-30;6,84000;5,764;1,07600
2000-05-31;6,86250;5,619;1,24350
2000-06-01;6,86875;5,701;1,16775
2000-06-02;6,85125;5,865;0,98625
2000-06-05;6,79250;5,875;0,91750
2000-06-06;6,79000;5,985;0,80500
2000-06-07;6,79750;5,890;0,90750
2000-06-08;6,80000;5,899;0,90100
2000-06-09;6,81000;5,907;0,90300
2000-06-12;6,81000;5,844;0,96600
2000-06-13;6,81000;5,907;0,90300
2000-06-14;6,79250;5,812;0,98050
2000-06-15;6,77750;5,853;0,92450
2000-06-16;6,77500;5,829;0,94600
2000-06-19;6,76188;5,786;0,97588
2000-06-20;6,76125;5,797;0,96425
2000-06-21;6,76500;5,796;0,96900
2000-06-22;6,77250;5,826;0,94650
2000-06-23;6,77000;5,844;0,92600
2000-06-26;6,77438;5,802;0,97238
2000-06-27;6,77500;5,807;0,96800
