"date","rate"
2018-01-01,NA
2018-01-02,6.552
2018-01-03,6.539
2018-01-04,6.527
2018-01-05,6.529
2018-01-06,6.529
2018-01-07,6.529
2018-01-08,6.549
2018-01-09,6.537
2018-01-10,6.547
2018-01-11,6.548
2018-01-12,6.529
2018-01-13,6.529
2018-01-14,6.529
2018-01-15,6.537
2018-01-16,6.525
2018-01-17,6.523
2018-01-18,6.531
2018-01-19,6.522
2018-01-20,6.522
2018-01-21,6.522
2018-01-22,6.521
2018-01-23,6.52
2018-01-24,6.513
2018-01-25,6.504
2018-01-26,6.51
2018-01-27,6.51
2018-01-28,6.51
2018-01-29,6.526
2018-01-30,6.512
2018-01-31,6.495
2018-02-01,6.514
2018-02-02,6.516
2018-02-03,6.516
2018-02-04,6.516
2018-02-05,6.524
2018-02-06,6.525
2018-02-07,6.509
2018-02-08,6.538
2018-02-09,6.537
2018-02-10,6.537
2018-02-11,6.537
2018-02-12,6.516
2018-02-13,6.526
2018-02-14,6.514
2018-02-15,6.496
2018-02-16,6.536
2018-02-17,6.536
2018-02-18,6.536
2018-02-19,6.519
2018-02-20,6.512
2018-02-21,6.552
2018-02-22,6.521
2018-02-23,6.527
2018-02-24,6.527
2018-02-25,6.527
2018-02-26,6.536
2018-02-27,6.549
2018-02-28,6.555
2018-03-01,6.53
2018-03-02,6.551
2018-03-03,6.551
2018-03-04,6.551
2018-03-05,6.549
2018-03-06,6.545
2018-03-07,6.542
2018-03-08,6.544
2018-03-09,6.551
2018-03-10,6.551
2018-03-11,6.551
2018-03-12,6.548
2018-03-13,6.554
2018-03-14,6.552
2018-03-15,6.507
2018-03-16,6.517
2018-03-17,6.517
2018-03-18,6.517
2018-03-19,6.51
2018-03-20,6.512
2018-03-21,6.512
2018-03-22,6.514
2018-03-23,6.5
2018-03-24,6.5
2018-03-25,6.5
2018-03-26,6.519
2018-03-27,6.529
2018-03-28,6.5
2018-03-29,6.303
2018-03-30,6.303
2018-03-31,6.303
2018-04-01,6.303
2018-04-02,6.303
2018-04-03,6.256
2018-04-04,6.269
2018-04-05,6.259
2018-04-06,6.254
2018-04-07,6.254
2018-04-08,6.254
2018-04-09,6.282
2018-04-10,6.273
2018-04-11,6.274
2018-04-12,6.273
2018-04-13,6.266
2018-04-14,6.266
2018-04-15,6.266
2018-04-16,6.254
2018-04-17,6.26
2018-04-18,6.252
2018-04-19,6.263
2018-04-20,6.239
2018-04-21,6.239
2018-04-22,6.239
2018-04-23,6.266
2018-04-24,6.266
2018-04-25,6.276
2018-04-26,6.279
2018-04-27,6.279
2018-04-28,6.279
2018-04-29,6.279
2018-04-30,6.315
2018-05-01,6.315
2018-05-02,6.275
2018-05-03,6.283
2018-05-04,6.281
2018-05-05,6.281
2018-05-06,6.281
2018-05-07,6.267
2018-05-08,6.29
2018-05-09,6.255
2018-05-10,6.281
2018-05-11,6.281
2018-05-12,6.281
2018-05-13,6.281
2018-05-14,6.271
2018-05-15,6.27
2018-05-16,6.275
2018-05-17,6.278
2018-05-18,6.272
2018-05-19,6.272
2018-05-20,6.272
2018-05-21,6.271
2018-05-22,6.272
2018-05-23,6.262
2018-05-24,6.274
2018-05-25,6.239
2018-05-26,6.239
2018-05-27,6.239
2018-05-28,6.26
2018-05-29,6.259
2018-05-30,6.259
2018-05-31,6.268
2018-06-01,6.263
2018-06-02,6.263
2018-06-03,6.263
2018-06-04,6.245
2018-06-05,6.244
2018-06-06,6.246
2018-06-07,6.252
2018-06-08,6.286
2018-06-09,6.286
2018-06-10,6.286
2018-06-11,6.284
2018-06-12,6.273
2018-06-13,6.275
2018-06-14,6.269
2018-06-15,6.267
2018-06-16,6.267
2018-06-17,6.267
2018-06-18,6.266
2018-06-19,6.262
2018-06-20,6.264
2018-06-21,6.249
2018-06-22,6.249
2018-06-23,6.249
2018-06-24,6.249
2018-06-25,6.272
2018-06-26,6.256
2018-06-27,6.261
2018-06-28,6.258
2018-06-29,6.265
2018-06-30,6.265
2018-07-01,6.265
2018-07-02,6.276
2018-07-03,6.285
2018-07-04,6.279
2018-07-05,6.286
2018-07-06,6.296
2018-07-07,6.296
2018-07-08,6.296
2018-07-09,6.308
2018-07-10,6.268
2018-07-11,6.265
2018-07-12,6.279
2018-07-13,6.277
2018-07-14,6.277
2018-07-15,6.277
2018-07-16,6.28
2018-07-17,6.267
2018-07-18,6.255
2018-07-19,6.283
2018-07-20,6.27
2018-07-21,6.27
2018-07-22,6.27
2018-07-23,6.266
2018-07-24,6.253
2018-07-25,6.276
2018-07-26,6.274
2018-07-27,6.26
2018-07-28,6.26
2018-07-29,6.26
2018-07-30,6.252
2018-07-31,6.262
2018-08-01,6.251
2018-08-02,6.271
2018-08-03,6.266
2018-08-04,6.266
2018-08-05,6.266
2018-08-06,6.257
2018-08-07,6.253
2018-08-08,6.271
2018-08-09,6.271
2018-08-10,6.266
2018-08-11,6.266
2018-08-12,6.266
2018-08-13,6.277
2018-08-14,6.276
2018-08-15,6.264
2018-08-16,6.271
2018-08-17,6.262
2018-08-18,6.262
2018-08-19,6.262
2018-08-20,6.261
2018-08-21,6.238
2018-08-22,6.248
2018-08-23,6.253
2018-08-24,6.247
