"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X30Y"
"2000-01-03";"Mid Yield";NA;NA;5,947;6,25;6,46;NA;6,683;6,78;6,885;6,95;6,977;6,983;NA;7,047;NA;NA
"2000-01-04";"Mid Yield";NA;NA;6,067;6,425;6,654;NA;6,864;6,967;7,042;7,113;7,142;7,148;NA;7,209;NA;NA
"2000-01-05";"Mid Yield";NA;NA;6,021;6,364;6,591;NA;6,794;6,883;6,937;7,005;7,03;7,03;NA;7,088;NA;NA
"2000-01-06";"Mid Yield";NA;NA;6,039;6,414;6,659;NA;6,886;6,97;7,047;7,11;7,133;7,133;NA;7,19;NA;NA
"2000-01-07";"Mid Yield";NA;NA;6,051;6,445;6,685;NA;6,899;6,974;7,035;7,097;7,118;7,119;NA;7,17;NA;NA
"2000-01-10";"Mid Yield";NA;NA;6,084;6,482;6,721;NA;6,929;6,996;7,045;7,107;7,125;7,125;NA;7,177;NA;NA
"2000-01-11";"Mid Yield";NA;NA;6,112;6,52;6,762;NA;6,97;7,041;7,112;7,17;7,184;7,184;NA;7,232;NA;NA
"2000-01-12";"Mid Yield";NA;NA;6,145;6,562;6,807;NA;7,017;7,088;7,146;7,215;7,229;7,229;NA;7,274;NA;NA
"2000-01-13";"Mid Yield";NA;NA;6,126;6,549;6,798;NA;7,006;7,08;7,14;7,205;7,218;7,221;NA;7,262;NA;NA
"2000-01-14";"Mid Yield";NA;NA;6,134;6,549;6,794;NA;7;7,067;7,131;7,196;7,212;7,212;NA;7,251;NA;NA
"2000-01-17";"Mid Yield";NA;NA;6,144;6,572;6,818;NA;7,027;7,092;7,152;7,216;7,232;7,234;NA;7,276;NA;NA
"2000-01-18";"Mid Yield";NA;NA;6,118;6,538;6,795;NA;6,999;7,066;7,131;7,193;7,208;7,21;NA;7,242;NA;NA
"2000-01-19";"Mid Yield";NA;NA;6,146;6,578;6,845;NA;7,051;7,127;7,192;7,255;7,268;7,27;NA;7,31;NA;NA
"2000-01-20";"Mid Yield";NA;NA;6,114;6,548;6,824;NA;7,037;7,095;7,163;7,232;7,237;7,249;NA;7,277;NA;NA
"2000-01-21";"Mid Yield";NA;NA;6,134;6,571;6,852;NA;7,051;7,122;7,191;7,259;7,272;7,274;NA;7,32;NA;NA
