"date";"type";"X1M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y"
"2007-03-27";"Mid Yield";NA;12,443;12,245;NA;11,972;11,766;NA;NA;NA;NA;NA;NA;NA;NA
"2007-03-28";"Mid Yield";NA;12,453;12,262;NA;11,998;11,796;NA;NA;NA;NA;NA;NA;NA;NA
"2007-03-29";"Mid Yield";NA;12,419;12,235;NA;11,97;11,769;NA;NA;NA;NA;NA;NA;NA;NA
"2007-03-30";"Mid Yield";NA;12,373;12,209;NA;11,931;11,717;11,707;NA;11,745;NA;11,774;NA;NA;11,752
"2007-04-02";"Mid Yield";NA;12,368;12,194;NA;11,908;11,676;11,675;NA;11,69;NA;11,71;NA;NA;11,685
"2007-04-03";"Mid Yield";NA;12,336;12,171;NA;11,885;11,662;11,635;NA;11,655;NA;11,646;NA;NA;11,647
"2007-04-04";"Mid Yield";NA;12,35;12,175;NA;11,887;11,676;11,643;NA;11,643;NA;11,643;NA;NA;11,64
"2007-04-05";"Mid Yield";NA;12,304;12,14;NA;11,889;11,669;11,642;NA;11,615;NA;11,63;NA;NA;11,621
"2007-04-06";"Mid Yield";NA;12,304;12,14;NA;11,889;11,669;11,633;NA;11,615;NA;11,632;NA;NA;11,62
"2007-04-09";"Mid Yield";NA;12,317;12,143;NA;11,865;11,629;11,578;NA;11,539;NA;11,535;NA;NA;11,529
"2007-04-10";"Mid Yield";NA;12,325;12,13;NA;11,826;11,599;11,548;NA;11,504;NA;11,491;NA;NA;11,46
"2007-04-11";"Mid Yield";NA;12,362;12,146;NA;11,842;11,645;11,586;NA;11,545;NA;11,513;NA;NA;11,504
"2007-04-12";"Mid Yield";NA;12,35;12,157;NA;11,888;11,679;11,588;NA;11,52;NA;11,494;NA;NA;11,481
"2007-04-13";"Mid Yield";NA;12,339;12,159;NA;11,845;11,62;11,513;NA;11,407;NA;11,373;NA;NA;11,321
"2007-04-16";"Mid Yield";NA;12,326;12,134;NA;11,807;11,551;11,41;NA;11,284;NA;11,232;NA;NA;11,189
"2007-04-17";"Mid Yield";NA;12,324;12,127;NA;11,788;11,529;11,356;NA;11,222;NA;11,147;NA;NA;11,136
