"date";"type";"X1M";"X2M";"X3M";"X4M";"X5M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2000-01-03";"Mid Yield";NA;NA;NA;NA;NA;4,98;5,609;5,996;NA;6,29;6,286;6,35;6,365;NA;6,346;6,348;NA;6,403;NA;6,361
"2000-01-04";"Mid Yield";NA;NA;NA;NA;NA;5,032;5,584;6,047;NA;6,331;6,327;6,393;6,407;NA;6,395;6,394;NA;6,445;NA;6,415
"2000-01-05";"Mid Yield";NA;NA;4,774;NA;NA;5,012;5,609;6,127;NA;6,412;6,413;6,488;6,486;NA;6,479;6,471;NA;6,524;NA;6,487
"2000-01-06";"Mid Yield";NA;NA;4,959;NA;NA;NA;NA;6,067;NA;6,351;6,352;6,428;6,427;NA;6,415;6,408;NA;6,456;NA;6,416
"2000-01-07";"Mid Yield";NA;NA;4,894;NA;NA;NA;NA;6,071;NA;6,345;6,345;6,419;6,42;NA;6,409;6,403;NA;6,451;NA;6,414
"2000-01-10";"Mid Yield";NA;NA;4,991;NA;NA;NA;NA;6,08;NA;6,355;6,355;6,427;6,429;NA;6,418;6,414;NA;6,465;NA;6,428
"2000-01-11";"Mid Yield";NA;NA;4,952;NA;NA;NA;NA;6,136;NA;6,412;6,415;6,487;6,495;NA;6,484;6,48;NA;6,506;NA;6,468
"2000-01-12";"Mid Yield";NA;NA;4,953;NA;NA;5,322;NA;6,157;NA;6,428;6,436;6,508;6,522;NA;6,511;6,507;NA;6,515;NA;6,475
"2000-01-13";"Mid Yield";NA;NA;4,946;NA;NA;5,344;NA;6,103;NA;6,363;6,373;6,445;6,454;NA;6,447;6,442;NA;6,471;NA;6,433
"2000-01-14";"Mid Yield";NA;NA;4,876;NA;NA;5,344;5,787;6,136;NA;6,408;6,419;6,492;6,495;NA;6,484;6,482;NA;6,491;NA;6,452
"2000-01-17";"Mid Yield";NA;NA;4,932;NA;NA;5,344;5,827;6,138;NA;6,408;6,419;6,492;6,493;NA;6,482;6,48;NA;6,488;NA;6,45
"2000-01-18";"Mid Yield";NA;NA;4,942;NA;NA;5,344;5,884;6,182;NA;6,468;6,48;6,553;6,556;NA;6,543;6,541;NA;6,514;NA;6,473
"2000-01-19";"Mid Yield";NA;NA;4,939;NA;NA;5,344;5,884;6,202;NA;6,493;6,507;6,577;6,579;NA;6,565;6,565;NA;6,49;NA;6,424
