"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y";"X40Y";"X50Y"
"2000-01-03";"Mid Yield";1,847;1,945;2,207;2,237;2,6;2,711;2,885;2,908;3,106;3,269;3,363;3,496;NA;3,84;3,917;NA;4,221;NA;NA
"2000-01-04";"Mid Yield";1,81;1,993;2,285;2,697;2,786;2,968;3,002;3,196;3,375;3,445;3,581;3,705;NA;3,915;4,026;NA;4,274;NA;NA
"2000-01-05";"Mid Yield";1,725;1,932;2,268;2,699;2,77;2,97;2,997;3,198;3,369;3,45;3,585;3,698;NA;3,915;4,016;NA;4,272;NA;NA
"2000-01-06";"Mid Yield";1,728;1,937;2,283;2,737;2,794;3;3,033;3,225;3,398;3,487;3,622;3,741;NA;3,935;4,008;NA;4,301;NA;NA
"2000-01-07";"Mid Yield";1,753;1,958;2,322;2,719;2,778;2,986;3,009;3,197;3,368;3,459;3,59;3,709;NA;3,901;3,992;NA;4,265;NA;NA
"2000-01-10";"Mid Yield";1,78;1,993;2,358;2,721;2,772;2,972;3,007;3,181;3,35;3,431;3,563;3,685;NA;3,874;3,966;NA;4,261;NA;NA
"2000-01-11";"Mid Yield";1,772;1,973;2,345;2,746;2,796;3;3,044;3,228;3,396;3,477;3,623;3,727;NA;3,912;3,979;NA;4,293;NA;NA
"2000-01-12";"Mid Yield";1,752;1,973;2,35;2,757;2,821;2,997;3,031;3,222;3,386;3,464;3,59;3,711;NA;3,918;3,996;NA;4,299;NA;NA
"2000-01-13";"Mid Yield";1,762;1,967;2,367;2,757;2,806;2,997;3,035;3,216;3,376;3,453;3,563;3,688;NA;3,893;3,992;NA;4,299;NA;NA
"2000-01-14";"Mid Yield";1,765;1,97;2,368;2,725;2,78;2,974;3,004;3,171;3,316;3,395;3,501;3,632;NA;3,816;3,967;NA;4,269;NA;NA
"2000-01-17";"Mid Yield";1,788;1,978;2,38;2,762;2,818;3,005;3,027;3,204;3,352;3,43;3,543;3,657;NA;3,85;3,966;NA;4,285;NA;NA
"2000-01-18";"Mid Yield";1,83;2,023;2,423;2,808;2,877;3,06;3,089;3,249;3,398;3,476;3,594;3,716;NA;3,91;3,966;NA;4,317;NA;NA
"2000-01-19";"Mid Yield";1,81;2,02;2,432;2,806;2,868;3,068;3,099;3,262;3,403;3,478;3,604;3,716;NA;3,948;4,025;NA;4,334;NA;NA
"2000-01-20";"Mid Yield";1,843;2,063;2,478;2,84;2,884;3,105;3,138;3,298;3,443;3,507;3,614;3,735;NA;3,954;4,019;NA;4,343;NA;NA
"2000-01-21";"Mid Yield";1,893;2,11;2,513;2,838;2,905;3,112;3,156;3,308;3,443;3,513;3,614;3,74;NA;3,941;4,012;NA;4,343;NA;NA
"2000-01-24";"Mid Yield";1,93;2,153;2,552;2,872;2,923;3,144;3,174;3,331;3,465;3,521;3,619;3,746;NA;3,94;4,028;NA;4,341;NA;NA
"2000-01-25";"Mid Yield";1,918;2,138;2,54;2,858;2,919;3,132;3,17;3,322;3,457;3,519;3,617;3,728;NA;3,936;4,017;NA;4,336;NA;NA
"2000-01-26";"Mid Yield";1,912;2,132;2,53;2,849;2,893;3,127;3,154;3,308;3,443;3,507;3,613;3,739;NA;3,944;4,03;NA;4,336;NA;NA
"2000-01-27";"Mid Yield";1,933;2,148;2,548;2,876;2,935;3,161;3,19;3,343;3,479;3,558;3,656;3,762;NA;3,981;4,02;NA;4,368;NA;NA
"2000-01-28";"Mid Yield";2,017;2,217;2,598;2,957;2,988;3,21;3,24;3,383;3,522;3,59;3,717;3,797;NA;4,018;4,101;NA;4,385;NA;NA
"2000-01-31";"Mid Yield";2,132;2,262;2,673;2,972;2,992;3,196;3,227;3,365;3,493;3,553;3,641;3,768;NA;3,973;4,045;NA;4,357;NA;NA
"2000-02-01";"Mid Yield";2,125;2,275;2,648;2,984;2,977;3,175;3,196;3,318;3,425;3,485;3,581;3,703;NA;3,919;4,012;NA;4,277;NA;NA
"2000-02-02";"Mid Yield";2,112;2,268;2,64;2,994;2,993;3,167;3,182;3,305;3,412;3,469;3,574;3,687;NA;3,908;3,993;NA;4,25;NA;NA
"2000-02-03";"Mid Yield";2,122;2,297;2,673;3,04;3,025;3,193;3,196;3,304;3,409;3,458;3,536;3,666;NA;3,901;3,936;NA;4,25;NA;NA
"2000-02-04";"Mid Yield";2,268;2,435;2,79;3,033;3,062;3,204;3,208;3,318;3,416;3,46;3,538;3,642;NA;3,841;3,936;NA;4,25;NA;NA
"2000-02-07";"Mid Yield";2,295;2,45;2,803;3,042;3,066;3,214;3,217;3,336;3,433;3,489;3,572;3,665;NA;3,857;3,936;NA;4,23;NA;NA
"2000-02-08";"Mid Yield";2,28;2,435;2,793;3,045;3,055;3,2;3,209;3,327;3,428;3,482;3,558;3,654;NA;3,84;3,936;NA;4,23;NA;NA
"2000-02-09";"Mid Yield";2,277;2,433;2,783;3,042;3,061;3,202;3,21;3,324;3,423;3,481;3,556;3,657;NA;3,846;3,936;NA;4,235;NA;NA
"2000-02-10";"Mid Yield";2,28;2,428;2,777;3,052;3,073;3,214;3,229;3,344;3,452;3,5;3,589;3,683;NA;3,872;3,936;NA;4,235;NA;NA
"2000-02-11";"Mid Yield";2,273;2,43;2,783;3,039;3,083;3,221;3,238;3,353;3,452;3,51;3,597;3,701;NA;3,874;3,936;NA;4,246;NA;NA
