"date";"type";"X1M";"X2M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2006-03-23";"Mid Yield";NA;NA;NA;NA;NA;2,649;2,723;2,78;2,787;NA;3,012;NA;3,014;NA;NA;3,373;NA;NA;NA
"2006-03-24";"Mid Yield";NA;NA;NA;NA;NA;2,491;2,661;2,757;2,735;NA;3,013;NA;2,975;NA;NA;3,339;NA;NA;NA
"2006-03-27";"Mid Yield";NA;NA;NA;NA;NA;2,485;2,66;2,707;2,718;NA;2,856;NA;2,973;NA;NA;3,332;NA;NA;NA
"2006-03-28";"Mid Yield";NA;NA;NA;NA;NA;2,487;2,661;2,711;2,712;NA;2,922;NA;2,996;NA;NA;3,336;NA;NA;NA
"2006-03-29";"Mid Yield";NA;NA;NA;NA;NA;2,457;2,656;2,707;2,711;NA;2,922;NA;3;NA;NA;3,328;NA;NA;NA
"2006-03-30";"Mid Yield";NA;NA;NA;NA;NA;2,522;2,609;2,703;2,709;NA;2,917;NA;2,985;NA;NA;3,337;NA;NA;NA
"2006-03-31";"Mid Yield";NA;NA;NA;NA;NA;2,548;2,612;2,695;2,688;NA;2,917;NA;2,989;NA;NA;3,33;NA;NA;NA
"2006-04-03";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,591;2,692;2,705;NA;3,02;NA;2,966;NA;NA;3,328;NA;NA;NA
"2006-04-04";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,591;2,692;2,74;NA;3,02;NA;3,036;NA;NA;3,328;NA;NA;NA
"2006-04-05";"Mid Yield";NA;NA;NA;NA;NA;2,603;2,635;2,704;2,737;NA;3,003;NA;3,016;NA;NA;3,333;NA;NA;NA
"2006-04-06";"Mid Yield";NA;NA;NA;NA;NA;2,445;2,569;2,671;2,661;NA;2,962;NA;2,962;NA;NA;3,296;NA;NA;NA
"2006-04-07";"Mid Yield";NA;NA;NA;NA;NA;2,505;2,603;2,675;2,664;NA;2,965;NA;2,969;NA;NA;3,302;NA;NA;NA
"2006-04-10";"Mid Yield";NA;NA;NA;NA;NA;2,505;2,603;2,682;2,672;NA;2,984;NA;2,984;NA;NA;3,329;NA;NA;NA
"2006-04-11";"Mid Yield";NA;NA;NA;NA;NA;2,45;2,567;2,652;2,649;NA;2,957;NA;2,953;NA;NA;3,294;NA;NA;NA
"2006-04-12";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,567;2,662;2,652;NA;2,957;NA;2,964;NA;NA;3,293;NA;NA;NA
"2006-04-13";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,567;2,647;2,652;NA;2,974;NA;2,948;NA;NA;3,293;NA;NA;NA
"2006-04-14";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,567;2,647;2,652;NA;2,974;NA;2,948;NA;NA;3,293;NA;NA;NA
"2006-04-17";"Mid Yield";NA;NA;NA;NA;NA;2,465;2,599;2,671;2,683;NA;2,971;NA;2,984;NA;NA;3,311;NA;NA;NA
"2006-04-18";"Mid Yield";NA;NA;NA;NA;NA;2,46;2,541;2,681;2,68;NA;2,979;NA;2,98;NA;NA;3,296;NA;NA;NA
"2006-04-19";"Mid Yield";NA;NA;NA;NA;NA;2,486;2,554;2,67;2,676;NA;2,971;NA;2,979;NA;NA;3,296;NA;NA;NA
"2006-04-20";"Mid Yield";NA;NA;NA;NA;NA;2,419;2,57;2,706;2,71;NA;2,987;NA;3;NA;NA;3,311;NA;NA;NA
"2006-04-21";"Mid Yield";NA;NA;NA;NA;NA;2,529;2,642;2,758;2,804;NA;3,028;NA;3,055;NA;NA;3,352;NA;NA;NA
"2006-04-24";"Mid Yield";NA;NA;NA;NA;NA;2,564;2,603;2,757;2,796;NA;3,011;NA;3,051;NA;NA;3,347;NA;NA;NA
"2006-04-25";"Mid Yield";NA;NA;NA;NA;NA;2,464;2,584;2,754;2,806;NA;3,045;NA;3,072;NA;NA;3,341;NA;NA;NA
"2006-04-26";"Mid Yield";NA;NA;NA;NA;NA;2,645;2,701;2,748;2,843;NA;3,053;NA;3,087;NA;NA;3,376;NA;NA;NA
"2006-04-27";"Mid Yield";NA;NA;NA;NA;NA;2,569;2,711;2,801;2,837;NA;3,063;NA;3,1;NA;NA;3,386;NA;NA;NA
"2006-04-28";"Mid Yield";NA;NA;NA;NA;NA;2,534;2,643;2,78;2,823;NA;3,059;NA;3,1;NA;NA;3,38;NA;NA;NA
"2006-05-01";"Mid Yield";NA;NA;NA;NA;NA;2,534;2,643;2,78;2,823;NA;3,059;NA;3,1;NA;NA;3,38;NA;NA;NA
"2006-05-02";"Mid Yield";NA;NA;NA;NA;NA;2,534;2,643;2,78;2,823;NA;3,059;NA;3,1;NA;NA;3,38;NA;NA;NA
"2006-05-03";"Mid Yield";NA;NA;NA;NA;NA;2,672;2,806;2,931;2,933;NA;3,177;NA;3,206;NA;NA;3,449;NA;NA;NA
"2006-05-04";"Mid Yield";NA;NA;NA;NA;NA;2,65;2,76;2,944;2,957;NA;3,234;NA;3,265;NA;NA;3,496;NA;NA;NA
"2006-05-05";"Mid Yield";NA;NA;NA;NA;NA;2,524;2,655;2,94;2,933;NA;3,208;NA;3,241;NA;NA;3,495;NA;NA;NA
"2006-05-08";"Mid Yield";NA;NA;NA;NA;NA;2,655;2,729;2,923;2,921;NA;3,188;NA;3,216;NA;NA;3,477;NA;NA;NA
"2006-05-09";"Mid Yield";NA;NA;NA;NA;NA;2,549;2,754;2,944;2,957;NA;3,202;NA;3,239;NA;NA;3,484;NA;NA;NA
"2006-05-10";"Mid Yield";NA;NA;NA;NA;NA;2,625;2,757;2,94;2,957;NA;3,218;NA;3,257;NA;NA;3,441;NA;NA;NA
"2006-05-11";"Mid Yield";NA;NA;NA;NA;NA;2,625;2,747;2,94;2,94;NA;3,212;NA;3,248;NA;NA;3,493;NA;NA;NA
"2006-05-12";"Mid Yield";NA;NA;NA;NA;NA;2,622;2,754;2,95;2,937;NA;3,215;NA;3,247;NA;NA;3,497;NA;NA;NA
"2006-05-15";"Mid Yield";NA;NA;NA;NA;NA;2,454;2,649;2,912;2,926;NA;3,198;NA;3,225;NA;NA;3,448;NA;NA;NA
"2006-05-16";"Mid Yield";NA;NA;NA;NA;NA;2,607;2,73;2,921;2,944;NA;3,178;NA;3,204;NA;NA;3,473;NA;NA;NA
"2006-05-17";"Mid Yield";NA;NA;NA;NA;NA;2,669;2,791;2,94;2,963;NA;3,179;NA;3,219;NA;NA;3,496;NA;NA;NA
"2006-05-18";"Mid Yield";NA;NA;NA;NA;NA;2,61;2,778;2,919;2,943;NA;3,182;NA;3,206;NA;NA;3,481;NA;NA;NA
"2006-05-19";"Mid Yield";NA;NA;NA;NA;NA;2,77;2,883;2,951;2,938;NA;3,167;NA;3,182;NA;NA;3,485;NA;NA;NA
"2006-05-22";"Mid Yield";NA;NA;NA;NA;NA;2,677;2,814;2,945;2,954;NA;3,165;NA;3,191;NA;NA;3,461;NA;NA;NA
"2006-05-23";"Mid Yield";NA;NA;NA;NA;NA;2,707;2,85;2,94;2,987;NA;3,162;NA;3,199;NA;NA;3,471;NA;NA;NA
"2006-05-24";"Mid Yield";NA;NA;NA;NA;NA;2,71;2,826;2,946;3;NA;3,162;NA;3,202;NA;NA;3,444;NA;NA;NA
"2006-05-25";"Mid Yield";NA;NA;NA;NA;NA;2,742;2,82;3,007;3,007;NA;3,199;NA;3,233;NA;NA;3,444;NA;NA;NA
"2006-05-26";"Mid Yield";NA;NA;NA;NA;NA;2,609;2,786;2,96;3,007;NA;3,19;NA;3,224;NA;NA;3,432;NA;NA;NA
"2006-05-29";"Mid Yield";NA;NA;NA;NA;NA;2,74;2,865;2,968;3,052;NA;3,184;NA;3,226;NA;NA;3,498;NA;NA;NA
"2006-05-30";"Mid Yield";NA;NA;NA;NA;NA;2,61;2,777;2,96;3,083;NA;3,208;NA;3,252;NA;NA;3,457;NA;NA;NA
"2006-05-31";"Mid Yield";NA;NA;NA;NA;NA;2,767;2,876;3,006;3,094;NA;3,215;NA;3,261;NA;NA;3,498;NA;NA;NA
"2006-06-01";"Mid Yield";NA;NA;NA;NA;NA;2,716;2,919;3,045;3,087;NA;3,214;NA;3,252;NA;NA;3,511;NA;NA;NA
"2006-06-02";"Mid Yield";NA;NA;NA;NA;NA;2,886;2,999;3,052;3,053;NA;3,187;NA;3,209;NA;NA;3,51;NA;NA;NA
"2006-06-05";"Mid Yield";NA;NA;NA;NA;NA;2,886;2,999;3,052;3,053;NA;3,187;NA;3,196;NA;NA;3,506;NA;NA;NA
"2006-06-06";"Mid Yield";NA;NA;NA;NA;NA;2,885;2,991;3,052;3,058;NA;3,199;NA;3,227;NA;NA;3,529;NA;NA;NA
"2006-06-07";"Mid Yield";NA;NA;NA;NA;NA;2,872;2,971;3,061;3,082;NA;3,208;NA;3,243;NA;NA;3,537;NA;NA;NA
"2006-06-08";"Mid Yield";NA;NA;NA;NA;NA;2,985;3,057;3,087;3,107;NA;3,239;NA;3,275;NA;NA;3,568;NA;NA;NA
"2006-06-09";"Mid Yield";NA;NA;NA;NA;NA;2,985;3,057;3,087;3,152;NA;3,239;NA;3,312;NA;NA;3,568;NA;NA;NA
"2006-06-12";"Mid Yield";NA;NA;NA;NA;NA;2,985;3,057;3,087;3,152;NA;3,239;NA;3,312;NA;NA;3,568;NA;NA;NA
"2006-06-13";"Mid Yield";NA;NA;NA;NA;NA;3,016;3,081;3,147;3,173;NA;3,299;NA;3,331;NA;NA;3,613;NA;NA;NA
"2006-06-14";"Mid Yield";NA;NA;NA;NA;NA;3,08;3,127;3,194;3,243;NA;3,339;NA;3,371;NA;NA;3,632;NA;NA;NA
"2006-06-15";"Mid Yield";NA;NA;NA;NA;NA;3,012;3,09;3,177;3,183;NA;3,282;NA;3,325;NA;NA;3,583;NA;NA;NA
"2006-06-16";"Mid Yield";NA;NA;NA;NA;NA;2,961;3,09;3,18;3,207;NA;3,3;NA;3,334;NA;NA;3,62;NA;NA;NA
"2006-06-19";"Mid Yield";NA;NA;NA;NA;NA;3,015;3,09;3,18;3,203;NA;3,3;NA;3,334;NA;NA;3,62;NA;NA;NA
"2006-06-20";"Mid Yield";NA;NA;NA;NA;NA;3,009;3,122;3,164;3,177;NA;3,269;NA;3,301;NA;NA;3,62;NA;NA;NA
"2006-06-21";"Mid Yield";NA;NA;NA;NA;NA;2,994;3,064;3,136;3,177;NA;3,247;NA;3,285;NA;NA;3,594;NA;NA;NA
"2006-06-22";"Mid Yield";NA;NA;NA;NA;NA;2,989;3,054;3,137;3,157;NA;3,225;NA;3,268;NA;NA;3,577;NA;NA;NA
"2006-06-23";"Mid Yield";NA;NA;NA;NA;NA;3,001;3,11;3,157;3,206;NA;3,27;NA;3,303;NA;NA;3,603;NA;NA;NA
"2006-06-26";"Mid Yield";NA;NA;NA;NA;NA;3,001;3,11;3,157;3,206;NA;3,27;NA;3,303;NA;NA;3,603;NA;NA;NA
"2006-06-27";"Mid Yield";NA;NA;NA;NA;NA;3,033;3,108;3,173;3,231;NA;3,298;NA;3,345;NA;NA;3,634;NA;NA;NA
"2006-06-28";"Mid Yield";NA;NA;NA;NA;NA;2,906;3,038;3,194;3,243;NA;3,272;NA;3,353;NA;NA;3,596;NA;NA;NA
"2006-06-29";"Mid Yield";NA;NA;NA;NA;NA;3,022;3,087;3,192;3,23;NA;3,305;NA;3,353;NA;NA;3,628;NA;NA;NA
"2006-06-30";"Mid Yield";NA;NA;NA;NA;NA;2,885;3,023;3,165;3,216;NA;3,276;NA;3,323;NA;NA;3,598;NA;NA;NA
"2006-07-03";"Mid Yield";NA;NA;NA;NA;NA;3,017;3,086;3,165;3,214;NA;3,265;NA;3,303;NA;NA;3,597;NA;NA;NA
"2006-07-04";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,087;3,137;3,187;NA;3,249;NA;3,295;NA;NA;3,588;NA;NA;NA
"2006-07-05";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,087;3,171;3,173;NA;3,249;NA;3,292;NA;NA;3,588;NA;NA;NA
"2006-07-06";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,078;3,154;3,137;NA;3,244;NA;3,288;NA;NA;3,593;NA;NA;NA
"2006-07-07";"Mid Yield";NA;NA;NA;NA;NA;2,987;3,054;3,117;3,15;NA;3,245;NA;3,293;NA;NA;3,586;NA;NA;NA
"2006-07-10";"Mid Yield";NA;NA;NA;NA;NA;2,984;3,023;3,106;3,147;NA;3,235;NA;3,288;NA;NA;3,581;NA;NA;NA
"2006-07-11";"Mid Yield";NA;NA;NA;NA;NA;2,905;3,019;3,107;3,143;NA;3,235;NA;3,29;NA;NA;3,584;NA;NA;NA
"2006-07-12";"Mid Yield";NA;NA;NA;NA;NA;2,734;2,888;3,083;3,113;NA;3,197;NA;3,253;NA;NA;3,536;NA;NA;NA
"2006-07-13";"Mid Yield";NA;NA;NA;NA;NA;2,734;2,888;3,049;3,063;NA;3,197;NA;3,261;NA;NA;3,536;NA;NA;NA
"2006-07-14";"Mid Yield";NA;NA;NA;NA;NA;2,997;2,964;3,011;3,018;NA;3,197;NA;3,242;NA;NA;3,55;NA;NA;NA
"2006-07-17";"Mid Yield";NA;NA;NA;NA;NA;2,828;2,89;3,024;3,067;NA;3,185;NA;3,23;NA;NA;3,551;NA;NA;NA
"2006-07-18";"Mid Yield";NA;NA;NA;NA;NA;2,815;2,871;3,024;3,073;NA;3,185;NA;3,238;NA;NA;3,551;NA;NA;NA
"2006-07-19";"Mid Yield";NA;NA;NA;NA;NA;2,817;2,872;3,02;3,077;NA;3,192;NA;3,238;NA;NA;3,513;NA;NA;NA
"2006-07-20";"Mid Yield";NA;NA;NA;NA;NA;2,817;2,872;2,987;2,983;NA;3,135;NA;3,185;NA;NA;3,423;NA;NA;NA
"2006-07-21";"Mid Yield";NA;NA;NA;NA;NA;2,674;2,836;3,03;2,983;NA;3,155;NA;3,224;NA;NA;3,423;NA;NA;NA
"2006-07-24";"Mid Yield";NA;NA;NA;NA;NA;2,687;2,86;3,025;2,987;NA;3,147;NA;3,202;NA;NA;3,461;NA;NA;NA
"2006-07-25";"Mid Yield";NA;NA;NA;NA;NA;2,788;2,891;3,022;3,01;NA;3,168;NA;3,218;NA;NA;3,461;NA;NA;NA
"2006-07-26";"Mid Yield";NA;NA;NA;NA;NA;2,799;2,902;3,033;3,013;NA;3,178;NA;3,204;NA;NA;3,483;NA;NA;NA
"2006-07-27";"Mid Yield";NA;NA;NA;NA;NA;2,71;2,84;2,994;2,98;NA;3,141;NA;3,187;NA;NA;3,464;NA;NA;NA
"2006-07-28";"Mid Yield";NA;NA;NA;NA;NA;2,767;2,879;3,033;2,978;NA;3,173;NA;3,202;NA;NA;3,48;NA;NA;NA
"2006-07-31";"Mid Yield";NA;NA;NA;NA;NA;2,892;2,955;2,982;2,987;NA;3,16;NA;3,178;NA;NA;3,453;NA;NA;NA
"2006-08-01";"Mid Yield";NA;NA;NA;NA;NA;2,847;2,938;2,992;3,003;NA;3,155;NA;3,181;NA;NA;3,441;NA;NA;NA
"2006-08-02";"Mid Yield";NA;NA;NA;NA;NA;2,758;2,908;2,97;2,997;NA;3,145;NA;3,162;NA;NA;3,431;NA;NA;NA
"2006-08-03";"Mid Yield";NA;NA;NA;NA;NA;2,77;2,92;2,963;2,977;NA;3,122;NA;3,144;NA;NA;3,403;NA;NA;NA
"2006-08-04";"Mid Yield";NA;NA;NA;NA;NA;2,772;2,889;2,956;2,973;NA;3,112;NA;3,127;NA;3,079;3,394;NA;NA;NA
"2006-08-07";"Mid Yield";NA;NA;NA;NA;NA;2,798;2,84;2,941;2,955;NA;3,072;NA;3,101;NA;3,079;3,341;NA;NA;NA
"2006-08-08";"Mid Yield";NA;NA;NA;NA;NA;2,754;2,853;2,94;2,955;NA;3,072;NA;3,091;NA;3,044;3,351;NA;NA;NA
"2006-08-09";"Mid Yield";NA;NA;NA;NA;NA;2,763;2,872;2,941;2,95;NA;3,079;NA;3,1;NA;3,029;3,361;NA;NA;NA
"2006-08-10";"Mid Yield";NA;NA;NA;NA;NA;2,712;2,861;2,933;2,953;NA;3,052;NA;3,082;NA;3,029;3,328;NA;NA;NA
"2006-08-11";"Mid Yield";NA;NA;NA;NA;NA;2,704;2,865;2,923;2,955;NA;3,057;NA;3,089;NA;3,034;3,332;NA;NA;NA
"2006-08-14";"Mid Yield";NA;NA;NA;NA;NA;2,863;2,886;2,931;2,943;NA;3,041;NA;3,09;NA;3,034;3,319;NA;NA;NA
"2006-08-15";"Mid Yield";NA;NA;NA;NA;NA;2,863;2,886;2,931;2,943;NA;3,041;NA;3,09;NA;3,034;3,319;NA;NA;NA
"2006-08-16";"Mid Yield";NA;NA;NA;NA;NA;2,596;2,824;2,925;2,938;NA;3,031;NA;3,079;NA;3,029;3,289;NA;NA;NA
"2006-08-17";"Mid Yield";NA;NA;NA;NA;NA;2,717;2,849;2,941;2,953;NA;3,042;NA;3,084;NA;3,029;3,273;NA;NA;NA
"2006-08-18";"Mid Yield";NA;NA;NA;NA;NA;2,756;2,897;2,968;3;NA;3,075;NA;3,115;NA;3,064;3,29;NA;NA;NA
"2006-08-21";"Mid Yield";NA;NA;NA;NA;NA;2,79;2,933;2,997;3,032;NA;3,071;NA;3,121;NA;3,064;3,316;NA;NA;NA
"2006-08-22";"Mid Yield";NA;NA;NA;NA;NA;2,817;2,929;2,988;3,016;NA;3,063;NA;3,117;NA;3,064;3,312;NA;NA;NA
"2006-08-23";"Mid Yield";NA;NA;NA;NA;NA;2,92;2,964;2,999;3,008;NA;3,057;NA;3,097;NA;3,049;3,296;NA;NA;NA
"2006-08-24";"Mid Yield";NA;NA;NA;NA;NA;2,852;2,966;3,019;3,048;NA;3,072;NA;3,123;NA;3,063;3,296;NA;NA;NA
"2006-08-25";"Mid Yield";NA;NA;NA;NA;NA;2,76;2,94;2,981;3,033;NA;3,062;NA;3,104;NA;3,044;3,295;NA;NA;NA
"2006-08-28";"Mid Yield";NA;NA;NA;NA;NA;2,841;2,946;2,992;3,042;NA;3,058;NA;3,107;NA;3,044;3,296;NA;NA;NA
"2006-08-29";"Mid Yield";NA;NA;NA;NA;NA;2,91;3,001;3,033;3,057;NA;3,074;NA;3,117;NA;3,064;3,301;NA;NA;NA
"2006-08-30";"Mid Yield";NA;NA;NA;NA;NA;2,885;3,02;3,044;3,08;NA;3,085;NA;3,125;NA;3,079;3,301;NA;NA;NA
"2006-08-31";"Mid Yield";NA;NA;NA;NA;NA;2,962;1,748;3,044;3,08;NA;3,085;NA;3,114;NA;3,058;3,116;NA;NA;NA
"2006-09-01";"Mid Yield";NA;NA;NA;NA;NA;2,957;3,028;3,033;3,058;NA;3,068;NA;3,104;NA;3,044;3,29;NA;NA;NA
"2006-09-04";"Mid Yield";NA;NA;NA;NA;NA;3,069;3,039;3,044;3,048;NA;3,073;NA;3,084;NA;3,029;3,252;NA;NA;NA
"2006-09-05";"Mid Yield";NA;NA;NA;NA;NA;2,985;2,994;3,008;3,015;NA;3,042;NA;3,072;NA;3,009;3,261;NA;NA;NA
"2006-09-06";"Mid Yield";NA;NA;NA;NA;NA;2,944;3,004;3,026;3,038;NA;3,046;NA;3,073;NA;3,014;3,223;NA;NA;NA
"2006-09-07";"Mid Yield";NA;NA;NA;NA;NA;2,792;2,982;3,015;3,022;NA;3,043;NA;3,08;NA;3,014;3,239;NA;NA;NA
"2006-09-08";"Mid Yield";NA;NA;NA;NA;NA;2,946;2,997;3,008;2,998;NA;3,013;NA;3,044;NA;2,964;3,207;NA;NA;NA
"2006-09-11";"Mid Yield";NA;NA;NA;NA;NA;2,96;3,026;3,026;3,01;NA;3,022;NA;3,058;NA;2,979;3,139;NA;NA;NA
"2006-09-12";"Mid Yield";NA;NA;NA;NA;NA;3,126;3,05;3,062;3,055;NA;3,037;NA;3,063;NA;2,979;3,161;NA;NA;NA
"2006-09-13";"Mid Yield";NA;NA;NA;NA;NA;2,991;3,047;3,052;3,053;NA;3,037;NA;3,051;NA;3,009;3,139;NA;NA;NA
"2006-09-14";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,055;3,052;3,048;NA;3,022;NA;3,033;NA;2,959;3,136;NA;NA;NA
"2006-09-15";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,055;3,052;3,048;NA;3,054;NA;3,044;NA;2,959;3,136;NA;NA;NA
"2006-09-18";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,055;3,052;3,048;NA;3,054;NA;3,044;NA;2,959;3,136;NA;NA;NA
"2006-09-19";"Mid Yield";NA;NA;NA;NA;NA;3,004;3,055;3,052;3,048;NA;3,054;NA;3,044;NA;2,959;3,136;NA;NA;NA
"2006-09-20";"Mid Yield";NA;NA;NA;NA;NA;2,882;3,112;3,09;3,085;NA;3,077;NA;3,094;NA;2,959;3,136;NA;NA;NA
"2006-09-21";"Mid Yield";NA;NA;NA;NA;NA;3,095;3,165;3,107;3,093;NA;3,094;NA;3,085;NA;3,018;3,118;NA;NA;NA
"2006-09-22";"Mid Yield";NA;NA;NA;NA;NA;3,188;3,167;3,104;3,093;NA;3,088;NA;3,048;NA;2,988;3,099;NA;NA;NA
"2006-09-25";"Mid Yield";NA;NA;NA;NA;NA;3,188;3,308;3,192;3,097;NA;3,089;NA;3,048;NA;2,988;3,099;NA;NA;NA
"2006-09-26";"Mid Yield";NA;NA;NA;NA;NA;3,265;3,246;3,163;3,112;NA;3,114;NA;3,059;NA;3,003;3,078;NA;NA;NA
"2006-09-27";"Mid Yield";NA;NA;NA;NA;NA;3,286;3,184;3,142;3,118;NA;3,098;NA;3,07;NA;3,013;3,089;NA;NA;NA
