"date";"type";"X1M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2001-03-01";"Mid Yield";NA;NA;NA;NA;14,083;14,589;15,099;15,831;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-02";"Mid Yield";NA;NA;NA;NA;14,043;14,563;15,1;15,833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-05";"Mid Yield";NA;NA;NA;NA;14,122;14,593;15,109;15,847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-06";"Mid Yield";NA;NA;NA;NA;14,01;14,577;15,05;15,853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-07";"Mid Yield";NA;NA;NA;NA;14,011;14,508;15,021;15,752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-08";"Mid Yield";NA;NA;NA;NA;13,915;14,462;15,005;15,714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-09";"Mid Yield";NA;NA;NA;NA;13,847;14,386;14,905;15,714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-12";"Mid Yield";NA;NA;NA;NA;13,797;14,37;14,891;15,613;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-13";"Mid Yield";NA;NA;NA;NA;13,815;14,375;14,855;15,617;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-14";"Mid Yield";NA;NA;NA;NA;13,702;14,413;14,851;15,605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-15";"Mid Yield";NA;NA;NA;NA;13,707;14,337;14,853;15,658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-16";"Mid Yield";NA;NA;NA;NA;13,685;14,365;14,891;15,697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-19";"Mid Yield";NA;NA;NA;NA;13,685;14,365;14,891;15,697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-20";"Mid Yield";NA;NA;NA;NA;13,703;14,415;14,954;15,744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-21";"Mid Yield";NA;NA;NA;NA;13,711;14,294;14,906;15,768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-22";"Mid Yield";NA;NA;NA;NA;13,65;14,283;14,951;15,906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-23";"Mid Yield";NA;NA;NA;NA;13,65;14,331;15,11;16,127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-26";"Mid Yield";NA;NA;NA;NA;13,749;14,328;14,958;15,902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-27";"Mid Yield";NA;NA;NA;NA;13,725;14,253;14,928;15,961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-28";"Mid Yield";NA;NA;NA;NA;13,712;14,185;14,923;15,975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-29";"Mid Yield";NA;NA;NA;NA;13,699;14,178;14,912;16,072;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-03-30";"Mid Yield";NA;NA;NA;NA;13,699;14,19;14,897;16,169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-04-02";"Mid Yield";NA;NA;NA;NA;13,725;14,191;14,847;15,906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-04-03";"Mid Yield";NA;NA;NA;NA;13,645;14,095;14,847;15,788;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-04-04";"Mid Yield";NA;NA;NA;NA;13,501;14,018;14,679;15,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
