"date";"type";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y";"X40Y";"X50Y"
"2000-01-03";"Mid Yield";5,48;5,55;NA;5,334;5,733;6,551;6,706;6,891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-04";"Mid Yield";5,46;5,56;NA;5,529;5,755;6,681;6,906;6,969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-05";"Mid Yield";5,41;5,54;NA;5,525;5,832;6,81;7,032;7,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-06";"Mid Yield";5,41;5,55;NA;5,498;5,844;6,786;6,966;7,067;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-07";"Mid Yield";5,41;5,56;NA;5,474;5,855;6,79;6,989;7,081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-10";"Mid Yield";5,41;5,6;NA;5,476;5,875;6,902;7,024;7,103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-11";"Mid Yield";5,42;5,65;NA;5,543;5,886;6,931;7,023;7,101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-12";"Mid Yield";5,41;5,61;NA;5,498;5,966;6,953;7,077;7,109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-13";"Mid Yield";5,41;5,63;NA;5,531;6,023;6,948;6,964;7,074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-14";"Mid Yield";5,41;5,62;NA;5,487;6,033;6,928;6,925;7,076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-17";"Mid Yield";5,42;5,65;NA;5,491;6,017;6,843;6,885;7,006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-18";"Mid Yield";5,39;5,61;NA;5,568;6,009;6,773;6,872;6,995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-19";"Mid Yield";5,39;5,61;NA;5,653;6,001;6,79;6,917;7,003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-20";"Mid Yield";5,4;5,61;NA;5,642;5,965;6,808;6,995;7,021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-21";"Mid Yield";5,43;5,65;NA;5,658;5,975;6,793;6,971;7,025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-24";"Mid Yield";5,43;5,64;NA;5,656;5,98;6,754;6,917;7,009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-25";"Mid Yield";5,42;5,61;NA;5,686;5,964;6,74;6,836;6,958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-26";"Mid Yield";5,41;5,59;NA;5,653;5,987;6,75;6,861;6,945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-27";"Mid Yield";5,4;5,58;NA;5,661;5,959;6,728;6,844;6,895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-28";"Mid Yield";5,41;5,58;NA;5,638;5,948;6,734;6,857;6,903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-31";"Mid Yield";5,41;5,6;NA;5,678;5,949;6,705;6,842;6,853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-01";"Mid Yield";5,41;5,6;NA;5,683;5,946;6,675;6,827;6,852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-02";"Mid Yield";5,41;5,6;NA;5,636;5,959;6,667;6,826;6,856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-03";"Mid Yield";5,41;5,6;NA;5,63;5,96;6,68;6,86;6,854;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-04";"Mid Yield";5,41;5,61;NA;5,619;5,952;6,658;6,815;6,845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-07";"Mid Yield";5,4;5,6;NA;5,589;5,96;6,646;6,81;6,857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-08";"Mid Yield";5,4;5,59;NA;5,583;5,938;6,599;6,722;6,697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-09";"Mid Yield";5,38;5,58;NA;5,642;5,893;6,582;6,693;6,695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-10";"Mid Yield";5,39;5,58;NA;5,654;5,878;6,614;6,731;6,717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-11";"Mid Yield";5,39;5,58;NA;5,658;5,849;6,571;6,67;6,666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-14";"Mid Yield";5,38;5,58;NA;5,657;5,859;6,551;6,572;6,686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-15";"Mid Yield";5,39;5,58;NA;5,658;5,851;6,546;6,588;6,707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-16";"Mid Yield";5,38;5,56;NA;5,665;5,82;6,527;6,559;6,664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-17";"Mid Yield";5,38;5,54;NA;5,596;5,796;6,475;6,527;6,661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-18";"Mid Yield";5,39;5,54;NA;5,465;5,814;6,487;6,515;6,657;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-21";"Mid Yield";5,39;5,55;NA;5,523;5,786;6,471;6,517;6,726;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-22";"Mid Yield";5,38;5,54;NA;5,467;5,799;6,43;6,503;6,706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-23";"Mid Yield";5,37;5,52;NA;5,412;5,823;6,311;6,416;6,673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-24";"Mid Yield";5,36;5,5;NA;5,485;5,767;6,18;6,35;6,644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-25";"Mid Yield";5,36;5,49;NA;5,474;5,781;6,156;6,269;6,603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-28";"Mid Yield";5,35;5,46;NA;5,486;5,741;6,155;6,239;6,596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-29";"Mid Yield";5,36;5,46;NA;5,484;5,757;6,168;6,281;6,611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-01";"Mid Yield";5,36;5,47;NA;5,411;5,718;6,135;6,266;6,609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-02";"Mid Yield";5,37;5,46;NA;5,433;5,672;6,124;6,287;6,601;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-03";"Mid Yield";5,37;5,48;NA;5,374;5,639;6,105;6,268;6,533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-06";"Mid Yield";5,37;5,48;NA;5,33;5,452;6,055;6,186;6,288;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-07";"Mid Yield";5,36;5,47;NA;5,313;5,444;5,983;6,155;6,195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-08";"Mid Yield";5,36;5,45;NA;5,388;5,433;5,958;6,07;6,117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-09";"Mid Yield";5,36;5,44;NA;5,375;5,445;5,985;6,1;6,114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-10";"Mid Yield";5,36;5,44;NA;5,348;5,445;5,92;6,005;6,025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-13";"Mid Yield";5,33;5,43;NA;5,367;5,449;5,969;5,992;6,048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-14";"Mid Yield";5,33;5,42;NA;5,363;5,451;5,982;6,022;6,104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-15";"Mid Yield";5,34;5,43;NA;5,372;5,474;6,036;6,106;6,184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-16";"Mid Yield";5,35;5,43;NA;5,386;5,484;6,064;6,119;6,196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-17";"Mid Yield";5,36;5,42;NA;5,345;5,471;6,025;6,067;6,173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-20";"Mid Yield";5,36;5,43;NA;5,36;5,504;5,996;6,062;6,171;NA;6,357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-21";"Mid Yield";5,35;5,43;NA;5,313;5,523;6,045;6,099;6,202;NA;6,412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-22";"Mid Yield";5,35;5,43;NA;5,281;5,511;5,985;6,054;6,168;NA;6,356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-23";"Mid Yield";5,34;5,42;NA;5,258;5,496;5,931;5,995;6,119;NA;6,284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-24";"Mid Yield";5,34;5,39;NA;5,247;5,494;5,959;6,025;6,146;NA;6,313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-27";"Mid Yield";5,33;5,4;NA;5,194;5,483;5,961;6,03;6,161;NA;6,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-28";"Mid Yield";5,34;5,39;NA;5,239;5,479;5,935;6,017;6,135;NA;6,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-29";"Mid Yield";5,34;5,39;NA;5,127;5,474;5,863;6,001;6,122;NA;6,302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-30";"Mid Yield";5,34;5,4;NA;5,151;5,468;5,896;6,003;6,129;NA;6,335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-31";"Mid Yield";5,33;5,41;NA;5,154;5,478;5,87;5,988;6,108;NA;6,315;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-04-03";"Mid Yield";5,33;5,4;NA;5,188;5,478;5,836;5,946;6,072;NA;6,299;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-04-04";"Mid Yield";5,33;5,41;NA;5,206;5,473;5,82;5,947;6,085;NA;6,324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-04-05";"Mid Yield";5,33;5,39;NA;5,278;5,455;5,776;5,889;6,041;NA;6,296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-04-06";"Mid Yield";5,33;5,39;NA;5,356;5,45;5,758;5,871;6,03;NA;6,289;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-04-07";"Mid Yield";5,33;5,41;NA;5,346;5,446;5,741;5,857;6,016;NA;6,296;NA;NA;6,411;NA;NA;NA;NA;NA;NA;NA
"2000-04-10";"Mid Yield";5,32;5,39;NA;5,338;5,452;5,727;5,845;6,009;NA;6,292;NA;NA;6,414;NA;NA;NA;NA;NA;NA;NA
"2000-04-11";"Mid Yield";5,38;5,38;NA;5,314;5,438;5,706;5,81;6,017;NA;6,291;NA;NA;6,414;NA;NA;NA;NA;NA;NA;NA
"2000-04-12";"Mid Yield";5,32;5,38;NA;5,253;5,387;5,674;5,774;6,006;NA;6,236;NA;NA;6,337;NA;NA;NA;NA;NA;NA;NA
"2000-04-13";"Mid Yield";5,33;5,38;NA;5,244;5,392;5,672;5,768;5,986;NA;6,227;NA;NA;6,352;NA;NA;NA;NA;NA;NA;NA
"2000-04-14";"Mid Yield";5,33;5,37;NA;5,242;5,4;5,687;5,779;5,979;NA;6,235;NA;NA;6,367;NA;NA;NA;NA;NA;NA;NA
"2000-04-17";"Mid Yield";5,33;5,39;NA;5,22;5,386;5,681;5,771;5,978;NA;6,263;NA;NA;6,375;NA;NA;NA;NA;NA;NA;NA
