"date";"type";"X1M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2000-01-03";"Mid Yield";NA;3,338;3,523;NA;3,687;4,322;4,664;4,817;4,917;5,198;5,325;5,448;5,449;5,477;NA;5,668;NA;6,058
"2000-01-04";"Mid Yield";NA;3,343;3,553;NA;3,745;4,325;4,658;4,803;4,914;5,206;5,352;5,464;5,467;5,485;NA;5,67;NA;6,057
"2000-01-05";"Mid Yield";NA;3,341;3,55;NA;3,763;4,33;4,664;4,809;4,93;5,22;5,373;5,491;5,488;5,512;NA;5,685;NA;6,064
"2000-01-06";"Mid Yield";NA;3,331;3,552;NA;3,757;4,338;4,671;4,836;4,95;5,248;5,401;5,523;5,529;5,541;NA;5,744;NA;6,134
"2000-01-07";"Mid Yield";NA;3,322;3,546;NA;3,712;4,232;4,555;4,709;4,826;5,129;5,289;5,411;5,424;5,439;NA;5,659;NA;6,043
"2000-01-10";"Mid Yield";NA;3,317;3,534;NA;3,701;4,216;4,52;4,668;4,796;5,099;5,257;5,37;5,396;5,411;NA;5,63;NA;6,016
"2000-01-11";"Mid Yield";NA;3,315;3,532;NA;3,741;4,303;4,625;4,798;4,93;5,227;5,39;5,493;5,517;5,537;NA;5,737;NA;6,117
"2000-01-12";"Mid Yield";NA;3,322;3,545;NA;3,735;4,3;4,638;4,824;4,955;5,247;5,399;5,502;5,532;5,545;NA;5,755;NA;6,135
"2000-01-13";"Mid Yield";NA;3,322;3,544;NA;3,72;4,272;4,612;4,796;4,932;5,215;5,364;5,468;5,49;5,511;NA;5,723;NA;6,115
"2000-01-14";"Mid Yield";NA;3,321;3,539;NA;3,7;4,277;4,623;4,82;4,959;5,247;5,395;5,494;5,514;5,548;NA;5,768;NA;6,163
"2000-01-17";"Mid Yield";NA;3,316;3,529;NA;3,704;4,28;4,639;4,835;4,971;5,26;5,406;5,503;5,524;5,555;NA;5,778;NA;6,178
"2000-01-18";"Mid Yield";NA;3,313;3,529;NA;3,726;4,307;4,679;4,892;5,036;5,334;5,483;5,582;5,609;5,64;NA;5,855;NA;6,249
"2000-01-19";"Mid Yield";NA;3,308;3,531;NA;3,702;4,264;4,644;4,856;5,008;5,302;5,446;5,54;5,567;5,597;NA;5,805;NA;6,178
"2000-01-20";"Mid Yield";NA;3,31;3,53;NA;3,698;4,271;4,652;4,872;5,03;5,305;5,441;5,53;5,554;5,577;NA;5,784;NA;6,157
"2000-01-21";"Mid Yield";NA;3,31;3,527;NA;3,709;4,277;4,668;4,882;5,057;5,314;5,449;5,538;5,56;5,58;NA;5,765;NA;6,133
"2000-01-24";"Mid Yield";NA;3,317;3,532;NA;3,732;4,291;4,668;4,883;5,05;5,315;5,448;5,527;5,546;5,566;NA;5,748;NA;6,117
"2000-01-25";"Mid Yield";NA;3,322;3,538;NA;3,728;4,256;4,627;4,826;4,988;5,26;5,392;5,476;5,494;5,511;NA;5,686;NA;6,041
"2000-01-26";"Mid Yield";NA;3,332;3,551;NA;3,769;4,299;4,661;4,854;5;5,285;5,413;5,496;5,514;5,522;NA;5,689;NA;6,032
"2000-01-27";"Mid Yield";NA;3,428;3,635;NA;3,844;4,395;4,77;4,977;5,108;5,407;5,529;5,603;5,62;5,624;NA;5,77;NA;6,088
"2000-01-28";"Mid Yield";NA;3,486;3,68;NA;3,854;4,386;4,747;4,952;5,085;5,385;5,508;5,605;5,61;5,626;NA;5,767;NA;6,085
"2000-01-31";"Mid Yield";NA;3,492;3,682;NA;3,858;4,371;4,71;4,907;5,046;5,329;5,448;5,524;5,525;5,537;NA;5,679;NA;5,992
"2000-02-01";"Mid Yield";NA;3,496;3,697;NA;3,842;4,312;4,634;4,814;4,974;5,242;5,37;5,44;5,441;5,455;NA;5,612;NA;5,94
"2000-02-02";"Mid Yield";NA;3,489;3,686;NA;3,859;4,337;4,659;4,839;4,993;5,257;5,382;5,458;5,454;5,466;NA;5,618;NA;5,938
