"date";"type";"X2W";"X1M";"X2M";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y";"X40Y";"X50Y"
"2000-01-03";"Mid Yield";NA;NA;NA;5,35;5,972;6,182;6,297;6,288;6,1;5,923;5,827;5,719;5,601;5,53;5,224;NA;4,744;4,543;NA;4,355;NA;NA
"2000-01-04";"Mid Yield";NA;NA;NA;5,35;6,026;6,364;6,532;6,543;6,395;6,249;6,172;6,105;6,002;5,97;5,663;NA;5,095;4,877;NA;4,666;NA;NA
"2000-01-05";"Mid Yield";NA;NA;NA;5,35;6,063;6,388;6,552;6,564;6,441;6,304;6,241;6,179;6,082;6,051;5,753;NA;5,137;4,913;NA;4,706;NA;NA
"2000-01-06";"Mid Yield";NA;NA;NA;5,35;6,056;6,378;6,545;6,559;6,451;6,329;6,27;6,202;6,1;6,061;5,763;NA;5,135;4,891;NA;4,664;NA;NA
"2000-01-07";"Mid Yield";NA;NA;NA;5,35;6,047;6,367;6,491;6,505;6,398;6,28;6,225;6,151;6,048;6,008;5,706;NA;5,1;4,815;NA;4,587;NA;NA
"2000-01-10";"Mid Yield";NA;NA;NA;5,35;6,03;6,352;6,439;6,45;6,341;6,221;6,165;6,081;5,976;5,936;5,631;NA;5,038;4,732;NA;4,504;NA;NA
"2000-01-11";"Mid Yield";NA;NA;NA;5,35;6,068;6,399;6,506;6,52;6,408;6,293;6,25;6,169;6,065;6,021;5,716;NA;5,085;4,766;NA;4,531;NA;NA
"2000-01-12";"Mid Yield";NA;NA;NA;5,35;6,073;6,416;6,523;6,539;6,438;6,327;6,295;6,218;6,111;6,064;5,757;NA;5,188;4,88;NA;4,656;NA;NA
"2000-01-13";"Mid Yield";NA;NA;NA;5,414;6,048;6,39;6,481;6,495;6,384;6,27;6,227;6,14;6,025;5,971;5,664;NA;5,126;4,818;NA;4,588;NA;NA
"2000-01-14";"Mid Yield";NA;NA;NA;5,414;6,037;6,376;6,488;6,501;6,398;6,28;6,25;6,172;6,066;6,015;5,709;NA;5,163;4,845;NA;4,614;NA;NA
"2000-01-17";"Mid Yield";NA;NA;NA;5,75;6,074;6,4;6,543;6,559;6,457;6,337;6,308;6,229;6,12;6,073;5,769;NA;5,213;4,895;NA;4,664;NA;NA
"2000-01-18";"Mid Yield";NA;NA;NA;5,76;6,062;6,418;6,594;6,611;6,533;6,422;6,406;6,333;6,219;6,165;5,866;NA;5,292;4,972;NA;4,742;NA;NA
"2000-01-19";"Mid Yield";NA;NA;NA;5,76;6,044;6,379;6,553;6,57;6,493;6,379;6,354;6,274;6,159;6,101;5,801;NA;5,268;4,954;NA;4,734;NA;NA
"2000-01-20";"Mid Yield";NA;NA;NA;5,76;6,043;6,401;6,574;6,591;6,533;6,425;6,402;6,321;6,204;6,144;5,843;NA;5,308;5,002;NA;4,802;NA;NA
"2000-01-21";"Mid Yield";NA;NA;NA;5,85;6;6,374;6,553;6,572;6,504;6,386;6,37;6,29;6,173;6,108;5,8;NA;5,294;5,002;NA;4,803;NA;NA
