"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y"
"2000-01-03";"Mid Yield";12,44;12,37;12,33;11,808;10,875;NA;9,77;NA;NA;NA;NA;8,679;NA;NA;NA
"2000-01-04";"Mid Yield";12,21;12,2;12,1;11,505;10,543;NA;9,675;NA;NA;NA;NA;8,729;NA;NA;NA
"2000-01-05";"Mid Yield";12,16;12,12;12,06;11,517;10,612;NA;9,734;NA;NA;NA;NA;8,763;NA;NA;NA
"2000-01-06";"Mid Yield";12,2;12,11;12,1;11,537;10,731;NA;9,979;NA;NA;NA;NA;9,004;NA;NA;NA
"2000-01-07";"Mid Yield";12,16;12,15;12,09;11,502;10,745;NA;9,877;NA;NA;NA;NA;8,948;NA;NA;NA
"2000-01-10";"Mid Yield";12,06;12,02;12,01;11,445;10,67;NA;9,837;NA;NA;NA;NA;8,971;NA;NA;NA
"2000-01-11";"Mid Yield";12,07;11,97;11,9;11,351;10,529;NA;9,773;NA;NA;NA;NA;8,902;NA;NA;NA
"2000-01-12";"Mid Yield";11,99;11,86;11,82;11,277;10,515;NA;9,762;NA;NA;NA;NA;8,942;NA;NA;NA
"2000-01-13";"Mid Yield";11,91;11,81;11,75;11,274;10,476;NA;9,684;NA;NA;NA;NA;8,889;NA;NA;NA
"2000-01-14";"Mid Yield";11,84;11,75;11,7;11,271;10,485;NA;9,699;NA;NA;NA;NA;8,887;NA;NA;NA
"2000-01-17";"Mid Yield";11,78;11,7;11,67;11,261;10,427;NA;9,686;NA;NA;NA;NA;8,889;NA;NA;NA
"2000-01-18";"Mid Yield";11,69;11,64;11,62;11,154;10,419;NA;9,685;NA;NA;NA;NA;8,865;NA;NA;NA
"2000-01-19";"Mid Yield";11,03;10,96;10,93;10,602;10,063;NA;9,586;NA;NA;NA;NA;8,603;NA;NA;NA
"2000-01-20";"Mid Yield";10,6;10,54;10,43;9,991;9,628;NA;9,314;NA;NA;NA;NA;8,409;NA;NA;NA
"2000-01-21";"Mid Yield";10,6;10,56;10,54;10,105;9,768;NA;9,424;NA;NA;NA;NA;8,567;NA;NA;NA
"2000-01-24";"Mid Yield";10,66;10,63;10,58;10,118;9,94;NA;9,533;NA;NA;NA;NA;8,648;NA;NA;NA
"2000-01-25";"Mid Yield";10,77;10,75;10,68;10,293;10,061;NA;9,605;NA;NA;NA;NA;8,775;NA;NA;NA
"2000-01-26";"Mid Yield";10,78;10,73;10,68;10,291;9,97;NA;9,53;NA;NA;NA;NA;8,638;NA;NA;NA
"2000-01-27";"Mid Yield";10,8;10,73;10,69;10,328;10,009;NA;9,428;NA;NA;NA;NA;8,605;NA;NA;NA
"2000-01-28";"Mid Yield";10,84;10,8;10,73;10,376;10,035;NA;9,446;NA;NA;NA;NA;8,629;NA;NA;NA
"2000-01-31";"Mid Yield";10,82;10,81;10,75;10,321;10,046;NA;9,411;NA;NA;NA;NA;8,625;NA;NA;NA
"2000-02-01";"Mid Yield";10,85;10,84;10,74;10,407;10,041;NA;9,418;NA;NA;NA;NA;8,602;NA;NA;NA
"2000-02-02";"Mid Yield";10,85;10,8;10,75;10,4;10,011;NA;9,391;NA;NA;NA;NA;8,583;NA;NA;NA
"2000-02-03";"Mid Yield";10,84;10,83;10,81;10,409;10,036;NA;9,42;NA;NA;NA;NA;8,602;NA;NA;NA
"2000-02-04";"Mid Yield";10,82;10,81;10,8;10,381;10,018;NA;9,397;NA;NA;NA;NA;8,605;NA;NA;NA
"2000-02-07";"Mid Yield";10,83;10,8;10,78;10,338;10,048;NA;9,424;NA;NA;NA;NA;8,625;NA;NA;NA
"2000-02-08";"Mid Yield";10,83;10,8;10,8;10,377;10,044;NA;9,431;NA;NA;NA;NA;8,598;NA;NA;NA
"2000-02-09";"Mid Yield";10,81;10,78;10,77;10,321;10,019;NA;9,395;NA;NA;NA;NA;8,571;NA;NA;NA
"2000-02-10";"Mid Yield";10,75;10,72;10,68;10,323;9,968;NA;9,34;NA;NA;NA;NA;8,554;NA;NA;NA
"2000-02-11";"Mid Yield";10,68;10,65;10,64;10,203;9,895;NA;9,267;NA;NA;NA;NA;8,518;NA;NA;NA
"2000-02-14";"Mid Yield";10,65;10,63;10,58;10,223;9,812;NA;9,177;NA;NA;NA;NA;8,404;NA;NA;NA
"2000-02-15";"Mid Yield";10,65;10,63;10,58;10,14;9,691;NA;8,932;NA;NA;NA;NA;8,289;NA;NA;NA
"2000-02-16";"Mid Yield";10,53;10,47;10,4;10;9,632;NA;8,899;NA;NA;NA;NA;8,321;NA;NA;NA
"2000-02-17";"Mid Yield";10,35;10,3;10,18;9,812;9,482;NA;8,788;NA;NA;NA;NA;8,269;NA;NA;NA
"2000-02-18";"Mid Yield";10,32;10,35;10,18;9,788;9,433;NA;8,679;NA;NA;NA;NA;8,174;NA;NA;NA
"2000-02-21";"Mid Yield";10,35;10,36;10,16;9,798;9,428;NA;8,698;NA;NA;NA;NA;8,261;NA;NA;NA
"2000-02-22";"Mid Yield";10,37;10,36;10,19;9,813;9,397;NA;8,681;NA;NA;NA;NA;8,268;NA;NA;NA
"2000-02-23";"Mid Yield";10,34;10,3;10,06;9,728;9,247;NA;8,523;NA;NA;NA;NA;8,009;NA;NA;NA
"2000-02-24";"Mid Yield";10,08;10,03;9,79;9,446;8,911;NA;8,3;NA;NA;NA;NA;7,905;NA;NA;NA
"2000-02-25";"Mid Yield";10;9,86;9,6;9,238;8,933;NA;8,245;NA;NA;NA;NA;7,928;NA;NA;NA
"2000-02-28";"Mid Yield";10,11;9,98;9,62;9,287;9,004;NA;8,378;NA;NA;NA;NA;7,956;NA;NA;NA
"2000-02-29";"Mid Yield";10,1;10,01;9,58;9,392;9,088;NA;8,561;NA;NA;NA;NA;8,069;NA;NA;NA
"2000-03-01";"Mid Yield";10,13;10,05;9,62;9,38;9,049;NA;8,309;NA;NA;NA;NA;8,007;NA;NA;NA
"2000-03-02";"Mid Yield";10,11;10,02;9,67;9,346;9,017;NA;8,194;NA;NA;NA;NA;7,846;NA;NA;NA
"2000-03-03";"Mid Yield";10,06;9,99;9,68;9,294;8,937;NA;8,093;NA;NA;NA;NA;7,724;NA;NA;NA
"2000-03-06";"Mid Yield";10,05;9,99;9,67;9,249;8,779;NA;8,012;NA;NA;NA;NA;7,695;NA;NA;NA
"2000-03-07";"Mid Yield";10;9,99;9,66;9,177;8,61;NA;7,803;NA;NA;NA;NA;7,569;NA;NA;NA
"2000-03-08";"Mid Yield";9,99;9,96;9,64;9,169;8,596;NA;7,736;NA;NA;NA;NA;7,526;NA;NA;NA
"2000-03-09";"Mid Yield";10,06;10,03;9,73;9,181;8,651;NA;8,003;NA;NA;NA;NA;7,508;NA;NA;NA
"2000-03-10";"Mid Yield";10,11;10,07;9,79;9,242;8,797;NA;7,994;NA;NA;NA;NA;7,733;NA;NA;NA
"2000-03-13";"Mid Yield";10,45;10,38;10,13;9,673;9,203;NA;8,476;NA;NA;NA;NA;8,086;NA;NA;NA
"2000-03-14";"Mid Yield";10,88;10,7;10,49;9,928;9,279;NA;8,491;NA;NA;NA;NA;8,11;NA;NA;NA
"2000-03-15";"Mid Yield";10,88;10,7;10,49;9,933;9,388;NA;8,511;NA;NA;NA;NA;8,109;NA;NA;NA
"2000-03-16";"Mid Yield";10,81;10,72;10,6;9,815;9,087;NA;8,209;NA;NA;NA;NA;7,925;NA;NA;NA
"2000-03-17";"Mid Yield";10,83;10,78;10,65;9,825;9,043;NA;8,214;NA;NA;NA;NA;7,952;NA;NA;NA
"2000-03-20";"Mid Yield";10,91;10,8;10,64;9,918;9,218;NA;8,436;NA;NA;NA;NA;8,082;NA;NA;NA
"2000-03-21";"Mid Yield";10,91;10,79;10,57;9,888;9,054;NA;8,162;NA;NA;NA;NA;7,93;NA;NA;NA
"2000-03-22";"Mid Yield";10,76;10,62;10,43;9,805;8,982;NA;8,164;NA;NA;NA;NA;7,931;NA;NA;NA
"2000-03-23";"Mid Yield";10,73;10,62;10,45;9,799;9,034;NA;8,245;NA;NA;NA;NA;7,938;NA;NA;NA
