"date";"type";"X1M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y";"X40Y"
"2002-12-13";"Mid Yield";NA;NA;NA;NA;NA;14,378;14,697;NA;14,341;NA;14,444;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-16";"Mid Yield";NA;NA;NA;NA;NA;14,348;14,697;NA;14,644;NA;14,454;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-17";"Mid Yield";NA;NA;NA;NA;NA;14,353;14,697;NA;14,645;NA;14,454;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-18";"Mid Yield";NA;NA;NA;NA;NA;14,353;14,697;NA;14,645;NA;14,484;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-19";"Mid Yield";NA;NA;NA;NA;NA;14,504;14,697;NA;14,651;NA;14,504;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-20";"Mid Yield";NA;NA;NA;NA;NA;14,504;14,697;NA;14,787;NA;14,504;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-23";"Mid Yield";NA;NA;NA;NA;NA;14,091;14,403;NA;14,79;NA;14,33;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-24";"Mid Yield";NA;NA;NA;NA;NA;14,06;14,369;NA;14,791;NA;14,452;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-25";"Mid Yield";NA;NA;NA;NA;NA;14,06;14,369;NA;14,791;NA;14,452;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-26";"Mid Yield";NA;NA;NA;NA;NA;14,06;14,369;NA;14,791;NA;14,452;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-27";"Mid Yield";NA;NA;NA;NA;NA;13,995;14,308;NA;14,791;NA;14,37;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-30";"Mid Yield";NA;NA;NA;NA;NA;13,988;14,308;NA;14,791;NA;14,436;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2002-12-31";"Mid Yield";NA;NA;NA;NA;NA;13,988;14,308;NA;14,791;NA;14,436;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-01";"Mid Yield";NA;NA;NA;NA;NA;13,988;14,308;NA;14,791;NA;14,436;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-02";"Mid Yield";NA;NA;NA;NA;NA;13,975;14,247;NA;14,791;NA;14,436;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-03";"Mid Yield";NA;NA;NA;NA;NA;13,975;14,247;NA;14,791;NA;14,436;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-06";"Mid Yield";NA;NA;NA;NA;NA;13,824;13,891;NA;14,305;NA;14,356;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-07";"Mid Yield";NA;NA;NA;NA;NA;13,748;13,846;NA;14,164;NA;14,338;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-08";"Mid Yield";NA;NA;NA;NA;NA;13,711;13,81;NA;14,137;NA;14,266;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-09";"Mid Yield";NA;NA;NA;NA;NA;13,689;13,731;NA;14,141;NA;14,302;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2003-01-10";"Mid Yield";NA;NA;NA;NA;NA;13,689;13,818;NA;14,146;NA;14,281;NA;NA;NA;NA;NA;NA;NA;NA;NA
