"date";"type";"X1M";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X30Y";"X40Y"
"2000-01-03";"Mid Yield";NA;0,051;0,087;NA;NA;NA;0,762;NA;NA;NA;NA;1,524;1,675;NA;2,343;2,398;NA
"2000-01-04";"Mid Yield";NA;0,055;0,089;NA;NA;NA;0,827;NA;NA;NA;NA;1,593;1,738;NA;2,403;2,459;NA
"2000-01-05";"Mid Yield";NA;0,043;0,093;NA;NA;NA;0,796;NA;NA;NA;NA;1,57;1,693;NA;2,38;2,434;NA
"2000-01-06";"Mid Yield";NA;0,075;0,112;NA;NA;NA;0,793;NA;NA;NA;NA;1,555;1,68;NA;2,355;2,408;NA
"2000-01-07";"Mid Yield";NA;0,095;0,141;NA;NA;NA;0,839;NA;NA;NA;NA;1,597;1,714;NA;2,382;2,437;NA
"2000-01-10";"Mid Yield";NA;0,095;0,141;NA;NA;NA;0,839;NA;NA;NA;NA;1,597;1,714;NA;2,382;2,437;NA
"2000-01-11";"Mid Yield";NA;0,109;0,152;NA;NA;NA;0,843;NA;NA;NA;NA;1,599;1,709;NA;2,367;2,422;NA
"2000-01-12";"Mid Yield";NA;0,12;0,161;NA;NA;NA;0,896;NA;NA;NA;NA;1,633;1,733;NA;2,346;2,421;NA
"2000-01-13";"Mid Yield";NA;0,108;0,152;NA;NA;NA;0,868;NA;NA;NA;NA;1,638;1,817;NA;2,342;2,412;NA
"2000-01-14";"Mid Yield";NA;0,106;0,147;NA;NA;NA;0,836;NA;NA;NA;NA;1,624;1,8;NA;2,336;2,407;NA
"2000-01-17";"Mid Yield";NA;0,103;0,129;NA;NA;NA;0,846;NA;NA;NA;NA;1,624;1,8;NA;2,355;2,425;NA
"2000-01-18";"Mid Yield";NA;0,102;0,126;NA;NA;NA;0,835;NA;NA;NA;NA;1,595;1,765;NA;2,375;2,418;NA
"2000-01-19";"Mid Yield";NA;0,101;0,123;NA;NA;NA;0,834;NA;NA;NA;NA;1,606;1,775;NA;2,38;2,423;NA
"2000-01-20";"Mid Yield";NA;0,119;0,114;NA;NA;NA;0,855;NA;NA;NA;NA;1,633;1,8;NA;2,383;2,429;NA
"2000-01-21";"Mid Yield";NA;0,107;0,1;NA;NA;NA;0,833;NA;NA;NA;NA;1,599;1,759;NA;2,335;2,377;NA
"2000-01-24";"Mid Yield";NA;0,104;0,085;NA;NA;NA;0,788;NA;NA;NA;NA;1,525;1,68;NA;2,23;2,272;NA
"2000-01-25";"Mid Yield";NA;0,081;0,074;NA;NA;NA;0,758;NA;NA;NA;NA;1,499;1,625;NA;2,213;2,259;NA
"2000-01-26";"Mid Yield";NA;0,078;0,065;NA;NA;NA;0,754;NA;NA;NA;NA;1,518;1,644;NA;2,234;2,274;NA
"2000-01-27";"Mid Yield";NA;0,079;0,065;NA;NA;NA;0,756;NA;NA;NA;NA;1,523;1,645;NA;2,24;2,28;NA
"2000-01-28";"Mid Yield";NA;0,078;0,064;NA;NA;NA;0,74;NA;NA;NA;NA;1,501;1,68;NA;2,21;2,248;NA
"2000-01-31";"Mid Yield";NA;0,077;0,063;NA;NA;NA;0,793;NA;NA;NA;NA;1,555;1,735;NA;2,261;2,296;NA
"2000-02-01";"Mid Yield";NA;0,072;0,065;NA;NA;NA;0,829;NA;NA;NA;NA;1,592;1,77;NA;2,297;2,33;NA
"2000-02-02";"Mid Yield";NA;0,076;0,062;NA;NA;NA;0,889;NA;NA;NA;NA;1,678;1,854;NA;2,388;2,42;NA
"2000-02-03";"Mid Yield";NA;0,077;0,065;NA;NA;NA;0,88;NA;NA;NA;NA;1,691;1,869;NA;2,372;2,404;NA
"2000-02-04";"Mid Yield";NA;0,074;0,059;NA;NA;NA;0,842;NA;NA;NA;NA;1,657;1,834;NA;2,342;2,369;NA
"2000-02-07";"Mid Yield";NA;0,073;0,052;NA;NA;NA;0,863;NA;NA;NA;NA;1,697;1,87;NA;2,399;2,421;NA
"2000-02-08";"Mid Yield";NA;0,071;0,075;NA;NA;NA;0,908;NA;NA;NA;NA;1,748;1,919;NA;2,467;2,481;NA
"2000-02-09";"Mid Yield";NA;0,073;0,077;NA;NA;NA;0,891;NA;NA;NA;NA;1,719;1,894;NA;2,434;2,446;NA
"2000-02-10";"Mid Yield";NA;0,047;0,066;NA;NA;NA;0,894;NA;NA;NA;NA;1,708;1,859;NA;2,401;2,398;NA
"2000-02-11";"Mid Yield";NA;0,047;0,066;NA;NA;NA;0,894;NA;NA;NA;NA;1,708;1,859;NA;2,401;2,398;NA
"2000-02-14";"Mid Yield";NA;0,049;0,068;NA;NA;NA;0,873;NA;NA;NA;NA;1,678;1,827;NA;2,364;2,363;NA
"2000-02-15";"Mid Yield";NA;0,047;0,058;NA;NA;NA;0,858;NA;NA;NA;NA;1,653;1,801;NA;2,309;2,309;NA
"2000-02-16";"Mid Yield";NA;0,053;0,056;NA;NA;NA;0,854;NA;NA;NA;NA;1,649;1,795;NA;2,29;2,29;NA
