"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X5Y";"X10Y";"X20Y";"X30Y";"X50Y"
"2000-01-03";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-04";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-05";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-06";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-07";"Mid Yield";NA;NA;9,006;NA;9,165;NA;NA;NA;NA;NA
"2000-01-10";"Mid Yield";7,97;NA;9,006;NA;9,165;NA;NA;NA;NA;NA
"2000-01-11";"Mid Yield";7,97;NA;9,006;NA;9,165;NA;NA;NA;NA;NA
"2000-01-12";"Mid Yield";8,003;NA;9,006;NA;9,165;NA;NA;NA;NA;NA
"2000-01-13";"Mid Yield";8,003;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-14";"Mid Yield";8,003;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-17";"Mid Yield";8,003;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-18";"Mid Yield";8,003;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-19";"Mid Yield";7,918;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-20";"Mid Yield";7,918;NA;8,975;NA;9,429;NA;NA;NA;NA;NA
"2000-01-21";"Mid Yield";7,918;NA;8,765;NA;9,28;NA;NA;NA;NA;NA
"2000-01-24";"Mid Yield";7,918;NA;8,765;NA;9,28;NA;NA;NA;NA;NA
"2000-01-25";"Mid Yield";7,817;NA;8,765;NA;9,28;NA;NA;NA;NA;NA
"2000-01-26";"Mid Yield";7,816;NA;8,765;NA;9,28;NA;NA;NA;NA;NA
"2000-01-27";"Mid Yield";7,816;NA;8,765;NA;9,28;NA;NA;NA;NA;NA
"2000-01-28";"Mid Yield";7,727;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-31";"Mid Yield";7,72;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-01";"Mid Yield";7,72;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-02";"Mid Yield";7,396;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-03";"Mid Yield";7,396;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-04";"Mid Yield";7,396;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-07";"Mid Yield";7,655;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-08";"Mid Yield";7,655;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-09";"Mid Yield";7,672;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-10";"Mid Yield";7,416;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-11";"Mid Yield";7,416;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-14";"Mid Yield";7,558;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-15";"Mid Yield";7,542;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-16";"Mid Yield";7,544;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-17";"Mid Yield";7,287;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-18";"Mid Yield";7,566;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-21";"Mid Yield";7,566;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-22";"Mid Yield";7,558;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-23";"Mid Yield";7,54;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-24";"Mid Yield";7,218;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-25";"Mid Yield";7,218;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-28";"Mid Yield";7,195;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-02-29";"Mid Yield";7,195;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-01";"Mid Yield";7,195;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-02";"Mid Yield";7,195;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-03";"Mid Yield";7,195;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-06";"Mid Yield";7,41;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-07";"Mid Yield";7,41;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-08";"Mid Yield";7,41;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-09";"Mid Yield";7,41;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-10";"Mid Yield";7,41;NA;8,245;8,916;8,979;NA;NA;NA;NA;NA
"2000-03-13";"Mid Yield";7,41;NA;8,245;8,917;8,979;NA;NA;NA;NA;NA
"2000-03-14";"Mid Yield";7,41;NA;8,245;8,932;8,979;NA;NA;NA;NA;NA
"2000-03-15";"Mid Yield";7,364;NA;8,245;8,947;8,979;NA;NA;NA;NA;NA
"2000-03-16";"Mid Yield";7,364;NA;8,249;8,945;9,088;NA;NA;NA;NA;NA
"2000-03-17";"Mid Yield";7,364;NA;8,249;8,967;9,088;NA;NA;NA;NA;NA
"2000-03-20";"Mid Yield";7,282;NA;8,249;8,971;9,088;NA;NA;NA;NA;NA
"2000-03-21";"Mid Yield";7,265;NA;8,249;8,971;9,088;NA;NA;NA;NA;NA
"2000-03-22";"Mid Yield";7,265;NA;8,296;8,976;9,102;NA;NA;NA;NA;NA
"2000-03-23";"Mid Yield";6,512;NA;8,232;8,955;9,072;NA;NA;NA;NA;NA
"2000-03-24";"Mid Yield";7,191;NA;8,291;9,05;9,065;NA;NA;NA;NA;NA
"2000-03-27";"Mid Yield";7,164;NA;8,292;8,982;9,065;NA;NA;NA;NA;NA
"2000-03-28";"Mid Yield";7,133;NA;8,289;8,982;9,038;NA;NA;NA;NA;NA
"2000-03-29";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-30";"Mid Yield";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-03-31";"Mid Yield";NA;NA;NA;NA;9,086;NA;NA;NA;NA;NA
"2000-04-03";"Mid Yield";NA;NA;NA;NA;9,086;NA;NA;NA;NA;NA
"2000-04-04";"Mid Yield";NA;NA;NA;NA;9,086;NA;NA;NA;NA;NA
"2000-04-05";"Mid Yield";NA;NA;NA;NA;9,086;NA;NA;NA;NA;NA
"2000-04-06";"Mid Yield";NA;NA;NA;NA;9,086;NA;NA;NA;NA;NA
"2000-04-07";"Mid Yield";NA;NA;NA;8,777;9,086;NA;NA;NA;NA;NA
"2000-04-10";"Mid Yield";NA;NA;NA;8,777;9,086;NA;NA;NA;NA;NA
"2000-04-11";"Mid Yield";NA;NA;NA;8,777;8,831;9,272;NA;NA;NA;NA
"2000-04-12";"Mid Yield";NA;NA;NA;8,852;8,976;9,306;NA;NA;NA;NA
"2000-04-13";"Mid Yield";NA;NA;NA;8,852;8,976;9,306;NA;NA;NA;NA
"2000-04-14";"Mid Yield";NA;NA;NA;8,852;9,015;9,358;NA;NA;NA;NA
"2000-04-17";"Mid Yield";NA;NA;NA;8,963;9,055;9,408;NA;NA;NA;NA
"2000-04-18";"Mid Yield";NA;NA;NA;8,878;8,945;9,318;NA;NA;NA;NA
"2000-04-19";"Mid Yield";NA;NA;NA;8,858;8,915;9,289;NA;NA;NA;NA
"2000-04-20";"Mid Yield";NA;NA;NA;8,877;8,936;9,326;NA;NA;NA;NA
"2000-04-21";"Mid Yield";NA;NA;NA;8,877;8,945;9,339;NA;NA;NA;NA
"2000-04-24";"Mid Yield";NA;NA;NA;8,894;8,925;9,309;NA;NA;NA;NA
"2000-04-25";"Mid Yield";NA;NA;NA;8,914;8,925;9,309;NA;NA;NA;NA
"2000-04-26";"Mid Yield";NA;NA;NA;8,939;8,985;9,338;NA;NA;NA;NA
"2000-04-27";"Mid Yield";NA;7,826;NA;8,839;NA;9,338;NA;NA;NA;NA
"2000-04-28";"Mid Yield";NA;7,968;8,335;8,839;NA;9,313;NA;NA;NA;NA
"2000-05-01";"Mid Yield";NA;7,968;8,335;8,839;NA;9,313;NA;NA;NA;NA
"2000-05-02";"Mid Yield";NA;7,968;8,335;8,839;NA;9,313;NA;NA;NA;NA
"2000-05-03";"Mid Yield";NA;7,968;8,216;8,839;NA;9,229;NA;NA;NA;NA
"2000-05-04";"Mid Yield";NA;7,968;8,216;8,761;NA;9,229;NA;NA;NA;NA
"2000-05-05";"Mid Yield";NA;7,968;8,216;8,761;NA;9,229;NA;NA;NA;NA
"2000-05-08";"Mid Yield";NA;7,968;8,216;8,761;NA;9,229;NA;NA;NA;NA
