"date";"type";"X1M";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2001-04-26";"Mid Yield";NA;NA;NA;NA;14,589;14,234;13,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-04-27";"Mid Yield";NA;NA;NA;NA;14,589;14,234;13,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-04-30";"Mid Yield";NA;NA;NA;NA;14,506;14,136;13,524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-01";"Mid Yield";NA;NA;NA;NA;14,506;14,136;13,524;13,196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-02";"Mid Yield";NA;NA;NA;NA;14,506;14,243;13,693;13,367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-03";"Mid Yield";NA;NA;NA;NA;14,783;14,248;13,693;13,366;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-04";"Mid Yield";NA;NA;NA;NA;14,681;14,248;13,693;13,367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-07";"Mid Yield";NA;NA;NA;NA;14,524;14,248;13,691;13,367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-08";"Mid Yield";NA;NA;NA;NA;14,524;14,248;13,691;13,367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-09";"Mid Yield";NA;NA;NA;NA;14,45;14,09;13,527;13,218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-10";"Mid Yield";NA;NA;NA;NA;14,395;14,371;13,498;13,218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-11";"Mid Yield";NA;NA;NA;NA;14,393;14,037;13,498;13,147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-14";"Mid Yield";NA;NA;NA;NA;14,393;14,037;13,498;13,147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-15";"Mid Yield";NA;NA;NA;NA;14,191;13,981;13,516;13,147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-16";"Mid Yield";NA;NA;NA;NA;14,164;13,981;13,311;13,162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-17";"Mid Yield";NA;NA;NA;NA;13,982;13,615;13,258;13,061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-18";"Mid Yield";NA;NA;NA;NA;13,982;13,615;13,258;13,061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-21";"Mid Yield";NA;NA;NA;NA;13,982;13,615;13,258;13,061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-22";"Mid Yield";NA;NA;NA;NA;12,268;13,615;13,258;13,061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-23";"Mid Yield";NA;NA;NA;NA;12,373;13,615;12,31;13,061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-24";"Mid Yield";NA;NA;NA;NA;12,523;12,328;12,31;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-25";"Mid Yield";NA;NA;NA;NA;12,557;12,328;12,516;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-28";"Mid Yield";NA;NA;NA;NA;12,612;12,619;12,521;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-29";"Mid Yield";NA;NA;NA;NA;12,662;12,562;12,532;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-30";"Mid Yield";NA;NA;NA;NA;12,825;12,769;12,684;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-05-31";"Mid Yield";NA;NA;NA;NA;12,825;12,769;12,684;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-01";"Mid Yield";NA;NA;NA;NA;13,033;12,769;12,561;12,191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-04";"Mid Yield";NA;NA;NA;NA;12,931;12,715;12,706;12,575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-05";"Mid Yield";NA;NA;NA;NA;13,036;12,988;12,77;12,662;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-06";"Mid Yield";NA;NA;NA;NA;12,996;12,915;12,682;12,564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-07";"Mid Yield";NA;NA;NA;NA;12,815;12,746;12,615;12,411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-08";"Mid Yield";NA;NA;NA;NA;12,614;12,745;12,534;12,508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-11";"Mid Yield";NA;NA;NA;NA;12,499;12,657;12,436;12,433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-12";"Mid Yield";NA;NA;NA;NA;12,64;12,427;12,373;12,239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-13";"Mid Yield";NA;NA;NA;NA;12,291;12,417;12,349;12,162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-14";"Mid Yield";NA;NA;NA;NA;12,291;12,417;12,349;12,162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-15";"Mid Yield";NA;NA;NA;NA;12,236;12,266;12,123;12,074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-18";"Mid Yield";NA;NA;NA;NA;11,992;11,94;11,907;11,845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-19";"Mid Yield";NA;NA;NA;NA;12,1;11,957;11,92;11,831;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-20";"Mid Yield";NA;NA;NA;NA;11,978;12,042;11,973;11,832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-21";"Mid Yield";NA;NA;NA;NA;12,078;12,11;12,02;11,833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-22";"Mid Yield";NA;NA;NA;NA;12,278;12,303;12,153;11,987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-25";"Mid Yield";NA;NA;NA;NA;12,248;12,322;12,232;11,914;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-26";"Mid Yield";NA;NA;NA;NA;12,382;12,425;12,282;12,012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-27";"Mid Yield";NA;NA;NA;NA;12,299;12,352;12,211;12,012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-28";"Mid Yield";NA;NA;NA;NA;12,506;12,326;12,203;11,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-06-29";"Mid Yield";NA;NA;NA;NA;12,502;12,341;12,196;11,884;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-02";"Mid Yield";NA;NA;NA;NA;12,479;12,334;12,195;11,907;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-03";"Mid Yield";NA;NA;NA;NA;12,249;12,375;12,283;12,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-04";"Mid Yield";NA;NA;NA;NA;12,344;12,437;12,372;12,16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-05";"Mid Yield";NA;NA;NA;NA;12,506;12,613;12,599;12,267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-06";"Mid Yield";NA;NA;NA;NA;12,531;12,563;12,615;12,34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-09";"Mid Yield";NA;NA;NA;NA;12,5;12,454;12,525;12,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-10";"Mid Yield";NA;NA;NA;NA;12,661;12,718;12,639;12,224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-11";"Mid Yield";NA;NA;NA;NA;12,86;12,853;12,913;12,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-12";"Mid Yield";NA;NA;NA;NA;12,88;13,055;13,032;12,881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-13";"Mid Yield";NA;NA;NA;NA;13,118;13,156;13,05;13,012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-16";"Mid Yield";NA;NA;NA;NA;13,19;13,048;13,146;12,812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-17";"Mid Yield";NA;NA;NA;NA;12,984;13,025;12,999;12,682;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-18";"Mid Yield";NA;NA;NA;NA;12,955;13,081;13;12,494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2001-07-19";"Mid Yield";NA;NA;NA;NA;12,955;13,081;13;12,494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
