"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X30Y"
"2000-01-03";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,987;-2,42e-14;5,129;NA;6,048;NA;NA;6,34;NA;NA;NA
"2000-01-04";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,926;-2,42e-14;5,031;NA;6,052;NA;NA;6,314;NA;NA;NA
"2000-01-05";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,911;-2,42e-14;5,086;NA;6,018;NA;NA;6,328;NA;NA;NA
"2000-01-06";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,731;-2,42e-14;5,086;NA;5,967;NA;NA;6,328;NA;NA;NA
"2000-01-07";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,765;-2,42e-14;4,942;NA;5,865;NA;NA;6,27;NA;NA;NA
"2000-01-10";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,765;-2,42e-14;4,942;NA;5,865;NA;NA;6,27;NA;NA;NA
"2000-01-11";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,765;-2,42e-14;4,942;NA;5,865;NA;NA;6,27;NA;NA;NA
"2000-01-12";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,666;-2,42e-14;4,895;NA;5,661;NA;NA;6,27;NA;NA;NA
"2000-01-13";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,752;-2,42e-14;4,895;NA;5,638;NA;NA;6,212;NA;NA;NA
"2000-01-14";"Mid Yield";-2,42e-14;-2,42e-14;-2,42e-14;NA;3,659;-2,42e-14;4,959;NA;5,615;NA;NA;6,053;NA;NA;NA
