"date";"type";"X1M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y"
"2000-01-03";"Mid Yield";NA;5,66;5,62;NA;5,71;5,882;NA;NA;6,056;NA;NA;6,217;NA;6,247;NA;NA
"2000-01-04";"Mid Yield";NA;5,67;5,67;NA;5,72;5,915;NA;NA;6,098;NA;NA;6,263;NA;6,306;NA;NA
"2000-01-05";"Mid Yield";NA;5,67;5,67;NA;5,75;5,918;NA;NA;6,072;NA;NA;6,243;NA;6,296;NA;NA
"2000-01-06";"Mid Yield";NA;5,69;5,72;NA;5,81;5,953;NA;NA;6,104;NA;NA;6,277;NA;6,346;NA;NA
"2000-01-07";"Mid Yield";NA;5,69;5,69;NA;5,75;5,929;NA;NA;6,085;NA;NA;6,242;NA;6,302;NA;NA
"2000-01-10";"Mid Yield";NA;5,69;5,72;NA;5,8;5,928;NA;NA;6,051;NA;NA;6,211;NA;6,268;NA;NA
"2000-01-11";"Mid Yield";NA;5,71;5,73;NA;5,83;5,986;NA;NA;6,149;NA;NA;6,321;NA;6,389;NA;NA
"2000-01-12";"Mid Yield";NA;5,78;5,78;NA;5,8;6,007;NA;NA;6,19;NA;NA;6,357;NA;6,426;NA;NA
"2000-01-13";"Mid Yield";NA;5,77;5,77;NA;5,79;5,99;NA;NA;6,18;NA;NA;6,344;NA;6,414;NA;NA
"2000-01-14";"Mid Yield";NA;5,75;5,77;NA;5,85;5,984;NA;NA;6,131;NA;NA;6,289;NA;6,354;NA;NA
"2000-01-17";"Mid Yield";NA;5,73;5,76;NA;5,85;6,016;NA;NA;6,183;NA;NA;6,317;NA;6,373;NA;NA
"2000-01-18";"Mid Yield";NA;5,73;5,75;NA;5,86;6,041;NA;NA;6,225;NA;NA;6,374;NA;6,447;NA;NA
"2000-01-19";"Mid Yield";NA;5,7;5,77;NA;5,86;6,01;NA;NA;6,175;NA;NA;6,339;NA;6,414;NA;NA
"2000-01-20";"Mid Yield";NA;5,72;5,76;NA;5,85;6,02;NA;NA;6,187;NA;NA;6,34;NA;6,414;NA;NA
"2000-01-21";"Mid Yield";NA;5,71;5,77;NA;5,85;5,995;NA;NA;6,175;NA;NA;6,318;NA;6,392;NA;NA
"2000-01-24";"Mid Yield";NA;5,72;5,77;NA;5,86;6,033;NA;NA;6,173;NA;NA;6,306;NA;6,372;NA;NA
"2000-01-25";"Mid Yield";NA;5,72;5,76;NA;5,86;6,013;NA;NA;6,153;NA;NA;6,254;NA;6,327;NA;NA
"2000-01-26";"Mid Yield";NA;5,72;5,76;NA;5,85;6,016;NA;NA;6,151;NA;NA;6,257;NA;6,324;NA;NA
"2000-01-27";"Mid Yield";NA;5,73;5,76;NA;5,86;6,04;NA;NA;6,215;NA;NA;6,323;NA;6,394;NA;NA
"2000-01-28";"Mid Yield";NA;5,74;5,78;NA;5,85;6,056;NA;NA;6,211;NA;NA;6,351;NA;6,403;NA;NA
"2000-01-31";"Mid Yield";NA;5,73;5,79;NA;5,85;6,045;NA;NA;6,188;NA;NA;6,314;NA;6,374;NA;NA
"2000-02-01";"Mid Yield";NA;5,74;5,78;NA;5,85;6,015;NA;NA;6,133;NA;NA;6,227;NA;6,278;NA;NA
"2000-02-02";"Mid Yield";NA;5,74;5,78;NA;5,85;6,029;NA;NA;6,148;NA;NA;6,23;NA;6,283;NA;NA
"2000-02-03";"Mid Yield";NA;5,77;5,82;NA;5,92;6,135;NA;NA;6,245;NA;NA;6,283;NA;6,321;NA;NA
"2000-02-04";"Mid Yield";NA;5,76;5,79;NA;5,92;6,132;NA;NA;6,23;NA;NA;6,277;NA;6,303;NA;NA
"2000-02-07";"Mid Yield";NA;5,72;5,78;NA;5,92;6,145;NA;NA;6,236;NA;NA;6,288;NA;6,343;NA;NA
"2000-02-08";"Mid Yield";NA;5,73;5,77;NA;5,93;6,103;NA;NA;6,208;NA;NA;6,259;NA;6,307;NA;NA
"2000-02-09";"Mid Yield";NA;5,77;5,76;NA;5,89;6,117;NA;NA;6,224;NA;NA;6,276;NA;6,325;NA;NA
"2000-02-10";"Mid Yield";NA;5,77;5,79;NA;5,92;6,152;NA;NA;6,274;NA;NA;6,32;NA;6,358;NA;NA
"2000-02-11";"Mid Yield";NA;5,77;5,78;NA;5,94;6,17;NA;NA;6,292;NA;NA;6,346;NA;6,396;NA;NA
"2000-02-14";"Mid Yield";NA;5,75;5,77;NA;5,93;6,138;NA;NA;6,253;NA;NA;6,309;NA;6,358;NA;NA
