"date";"type";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X30Y"
"2000-01-03";"Mid Yield";5,175;5,565;6,064;6,634;6,924;7,084;NA;NA;7,216;NA;NA;7,316;NA;NA;NA;NA
"2000-01-04";"Mid Yield";5,215;5,485;6,065;6,635;6,925;7,085;NA;NA;7,215;NA;NA;7,315;NA;NA;NA;NA
"2000-01-05";"Mid Yield";5,365;5,655;6,141;6,711;6,986;7,164;NA;NA;7,306;NA;NA;7,39;NA;NA;NA;NA
"2000-01-06";"Mid Yield";5,365;5,705;6,205;6,786;7,069;7,254;NA;NA;7,4;NA;NA;7,487;NA;NA;NA;NA
"2000-01-07";"Mid Yield";5,295;5,645;6,18;6,806;7,067;7,232;NA;NA;7,387;NA;NA;7,474;NA;NA;NA;NA
"2000-01-10";"Mid Yield";5,305;5,705;6,243;6,813;7,075;7,245;NA;NA;7,381;NA;NA;7,466;NA;NA;NA;NA
"2000-01-11";"Mid Yield";5,305;5,675;6,25;6,842;7,107;7,258;NA;NA;7,425;NA;NA;7,511;NA;NA;NA;NA
"2000-01-12";"Mid Yield";5,305;5,665;6,297;6,877;7,149;7,319;NA;NA;7,459;NA;NA;7,544;NA;NA;NA;NA
"2000-01-13";"Mid Yield";5,275;5,685;6,3;6,87;7,15;7,31;NA;NA;7,44;NA;NA;7,53;NA;NA;NA;NA
"2000-01-14";"Mid Yield";5,125;5,635;6,27;6,84;7,12;7,28;NA;NA;7,41;NA;NA;7,5;NA;NA;NA;NA
"2000-01-17";"Mid Yield";5,345;5,755;6,33;6,912;7,16;7,332;NA;NA;7,465;NA;NA;7,547;NA;NA;NA;NA
"2000-01-18";"Mid Yield";5,385;5,775;6,35;6,9;7,175;7,31;NA;NA;7,43;NA;NA;7,52;NA;NA;NA;NA
"2000-01-19";"Mid Yield";5,385;5,755;6,464;7,018;7,288;7,404;NA;NA;7,481;NA;NA;7,594;NA;NA;NA;NA
"2000-01-20";"Mid Yield";5,405;5,765;6,436;6,978;7,248;7,366;NA;NA;7,448;NA;NA;7,526;NA;NA;NA;NA
"2000-01-21";"Mid Yield";5,535;5,795;6,448;6,998;7,268;7,36;NA;NA;7,44;NA;NA;7,518;NA;NA;NA;NA
"2000-01-24";"Mid Yield";5,44;5,845;6,447;6,997;7,267;7,367;NA;NA;7,42;NA;NA;7,512;NA;NA;NA;NA
"2000-01-25";"Mid Yield";5,225;5,825;6,472;6,988;7,254;7,336;NA;NA;7,408;NA;NA;7,462;NA;NA;NA;NA
"2000-01-26";"Mid Yield";5,465;5,835;6,466;6,958;7,24;7,348;NA;NA;7,444;NA;NA;7,5;NA;NA;NA;NA
"2000-01-27";"Mid Yield";5,485;5,785;6,42;6,926;7,18;7,314;NA;NA;7,38;NA;NA;7,44;NA;NA;NA;NA
"2000-01-28";"Mid Yield";5,335;5,8;6,518;6,974;7,238;7,336;NA;NA;7,412;NA;NA;7,476;NA;NA;NA;NA
"2000-01-31";"Mid Yield";5,28;5,955;6,608;7,01;7,283;7,364;NA;NA;7,422;NA;NA;7,481;NA;NA;NA;NA
"2000-02-01";"Mid Yield";5,565;6,025;6,6;7,034;7,294;7,374;NA;NA;7,434;NA;NA;7,484;NA;NA;NA;NA
"2000-02-02";"Mid Yield";5,505;5,995;6,676;7,109;7,306;7,386;NA;NA;7,439;NA;NA;7,484;NA;NA;NA;NA
"2000-02-03";"Mid Yield";5,495;6,055;6,696;7,126;7,305;7,376;NA;NA;7,416;NA;NA;7,43;NA;NA;NA;NA
"2000-02-04";"Mid Yield";5,505;5,985;6,65;7,096;7,266;7,336;NA;NA;7,369;NA;NA;7,386;NA;NA;NA;NA
"2000-02-07";"Mid Yield";5,575;6,035;6,67;7,1;7,309;7,376;NA;NA;7,39;NA;NA;7,446;NA;NA;NA;NA
"2000-02-08";"Mid Yield";5,665;6,135;6,71;7,186;7,34;7,39;NA;NA;7,462;NA;NA;7,484;NA;NA;NA;NA
"2000-02-09";"Mid Yield";5,675;6,015;6,721;7,15;7,286;7,341;NA;NA;7,398;NA;NA;7,4;NA;NA;NA;NA
"2000-02-10";"Mid Yield";5,645;6,095;6,736;7,166;7,316;7,367;NA;NA;7,397;NA;NA;7,426;NA;NA;NA;NA
"2000-02-11";"Mid Yield";5,635;6,105;6,743;7,18;7,326;7,386;NA;NA;7,436;NA;NA;7,467;NA;NA;NA;NA
"2000-02-14";"Mid Yield";5,645;6,105;6,701;7,154;7,286;7,344;NA;NA;7,387;NA;NA;7,423;NA;NA;NA;NA
"2000-02-15";"Mid Yield";5,675;6,105;6,711;7,126;7,256;7,301;NA;NA;7,329;NA;NA;7,351;NA;NA;NA;NA
"2000-02-16";"Mid Yield";5,675;6,105;6,674;7,112;7,242;7,292;NA;NA;7,339;NA;NA;7,359;NA;NA;NA;NA
"2000-02-17";"Mid Yield";5,815;6,065;6,629;7,078;7,201;7,243;NA;NA;7,302;NA;NA;7,322;NA;NA;NA;NA
"2000-02-18";"Mid Yield";5,825;6,075;6,618;7,069;7,199;7,239;NA;NA;7,299;NA;NA;7,331;NA;NA;NA;NA
"2000-02-21";"Mid Yield";5,83;6,075;6,632;7,024;7,112;7,142;NA;NA;7,172;NA;NA;7,2;NA;NA;NA;NA
"2000-02-22";"Mid Yield";5,835;6,085;6,64;7,034;7,107;7,126;NA;NA;7,14;NA;NA;7,17;NA;NA;NA;NA
"2000-02-23";"Mid Yield";5,855;6,105;6,661;7,034;7,079;7,106;NA;NA;7,126;NA;NA;7,146;NA;NA;NA;NA
"2000-02-24";"Mid Yield";5,865;6,115;6,681;7,013;7,072;7,102;NA;NA;7,124;NA;NA;7,142;NA;NA;NA;NA
"2000-02-25";"Mid Yield";5,875;6,125;6,671;6,961;6,999;7,009;NA;NA;7,019;NA;NA;7,029;NA;NA;NA;NA
"2000-02-28";"Mid Yield";5,895;6,155;6,689;6,966;7,019;7,029;NA;NA;7,039;NA;NA;7,056;NA;NA;NA;NA
"2000-02-29";"Mid Yield";5,875;6,225;6,722;7,008;7,062;7,082;NA;NA;7,13;NA;NA;7,122;NA;NA;NA;NA
