"date";"type";"X1M";"X3M";"X6M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X7Y";"X10Y";"X15Y";"X20Y";"X25Y"
"2000-01-03";"Mid Yield";8,941;NA;NA;10,587;12,65;NA;NA;14,075;14,662;15,175;NA;NA;16,25
"2000-01-04";"Mid Yield";8,752;NA;NA;10,489;12,39;NA;NA;14,025;14,529;15,183;NA;NA;16,215
"2000-01-05";"Mid Yield";8,892;NA;NA;10,478;12,25;NA;NA;14,392;14,6;14,783;NA;NA;16,206
"2000-01-06";"Mid Yield";8,936;NA;NA;10,475;12,278;NA;NA;14,362;14,55;15,087;NA;NA;16,25
"2000-01-07";"Mid Yield";8,928;NA;NA;10,507;12,321;NA;NA;14,406;14,394;15,183;NA;NA;16,19
"2000-01-10";"Mid Yield";8,945;NA;NA;10,507;12,296;NA;NA;14,375;14,708;14,583;NA;NA;16,205
"2000-01-11";"Mid Yield";8,888;9,118;9,708;10,47;12,231;NA;NA;14,111;14,483;14,958;NA;NA;16,19
"2000-01-12";"Mid Yield";8,807;9,139;9,749;10,481;11,864;NA;NA;14,27;14,469;14,458;NA;NA;16,125
"2000-01-13";"Mid Yield";8,797;9,123;9,763;10,488;11,953;NA;NA;13,7;13,992;14,817;NA;NA;16,17
"2000-01-14";"Mid Yield";8,853;9,133;9,824;10,518;11,959;NA;NA;13,606;13,95;14,817;NA;NA;16,155
"2000-01-17";"Mid Yield";8,8;9,11;9,805;10,482;11,854;NA;NA;13,875;14,208;14,583;NA;NA;16,125
"2000-01-18";"Mid Yield";8,797;9,077;9,856;10,512;11,91;NA;NA;13,917;14,194;14,483;NA;NA;16,117
"2000-01-19";"Mid Yield";8,786;9,094;9,897;10,638;11,995;NA;NA;13,95;14,25;14,587;NA;NA;16,117
"2000-01-20";"Mid Yield";8,797;9,094;9,989;10,751;12,165;NA;NA;14,245;14,535;14,794;NA;NA;16,117
"2000-01-21";"Mid Yield";8,809;9,141;10,157;11,025;12,375;NA;NA;14,245;14,775;15,042;NA;NA;16,15
"2000-01-24";"Mid Yield";NA;NA;NA;NA;12,34;NA;NA;14,483;14,738;15;NA;NA;16,041
"2000-01-25";"Mid Yield";NA;NA;NA;NA;12,34;NA;NA;14,483;NA;15;NA;NA;16,041
"2000-01-26";"Mid Yield";8,807;9,11;10,052;10,803;12,265;NA;NA;14,295;14,581;14,867;NA;NA;16,094
"2000-01-27";"Mid Yield";8,819;9,157;10,009;10,844;12,381;NA;NA;14,292;14,625;14,867;NA;NA;16,208
"2000-01-28";"Mid Yield";8,764;9,116;9,95;10,758;12,19;NA;NA;14,319;14,583;15,108;NA;NA;16,142
"2000-01-31";"Mid Yield";NA;NA;NA;NA;12,154;NA;NA;14,125;14,584;14,85;NA;NA;16,175
"2000-02-01";"Mid Yield";8,736;NA;NA;10,872;12,175;NA;NA;14,333;14,594;NA;NA;NA;16,175
"2000-02-02";"Mid Yield";8,828;NA;NA;10,899;12,145;NA;NA;14,106;14,583;14,92;NA;NA;16,175
"2000-02-03";"Mid Yield";8,862;NA;NA;10,918;12,14;NA;NA;14,033;14,525;14,92;NA;NA;16,031
"2000-02-04";"Mid Yield";8,775;NA;NA;10,872;12,06;NA;NA;13,863;14,463;14,725;NA;NA;15,975
"2000-02-07";"Mid Yield";NA;NA;NA;NA;12,005;NA;NA;13,833;14,294;14,725;NA;NA;15,933
"2000-02-08";"Mid Yield";8,868;8,995;9,769;10,747;NA;NA;NA;13,767;14,294;14,725;NA;NA;15,933
"2000-02-09";"Mid Yield";8,556;8,899;9,666;10,681;11,906;NA;NA;13,788;14,092;14,5;NA;NA;15,842
