"date";"type";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X12Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2000-01-03";"Mid Yield";NA;NA;NA;15,972;14,317;13,375;12,431;11,574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-04";"Mid Yield";NA;NA;NA;15,941;14,359;13,456;12,431;11,574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-05";"Mid Yield";NA;NA;NA;16,173;14,461;13,603;12,471;11,574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-06";"Mid Yield";NA;NA;NA;16,301;14,919;13,724;12,617;11,967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-07";"Mid Yield";NA;NA;NA;16,265;14,53;13,574;12,62;11,683;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-10";"Mid Yield";NA;NA;NA;16,048;14,44;13,578;12,477;11,742;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-11";"Mid Yield";NA;NA;NA;16,036;14,53;13,578;12,66;11,742;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-12";"Mid Yield";NA;NA;NA;16,32;14,977;13,733;12,705;11,876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-13";"Mid Yield";NA;NA;NA;16,312;14,773;13,813;12,745;11,876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-14";"Mid Yield";NA;NA;NA;16,558;14,794;13,737;12,79;11,936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-17";"Mid Yield";NA;NA;NA;16,643;14,749;13,803;12,79;12,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-18";"Mid Yield";NA;NA;NA;16,612;14,746;13,909;12,79;12,098;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-19";"Mid Yield";NA;NA;NA;16,468;15,273;13,983;12,829;12,051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2000-01-20";"Mid Yield";NA;NA;NA;16,607;15,185;13,747;12,802;11,971;NA;NA;NA;NA;10,385;NA;NA;NA;NA;NA
"2000-01-21";"Mid Yield";NA;NA;NA;16,602;14,971;13,753;12,791;11,874;NA;NA;NA;NA;10,371;NA;NA;NA;NA;NA
"2000-01-24";"Mid Yield";NA;NA;NA;16,572;15,029;13,762;12,926;11,959;NA;NA;NA;NA;10,414;NA;NA;NA;NA;NA
"2000-01-25";"Mid Yield";NA;NA;NA;16,605;15,143;13,885;12,893;12,056;NA;NA;NA;NA;10,519;NA;NA;NA;NA;NA
"2000-01-26";"Mid Yield";NA;NA;NA;16,641;15,242;14,128;12,981;12,323;NA;NA;NA;NA;10,438;NA;NA;NA;NA;NA
