"date";"type";"X1M";"X2M";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X25Y";"X30Y";"X50Y"
"2000-01-03";"Mid Yield";NA;NA;3,417;3,755;NA;4,278;5,154;5,398;5,503;5,581;5,71;5,782;5,835;5,889;5,845;6,059;NA;NA;NA;NA
"2000-01-04";"Mid Yield";NA;NA;3,437;3,787;NA;4,367;5,182;5,442;5,55;5,634;5,758;5,813;5,874;5,913;5,881;6,086;NA;NA;NA;NA
"2000-01-05";"Mid Yield";NA;NA;3,41;3,768;NA;4,358;5,173;5,432;5,54;5,631;5,758;5,809;5,871;5,917;5,879;6,083;NA;NA;NA;NA
"2000-01-06";"Mid Yield";NA;NA;3,41;3,768;NA;4,358;5,185;5,456;5,565;5,654;5,788;5,84;5,914;5,937;5,926;6,081;NA;NA;NA;NA
"2000-01-07";"Mid Yield";NA;NA;3,39;3,742;NA;4,322;5,147;5,4;5,512;5,607;5,732;5,79;5,857;5,898;5,864;6,073;NA;NA;NA;NA
"2000-01-10";"Mid Yield";NA;NA;3,38;3,703;NA;4,267;5,092;5,338;5,451;5,545;5,672;5,724;5,793;5,836;5,8;5,999;NA;NA;NA;NA
"2000-01-11";"Mid Yield";NA;NA;3,382;3,726;NA;4,312;5,16;5,423;5,537;5,643;5,768;5,831;5,897;5,948;5,916;6,102;NA;NA;NA;NA
"2000-01-12";"Mid Yield";NA;NA;3,382;3,71;NA;4,297;5,172;5,433;5,559;5,667;5,796;5,861;5,93;5,976;5,947;6,137;NA;NA;NA;NA
"2000-01-13";"Mid Yield";NA;NA;3,395;3,688;NA;4,277;5,143;5,401;5,525;5,628;5,757;5,817;5,885;5,934;5,902;6,092;NA;NA;NA;NA
"2000-01-14";"Mid Yield";NA;NA;3,384;3,675;NA;4,247;5,107;5,361;5,48;5,585;5,716;5,76;5,827;5,88;5,849;6,039;NA;NA;NA;NA
"2000-01-17";"Mid Yield";NA;NA;3,38;3,678;NA;4,26;5,141;5,408;5,545;5,649;5,788;5,852;5,924;5,97;5,942;6,132;NA;NA;NA;NA
