"date";"type";"X1M";"X2M";"X3M";"X4M";"X6M";"X1Y";"X2Y";"X3Y";"X5Y";"X7Y";"X10Y";"X20Y";"X30Y"
"2000-01-03";"Mid Yield";NA;NA;5,411;NA;5,785;6,078;6,383;NA;6,502;NA;6,592;NA;6,622
"2000-01-04";"Mid Yield";NA;NA;5,447;NA;5,746;6,011;6,298;NA;6,398;NA;6,496;NA;6,537
"2000-01-05";"Mid Yield";NA;NA;5,425;NA;5,725;6,041;6,358;NA;6,483;NA;6,594;NA;6,621
"2000-01-06";"Mid Yield";NA;NA;5,382;NA;5,649;5,996;6,299;NA;6,418;NA;6,524;NA;6,552
"2000-01-07";"Mid Yield";NA;NA;5,38;NA;5,646;6,005;6,307;NA;6,411;NA;6,515;NA;6,546
"2000-01-10";"Mid Yield";NA;NA;5,39;NA;5,656;6,049;6,359;NA;6,461;NA;6,552;NA;6,584
"2000-01-11";"Mid Yield";NA;NA;5,426;NA;5,649;6,104;6,428;NA;6,554;NA;6,657;NA;6,671
"2000-01-12";"Mid Yield";NA;NA;5,446;NA;5,703;6,125;6,471;NA;6,605;NA;6,703;NA;6,719
"2000-01-13";"Mid Yield";NA;NA;5,403;NA;5,681;6,091;6,394;NA;6,528;NA;6,63;NA;6,653
"2000-01-14";"Mid Yield";NA;NA;5,4;NA;5,667;6,11;6,43;NA;6,576;NA;6,678;NA;6,697
"2000-01-17";"Mid Yield";NA;NA;5,4;NA;5,667;6,099;6,43;NA;6,576;NA;6,681;NA;6,689
"2000-01-18";"Mid Yield";NA;NA;5,378;NA;5,676;6,12;6,465;NA;6,623;NA;6,748;NA;6,746
"2000-01-19";"Mid Yield";NA;NA;5,509;NA;5,778;6,098;6,448;NA;6,604;NA;6,732;NA;6,716
"2000-01-20";"Mid Yield";NA;NA;5,455;NA;5,81;6,108;6,492;NA;6,663;NA;6,788;NA;6,746
"2000-01-21";"Mid Yield";NA;NA;5,463;NA;5,818;6,106;6,458;NA;6,632;NA;6,765;NA;6,694
"2000-01-24";"Mid Yield";NA;NA;5,452;NA;5,795;6,072;6,406;NA;6,558;NA;6,684;NA;6,649
"2000-01-25";"Mid Yield";NA;NA;5,562;NA;5,789;6,093;6,432;NA;6,586;NA;6,691;NA;6,634
"2000-01-26";"Mid Yield";NA;NA;5,561;NA;5,768;6,092;6,441;NA;6,586;NA;6,664;NA;6,57
"2000-01-27";"Mid Yield";NA;NA;5,602;NA;5,799;6,147;6,506;NA;6,669;NA;6,692;NA;6,519
"2000-01-28";"Mid Yield";NA;NA;5,62;NA;5,839;6,189;6,557;NA;6,662;NA;6,658;NA;6,452
"2000-01-31";"Mid Yield";NA;NA;5,692;NA;5,892;6,244;6,591;NA;6,683;NA;6,665;NA;6,491
"2000-02-01";"Mid Yield";NA;NA;5,708;NA;5,951;6,276;6,574;NA;6,671;NA;6,619;NA;6,423
"2000-02-02";"Mid Yield";NA;NA;5,644;NA;5,908;6,197;6,591;NA;6,66;NA;6,573;NA;6,284
"2000-02-03";"Mid Yield";NA;NA;5,612;NA;5,831;6,141;6,523;NA;6,507;NA;6,439;NA;6,136
