"date";"type";"X3M";"X6M";"X9M";"X1Y";"X2Y";"X3Y";"X4Y";"X5Y";"X6Y";"X7Y";"X8Y";"X9Y";"X10Y";"X15Y";"X20Y";"X25Y";"X30Y"
"2000-01-03";"Mid Yield";7,575;7,583;NA;7,215;NA;NA;NA;NA;8,569;8,457;NA;8,917;8,929;8,968;8,873;NA;8,475
"2000-01-04";"Mid Yield";7,575;7,583;NA;7,222;NA;NA;NA;NA;8,577;8,462;NA;8,929;8,94;8,997;8,906;NA;8,498
"2000-01-05";"Mid Yield";7,575;7,583;NA;7,211;NA;NA;NA;NA;8,581;8,471;NA;8,933;8,945;9,016;8,928;NA;8,569
"2000-01-06";"Mid Yield";7,575;7,813;NA;7,353;NA;NA;NA;NA;8,795;8,66;NA;9,139;9,15;9,266;9,147;NA;8,828
"2000-01-07";"Mid Yield";7,613;7,929;NA;7,426;NA;NA;NA;NA;8,906;8,784;NA;9,285;9,299;9,411;9,293;NA;8,953
"2000-01-10";"Mid Yield";7,625;7,938;NA;7,444;NA;NA;NA;NA;8,888;8,774;NA;9,275;9,297;9,406;9,269;NA;8,955
"2000-01-11";"Mid Yield";7,625;7,942;NA;7,407;NA;NA;NA;NA;8,865;8,747;NA;9,258;9,3;9,397;9,243;NA;8,921
"2000-01-12";"Mid Yield";7,621;7,938;NA;7,359;NA;NA;NA;NA;8,832;8,714;NA;9,242;9,261;9,379;9,203;NA;8,885
"2000-01-13";"Mid Yield";7,625;7,921;NA;7,361;NA;NA;NA;NA;8,821;8,706;NA;9,224;9,256;9,37;9,203;NA;8,867
"2000-01-14";"Mid Yield";7,625;7,921;NA;7,337;NA;NA;NA;NA;8,78;8,671;NA;9,169;9,208;9,34;9,177;NA;8,827
"2000-01-17";"Mid Yield";7,625;7,917;NA;7,337;NA;NA;NA;NA;8,737;8,659;NA;9,15;9,173;9,274;9,163;NA;8,794
"2000-01-18";"Mid Yield";7,629;7,925;NA;7,355;NA;NA;NA;NA;8,781;8,672;NA;9,17;9,191;9,291;9,186;NA;8,824
"2000-01-19";"Mid Yield";7,629;7,925;NA;7,376;NA;NA;8,824;NA;8,801;8,705;NA;9,23;9,244;9,332;9,253;NA;8,854
"2000-01-20";"Mid Yield";7,629;7,95;NA;7,37;NA;NA;8,797;NA;8,759;8,699;NA;9,202;9,221;9,321;9,24;NA;8,826
"2000-01-21";"Mid Yield";7,633;7,967;NA;7,293;NA;NA;8,681;NA;8,663;8,607;NA;9,085;9,106;9,243;9,085;NA;8,683
"2000-01-24";"Mid Yield";7,638;7,983;NA;7,283;NA;NA;8,656;NA;8,636;8,572;NA;9,058;9,079;9,206;9,07;NA;8,663
