date;rate
2000-01-03;1,5187
2000-01-04;1,5266
2000-01-05;1,5190
2000-01-06;1,5313
2000-01-07;1,5271
2000-01-10;1,5250
2000-01-11;1,5206
2000-01-12;1,5185
2000-01-13;1,4993
2000-01-14;1,5023
2000-01-17;1,5057
2000-01-18;1,5027
2000-01-19;1,5066
2000-01-20;1,5021
2000-01-21;1,5086
2000-01-24;1,5285
2000-01-25;1,5261
2000-01-26;1,5336
2000-01-27;1,5289
2000-01-28;1,5758
2000-01-31;1,5690
2000-02-01;1,5802
2000-02-02;1,5656
2000-02-03;1,5732
2000-02-04;1,5675
2000-02-07;1,5782
2000-02-08;1,5808
2000-02-09;1,5737
2000-02-10;1,5849
2000-02-11;1,5862
2000-02-14;1,5963
2000-02-15;1,5892
2000-02-16;1,5814
2000-02-17;1,5827
2000-02-18;1,5902
2000-02-21;1,5978
2000-02-22;1,6048
2000-02-23;1,6091
2000-02-24;1,6260
2000-02-25;1,6259
2000-02-28;1,6277
2000-02-29;1,6190
2000-03-01;1,6511
2000-03-02;1,6487
2000-03-03;1,6437
2000-03-06;1,6610
2000-03-07;1,6519
2000-03-08;1,6408
2000-03-09;1,6262
2000-03-10;1,6259
2000-03-13;1,6227
2000-03-14;1,6272
2000-03-15;1,6301
2000-03-16;1,6360
2000-03-17;1,6480
2000-03-20;1,6446
2000-03-21;1,6395
2000-03-22;1,6549
2000-03-23;1,6504
2000-03-24;1,6433
2000-03-27;1,6317
2000-03-28;1,6280
2000-03-29;1,6376
2000-03-30;1,6301
2000-03-31;1,6473
2000-04-03;1,6433
2000-04-04;1,6539
2000-04-05;1,6507
2000-04-06;1,6629
2000-04-07;1,6706
2000-04-10;1,6805
2000-04-11;1,6776
2000-04-12;1,6722
2000-04-13;1,6753
2000-04-14;1,6728
2000-04-17;1,6903
2000-04-18;1,6814
2000-04-19;1,6784
2000-04-20;1,6882
2000-04-21;1,6818
2000-04-24;1,6807
2000-04-25;1,6849
2000-04-26;1,7007
2000-04-27;1,7024
2000-04-28;1,7120
2000-05-01;1,7159
2000-05-02;1,7091
2000-05-03;1,6875
2000-05-04;1,6909
2000-05-05;1,6759
2000-05-08;1,7218
2000-05-09;1,7120
2000-05-10;1,7194
2000-05-11;1,7194
2000-05-12;1,7203
2000-05-15;1,7486
2000-05-16;1,7313
2000-05-17;1,7596
2000-05-18;1,7461
2000-05-19;1,7410
2000-05-22;1,7489
2000-05-23;1,7388
2000-05-24;1,7516
2000-05-25;1,7575
2000-05-26;1,7428
2000-05-29;1,7470
2000-05-30;1,7367
2000-05-31;1,7461
2000-06-01;1,7489
2000-06-02;1,7252
2000-06-05;1,7176
2000-06-06;1,6998
2000-06-07;1,6845
2000-06-08;1,6978
2000-06-09;1,7003
2000-06-12;1,6906
2000-06-13;1,6756
2000-06-14;1,6685
2000-06-15;1,6591
2000-06-16;1,6495
2000-06-19;1,6638
2000-06-20;1,6596
2000-06-21;1,6658
2000-06-22;1,6757
2000-06-23;1,6819
2000-06-26;1,6757
2000-06-27;1,6621
2000-06-28;1,6607
2000-06-29;1,6621
2000-06-30;1,6760
2000-07-03;1,6708
2000-07-04;1,6699
2000-07-05;1,6982
2000-07-06;1,6951
2000-07-07;1,6896
2000-07-10;1,6873
2000-07-11;1,7026
2000-07-12;1,6992
2000-07-13;1,7085
2000-07-14;1,7113
2000-07-17;1,7014
2000-07-18;1,7201
2000-07-19;1,7345
2000-07-20;1,7142
2000-07-21;1,7078
2000-07-24;1,7091
2000-07-25;1,7082
2000-07-26;1,6915
2000-07-27;1,7024
2000-07-28;1,7008
2000-07-31;1,7225
2000-08-01;1,7288
2000-08-02;1,7119
2000-08-03;1,7058
2000-08-04;1,7058
2000-08-07;1,7029
2000-08-08;1,7154
2000-08-09;1,7279
2000-08-10;1,7160
2000-08-11;1,7270
2000-08-14;1,7181
2000-08-15;1,7160
2000-08-16;1,6918
2000-08-17;1,6873
2000-08-18;1,6928
2000-08-21;1,7008
2000-08-22;1,7246
2000-08-23;1,7484
2000-08-24;1,7460
2000-08-25;1,7414
2000-08-28;1,7487
2000-08-29;1,7539
2000-08-30;1,7357
2000-08-31;1,7333
2000-09-01;1,7330
2000-09-04;1,7381
2000-09-05;1,7567
2000-09-06;1,7753
2000-09-07;1,7889
2000-09-08;1,7987
2000-09-11;1,7841
2000-09-12;1,7921
2000-09-13;1,8046
2000-09-14;1,8207
2000-09-15;1,8357
2000-09-18;1,8445
2000-09-19;1,8357
2000-09-20;1,8568
2000-09-21;1,8333
2000-09-22;1,8374
2000-09-25;1,8217
2000-09-26;1,8223
2000-09-27;1,8151
2000-09-28;1,8374
2000-09-29;1,8425
2000-10-02;1,8310
2000-10-03;1,8517
2000-10-04;1,8594
2000-10-05;1,8760
2000-10-06;1,8735
2000-10-09;1,8631
2000-10-10;1,8721
2000-10-11;1,8806
2000-10-12;1,8866
2000-10-13;1,8788
2000-10-16;1,9152
2000-10-17;1,9214
2000-10-18;1,9188
2000-10-19;1,9174
2000-10-20;1,8902
2000-10-23;1,8988
2000-10-24;1,9073
2000-10-25;1,9229
2000-10-26;1,9177
2000-10-27;1,9104
2000-10-30;1,9111
2000-10-31;1,9277
2000-11-01;1,9028
2000-11-02;1,9196
2000-11-03;1,9002
2000-11-06;1,8961
2000-11-07;1,8913
2000-11-08;1,8988
2000-11-09;1,8963
2000-11-10;1,9247
2000-11-13;1,9233
2000-11-14;1,9262
2000-11-15;1,9203
2000-11-16;1,9203
2000-11-17;1,9277
2000-11-20;1,9442
2000-11-21;1,9614
2000-11-22;1,9059
2000-11-23;1,9164
2000-11-24;1,9104
2000-11-27;1,8990
2000-11-28;1,9153
2000-11-29;1,9153
2000-11-30;1,8939
2000-12-01;1,8586
2000-12-04;1,8389
2000-12-05;1,8527
2000-12-06;1,8237
2000-12-07;1,8277
2000-12-08;1,8223
2000-12-11;1,8503
2000-12-12;1,8452
2000-12-13;1,8496
2000-12-14;1,8401
2000-12-15;1,8330
2000-12-18;1,8435
2000-12-19;1,8350
2000-12-20;1,8052
2000-12-21;1,8033
2000-12-22;1,7968
2000-12-25;1,7961
2000-12-26;1,7926
2000-12-27;1,7888
2000-12-28;1,8042
2000-12-29;1,7897
2001-01-01;1,7897
2001-01-02;1,7833
2001-01-03;1,7968
2001-01-04;1,7640
2001-01-05;1,7487
2001-01-08;1,7648
2001-01-09;1,7745
2001-01-10;1,8028
2001-01-11;1,7840
2001-01-12;1,7945
2001-01-15;1,8075
2001-01-16;1,8010
2001-01-17;1,8085
2001-01-18;1,7913
2001-01-19;1,7978
2001-01-22;1,7968
2001-01-23;1,8137
2001-01-24;1,8374
2001-01-25;1,8320
2001-01-26;1,8376
2001-01-29;1,8401
2001-01-30;1,8240
2001-01-31;1,8167
2001-02-01;1,8085
2001-02-02;1,8085
2001-02-05;1,8174
2001-02-06;1,8217
2001-02-07;1,8303
2001-02-08;1,8641
2001-02-09;1,8641
2001-02-12;1,8562
2001-02-13;1,8714
2001-02-14;1,8913
2001-02-15;1,9098
2001-02-16;1,8913
2001-02-19;1,8864
2001-02-20;1,9126
2001-02-21;1,9055
