date;rate
2000-01-03;1,8190
2000-01-04;1,8510
2000-01-05;1,8390
2000-01-06;1,8415
2000-01-07;1,8270
2000-01-10;1,8150
2000-01-11;1,8225
2000-01-12;1,8280
2000-01-13;1,8133
2000-01-14;1,8040
2000-01-17;1,7920
2000-01-18;1,7925
2000-01-19;1,7910
2000-01-20;1,7820
2000-01-21;1,7725
2000-01-24;1,7735
2000-01-25;1,7785
2000-01-26;1,7788
2000-01-27;1,7803
2000-01-28;1,7990
2000-01-31;1,7840
2000-02-01;1,7840
2000-02-02;1,7860
2000-02-03;1,7835
2000-02-04;1,7680
2000-02-07;1,7690
2000-02-08;1,7648
2000-02-09;1,7688
2000-02-10;1,7670
2000-02-11;1,7685
2000-02-14;1,7720
2000-02-15;1,7760
2000-02-16;1,7740
2000-02-17;1,7710
2000-02-18;1,7770
2000-02-21;1,7785
2000-02-22;1,7860
2000-02-23;1,7835
2000-02-24;1,7770
2000-02-25;1,7740
2000-02-28;1,7770
2000-02-29;1,7665
2000-03-01;1,7630
2000-03-02;1,7565
2000-03-03;1,7450
2000-03-06;1,7453
2000-03-07;1,7445
2000-03-08;1,7410
2000-03-09;1,7338
2000-03-10;1,7450
2000-03-13;1,7445
2000-03-14;1,7375
2000-03-15;1,7395
2000-03-16;1,7390
2000-03-17;1,7390
2000-03-20;1,7370
2000-03-21;1,7355
2000-03-22;1,7310
2000-03-23;1,7190
2000-03-24;1,7325
2000-03-27;1,7515
2000-03-28;1,7430
2000-03-29;1,7445
2000-03-30;1,7495
2000-03-31;1,7360
2000-04-03;1,7410
2000-04-04;1,7460
2000-04-05;1,7485
2000-04-06;1,7460
2000-04-07;1,7410
2000-04-10;1,7425
2000-04-11;1,7430
2000-04-12;1,7560
2000-04-13;1,7825
2000-04-14;1,7860
2000-04-17;1,7790
2000-04-18;1,7620
2000-04-19;1,7740
2000-04-20;1,7780
2000-04-21;1,7780
2000-04-24;1,7925
2000-04-25;1,7890
2000-04-26;1,8015
2000-04-27;1,8070
2000-04-28;1,8070
2000-05-01;1,8070
2000-05-02;1,8030
2000-05-03;1,8150
2000-05-04;1,8105
2000-05-05;1,8010
2000-05-08;1,8060
2000-05-09;1,8120
2000-05-10;1,8190
2000-05-11;1,8250
2000-05-12;1,8360
2000-05-15;1,8240
2000-05-16;1,8190
2000-05-17;1,8300
2000-05-18;1,8330
2000-05-19;1,8390
2000-05-22;1,8510
2000-05-23;1,8550
2000-05-24;1,8400
2000-05-25;1,8475
2000-05-26;1,8370
2000-05-29;1,8380
2000-05-30;1,8310
2000-05-31;1,8240
2000-06-01;1,8190
2000-06-02;1,8010
2000-06-05;1,7910
2000-06-06;1,8005
2000-06-07;1,7950
2000-06-08;1,8030
2000-06-09;1,8020
2000-06-12;1,8060
2000-06-13;1,8110
2000-06-14;1,8100
