date;rate
2000-01-03;1,5670
2000-01-04;1,5573
2000-01-05;1,5486
2000-01-06;1,5532
2000-01-07;1,5646
2000-01-10;1,5694
2000-01-11;1,5583
2000-01-12;1,5624
2000-01-13;1,5714
2000-01-14;1,5945
2000-01-17;1,5958
2000-01-18;1,5914
2000-01-19;1,5929
2000-01-20;1,5845
2000-01-21;1,5962
2000-01-24;1,5998
2000-01-25;1,6110
2000-01-26;1,6099
2000-01-27;1,6327
2000-01-28;1,6509
2000-01-31;1,6576
2000-02-01;1,6570
2000-02-02;1,6501
2000-02-03;1,6235
2000-02-04;1,6349
2000-02-07;1,6379
2000-02-08;1,6317
2000-02-09;1,6187
2000-02-10;1,6302
2000-02-11;1,6252
2000-02-14;1,6447
2000-02-15;1,6370
2000-02-16;1,6263
2000-02-17;1,6246
2000-02-18;1,6294
2000-02-21;1,6237
2000-02-22;1,6022
2000-02-23;1,6056
2000-02-24;1,6211
2000-02-25;1,6491
2000-02-28;1,6546
2000-02-29;1,6653
2000-03-01;1,6514
2000-03-02;1,6648
2000-03-03;1,6768
2000-03-06;1,6773
2000-03-07;1,6764
2000-03-08;1,6717
2000-03-09;1,6624
2000-03-10;1,6701
2000-03-13;1,6721
2000-03-14;1,6641
2000-03-15;1,6682
2000-03-16;1,6625
2000-03-17;1,6576
2000-03-20;1,6568
2000-03-21;1,6761
2000-03-22;1,6744
2000-03-23;1,6463
2000-03-24;1,6232
2000-03-27;1,6425
2000-03-28;1,6561
2000-03-29;1,6756
2000-03-30;1,6567
2000-03-31;1,6653
2000-04-03;1,6548
2000-04-04;1,6423
2000-04-05;1,6359
2000-04-06;1,6394
2000-04-07;1,6437
2000-04-10;1,6339
2000-04-11;1,6411
2000-04-12;1,6524
2000-04-13;1,6497
2000-04-14;1,6331
2000-04-17;1,6488
2000-04-18;1,6659
2000-04-19;1,6697
2000-04-20;1,6773
2000-04-21;1,6753
2000-04-24;1,6762
2000-04-25;1,7075
2000-04-26;1,7029
2000-04-27;1,7272
2000-04-28;1,7157
2000-05-01;1,7086
2000-05-02;1,7117
2000-05-03;1,7248
2000-05-04;1,7404
2000-05-05;1,7322
2000-05-08;1,7264
2000-05-09;1,7149
2000-05-10;1,7105
2000-05-11;1,7268
