"date","rate"
2000-01-03,528
2000-01-04,529.43
2000-01-05,530
2000-01-06,527
2000-01-07,524.55
2000-01-10,522.5
2000-01-11,522.5
2000-01-12,519.53
2000-01-13,517.05
2000-01-14,515.67
2000-01-17,512.2
2000-01-18,516
2000-01-19,516.85
2000-01-20,516.75
2000-01-21,515.9
2000-01-24,519.65
2000-01-25,516.9
2000-01-26,516.9
2000-01-27,517.25
2000-01-28,517.5
2000-01-31,517.88
2000-02-01,518.53
2000-02-02,516.6
2000-02-03,514.95
2000-02-04,515.55
2000-02-07,514.65
2000-02-08,514.95
2000-02-09,514.78
2000-02-10,516.05
2000-02-11,515.05
2000-02-14,514.75
2000-02-15,514.5
2000-02-16,512.95
2000-02-17,512.85
2000-02-18,511.75
2000-02-21,510.9
2000-02-22,508.75
2000-02-23,507.5
2000-02-24,507.45
2000-02-25,506.35
2000-02-28,501.7
2000-02-29,502.2
2000-03-01,503.4
2000-03-02,503.15
2000-03-03,503.15
2000-03-06,504.23
2000-03-07,506.47
2000-03-08,508.5
2000-03-09,505.75
2000-03-10,506.05
2000-03-13,507.1
2000-03-14,506.33
2000-03-15,506.13
2000-03-16,507.05
2000-03-17,506.7
2000-03-20,506.35
2000-03-21,504.95
2000-03-22,504
2000-03-23,502.4
2000-03-24,502.45
2000-03-27,502.55
2000-03-28,502.25
2000-03-29,501.05
2000-03-30,501.35
2000-03-31,503.25
2000-04-03,503.25
2000-04-04,504.1
2000-04-05,505.8
2000-04-06,505.45
2000-04-07,505.75
2000-04-10,505.45
2000-04-11,505.35
2000-04-12,505.3
2000-04-13,505.35
2000-04-14,508.05
2000-04-17,512.55
2000-04-18,509.05
2000-04-19,509.15
2000-04-20,510.2
2000-04-21,510.2
2000-04-24,512.15
2000-04-25,512.95
2000-04-26,514.35
2000-04-27,514
2000-04-28,515.35
2000-05-01,515.1
2000-05-02,514.25
2000-05-03,516.65
2000-05-04,517.7
2000-05-05,519.55
2000-05-08,522.8
2000-05-09,522.65
2000-05-10,526.05
