date;rate
2000-01-03;35,1800
2000-01-04;35,2610
2000-01-05;35,1140
2000-01-06;35,1070
2000-01-07;35,0400
2000-01-10;35,1200
2000-01-11;34,8500
2000-01-12;34,9610
2000-01-13;35,2000
2000-01-14;35,5550
2000-01-17;35,6680
2000-01-18;35,5380
2000-01-19;35,6150
2000-01-20;35,5120
2000-01-21;35,6650
2000-01-24;35,6800
2000-01-25;35,8400
2000-01-26;35,7750
2000-01-27;36,1300
2000-01-28;36,6700
2000-01-31;37,0050
2000-02-01;36,8850
2000-02-02;36,7050
2000-02-03;36,1750
2000-02-04;36,3850
2000-02-07;36,3950
2000-02-08;36,1750
2000-02-09;35,8500
2000-02-10;36,1850
2000-02-11;36,1300
2000-02-14;36,3450
2000-02-15;36,3600
2000-02-16;36,2600
2000-02-17;36,1500
2000-02-18;36,3150
2000-02-21;36,1950
2000-02-22;35,5950
2000-02-23;35,5550
2000-02-24;35,8150
2000-02-25;36,4450
2000-02-28;36,5250
2000-02-29;36,9050
2000-03-01;36,6550
2000-03-02;36,9650
2000-03-03;37,0350
2000-03-06;37,0950
2000-03-07;37,0400
2000-03-08;36,9550
2000-03-09;36,7830
2000-03-10;36,9070
2000-03-13;36,8210
2000-03-14;36,7530
2000-03-15;36,7545
2000-03-16;36,6280
2000-03-17;36,5740
2000-03-20;36,5850
2000-03-21;36,8940
2000-03-22;37,0150
2000-03-23;36,5820
2000-03-24;36,6405
2000-03-27;36,9640
2000-03-28;37,1195
2000-03-29;37,3700
2000-03-30;37,6510
2000-03-31;37,8090
2000-04-03;37,7850
2000-04-04;37,6400
2000-04-05;37,6920
2000-04-06;37,7890
2000-04-07;37,9270
2000-04-10;37,6550
2000-04-11;37,9700
2000-04-12;38,1700
2000-04-13;38,2450
2000-04-14;38,0201
2000-04-17;38,2851
2000-04-18;38,4000
2000-04-19;38,6452
2000-04-20;38,7450
2000-04-21;38,7150
2000-04-24;38,6450
2000-04-25;39,0690
2000-04-26;39,3300
2000-04-27;39,8704
2000-04-28;39,9500
2000-05-01;39,7900
2000-05-02;40,0250
2000-05-03;40,7250
2000-05-04;40,9250
2000-05-05;41,0050
2000-05-08;41,0525
2000-05-09;40,8800
2000-05-10;40,8250
2000-05-11;40,9450
2000-05-12;40,3800
2000-05-15;40,4900
2000-05-16;40,5750
2000-05-17;41,0650
2000-05-18;40,8650
2000-05-19;40,7400
2000-05-22;40,1780
2000-05-23;40,1080
2000-05-24;40,0950
2000-05-25;39,8300
2000-05-26;39,0150
2000-05-29;39,2550
2000-05-30;38,9600
2000-05-31;38,6430
2000-06-01;38,7450
2000-06-02;38,1800
2000-06-05;38,0250
2000-06-06;37,7750
2000-06-07;37,6050
2000-06-08;37,7500
2000-06-09;37,7500
2000-06-12;37,7500
2000-06-13;37,5050
2000-06-14;37,5350
2000-06-15;37,8500
2000-06-16;37,4600
2000-06-19;37,5700
2000-06-20;37,6900
2000-06-21;38,0200
2000-06-22;38,1700
2000-06-23;38,3950
2000-06-26;38,2600
2000-06-27;37,8190
2000-06-28;38,0000
2000-06-29;37,3990
2000-06-30;37,3250
2000-07-03;37,5560
2000-07-04;37,4970
2000-07-05;37,4850
2000-07-06;37,5500
2000-07-07;37,6050
2000-07-10;37,2800
2000-07-11;37,2950
2000-07-12;37,7835
2000-07-13;37,9350
2000-07-14;37,8300
2000-07-17;38,0200
2000-07-18;38,4950
2000-07-19;38,5950
2000-07-20;38,3750
2000-07-21;37,9750
2000-07-24;38,1450
2000-07-25;37,9600
2000-07-26;37,8010
2000-07-27;38,1515
2000-07-28;38,4600
2000-07-31;38,2050
2000-08-01;38,5000
2000-08-02;38,6555
2000-08-03;38,9900
2000-08-04;38,9500
2000-08-07;38,8850
2000-08-08;39,1350
2000-08-09;39,2950
2000-08-10;38,8850
2000-08-11;39,0505
2000-08-14;38,9800
2000-08-15;38,7600
2000-08-16;38,6250
2000-08-17;38,6500
2000-08-18;39,0200
2000-08-21;39,3150
2000-08-22;39,4450
2000-08-23;39,4400
2000-08-24;39,1780
2000-08-25;39,1550
2000-08-28;39,2750
2000-08-29;39,6150
2000-08-30;39,6350
2000-08-31;39,8000
2000-09-01;39,2965
2000-09-04;39,3690
2000-09-05;39,6750
2000-09-06;40,5650
2000-09-07;40,4550
2000-09-08;40,6600
2000-09-11;41,0900
2000-09-12;41,1400
2000-09-13;41,3500
2000-09-14;40,9750
2000-09-15;41,3350
2000-09-18;41,6550
2000-09-19;41,7175
2000-09-20;41,7450
2000-09-21;41,3850
2000-09-22;40,4540
2000-09-25;40,5950
2000-09-26;40,3050
2000-09-27;40,2350
2000-09-28;40,2350
2000-09-29;40,2520
2000-10-02;40,5950
2000-10-03;40,8850
2000-10-04;40,7720
2000-10-05;40,9600
2000-10-06;41,0650
2000-10-09;40,9530
2000-10-10;40,6950
2000-10-11;40,7450
2000-10-12;40,9850
2000-10-13;41,4500
2000-10-16;41,5410
2000-10-17;41,3850
