date;rate
2000-01-03;0,9763
2000-01-04;0,9713
2000-01-05;0,9689
2000-01-06;0,9682
2000-01-07;0,9713
2000-01-10;0,9750
2000-01-11;0,9675
2000-01-12;0,9700
2000-01-13;0,9748
2000-01-14;0,9879
2000-01-17;0,9879
2000-01-18;0,9865
2000-01-19;0,9869
2000-01-20;0,9835
2000-01-21;0,9903
2000-01-24;0,9929
2000-01-25;0,9991
2000-01-26;0,9981
2000-01-27;1,0119
2000-01-28;1,0260
2000-01-31;1,0302
2000-02-01;1,0298
2000-02-02;1,0241
2000-02-03;1,0107
2000-02-04;1,0171
2000-02-07;1,0188
2000-02-08;1,0147
2000-02-09;1,0058
2000-02-10;1,0148
2000-02-11;1,0127
2000-02-14;1,0222
2000-02-15;1,0188
2000-02-16;1,0139
2000-02-17;1,0124
2000-02-18;1,0164
2000-02-21;1,0125
2000-02-22;0,9962
2000-02-23;0,9964
2000-02-24;1,0081
2000-02-25;1,0257
2000-02-28;1,0300
2000-02-29;1,0371
2000-03-01;1,0281
2000-03-02;1,0356
2000-03-03;1,0432
2000-03-06;1,0432
2000-03-07;1,0434
2000-03-08;1,0406
2000-03-09;1,0342
2000-03-10;1,0377
2000-03-13;1,0371
2000-03-14;1,0324
2000-03-15;1,0342
2000-03-16;1,0314
2000-03-17;1,0287
2000-03-20;1,0280
2000-03-21;1,0400
2000-03-22;1,0406
2000-03-23;1,0293
2000-03-24;1,0226
2000-03-27;1,0339
2000-03-28;1,0411
2000-03-29;1,0511
2000-03-30;1,0403
2000-03-31;1,0466
2000-04-03;1,0468
2000-04-04;1,0421
2000-04-05;1,0390
2000-04-06;1,0434
2000-04-07;1,0468
2000-04-10;1,0387
2000-04-11;1,0425
2000-04-12;1,0428
2000-04-13;1,0500
2000-04-14;1,0393
2000-04-17;1,0496
2000-04-18;1,0579
2000-04-19;1,0636
2000-04-20;1,0668
2000-04-21;1,0655
2000-04-24;1,0661
2000-04-25;1,0860
2000-04-26;1,0828
2000-04-27;1,0990
2000-04-28;1,0966
2000-05-01;1,0919
2000-05-02;1,0989
2000-05-03;1,1176
2000-05-04;1,1242
2000-05-05;1,1148
2000-05-08;1,1140
2000-05-09;1,1019
2000-05-10;1,1028
2000-05-11;1,1091
2000-05-12;1,0873
2000-05-15;1,0975
2000-05-16;1,1107
2000-05-17;1,1162
2000-05-18;1,1178
2000-05-19;1,1142
2000-05-22;1,1073
2000-05-23;1,1024
2000-05-24;1,1057
2000-05-25;1,0971
2000-05-26;1,0742
2000-05-29;1,0792
2000-05-30;1,0752
2000-05-31;1,0661
2000-06-01;1,0739
2000-06-02;1,0567
2000-06-05;1,0550
2000-06-06;1,0473
2000-06-07;1,0393
2000-06-08;1,0460
2000-06-09;1,0487
2000-06-12;1,0484
2000-06-13;1,0421
2000-06-14;1,0440
2000-06-15;1,0474
2000-06-16;1,0363
2000-06-19;1,0453
2000-06-20;1,0473
2000-06-21;1,0591
2000-06-22;1,0689
2000-06-23;1,0685
