date;rate
2000-01-03;0,6112
2000-01-04;0,6112
2000-01-05;0,6088
2000-01-06;0,6070
2000-01-07;0,6100
2000-01-10;0,6107
2000-01-11;0,6070
2000-01-12;0,6073
2000-01-13;0,6071
2000-01-14;0,6130
2000-01-17;0,6123
2000-01-18;0,6105
2000-01-19;0,6079
2000-01-20;0,6047
2000-01-21;0,6065
2000-01-24;0,6049
2000-01-25;0,6078
2000-01-26;0,6096
2000-01-27;0,6099
2000-01-28;0,6172
2000-01-31;0,6187
2000-02-01;0,6192
2000-02-02;0,6216
2000-02-03;0,6261
2000-02-04;0,6282
2000-02-07;0,6258
2000-02-08;0,6206
2000-02-09;0,6185
2000-02-10;0,6212
2000-02-11;0,6275
2000-02-14;0,6297
2000-02-15;0,6266
2000-02-16;0,6220
2000-02-17;0,6215
2000-02-18;0,6245
2000-02-21;0,6248
2000-02-22;0,6201
2000-02-23;0,6235
2000-02-24;0,6249
2000-02-25;0,6268
2000-02-28;0,6266
2000-02-29;0,6332
2000-03-01;0,6308
2000-03-02;0,6343
2000-03-03;0,6338
2000-03-06;0,6350
2000-03-07;0,6328
2000-03-08;0,6323
2000-03-09;0,6319
2000-03-10;0,6343
2000-03-13;0,6332
2000-03-14;0,6339
2000-03-15;0,6357
2000-03-16;0,6347
2000-03-17;0,6350
2000-03-20;0,6374
2000-03-21;0,6363
2000-03-22;0,6331
2000-03-23;0,6299
2000-03-24;0,6273
2000-03-27;0,6296
2000-03-28;0,6292
2000-03-29;0,6275
2000-03-30;0,6269
2000-03-31;0,6285
2000-04-03;0,6264
2000-04-04;0,6277
2000-04-05;0,6312
2000-04-06;0,6323
2000-04-07;0,6331
2000-04-10;0,6307
2000-04-11;0,6307
2000-04-12;0,6293
2000-04-13;0,6303
2000-04-14;0,6300
2000-04-17;0,6326
2000-04-18;0,6340
2000-04-19;0,6319
2000-04-20;0,6331
2000-04-21;0,6329
2000-04-24;0,6333
2000-04-25;0,6322
2000-04-26;0,6346
2000-04-27;0,6361
2000-04-28;0,6444
2000-05-01;0,6435
2000-05-02;0,6407
2000-05-03;0,6404
2000-05-04;0,6486
2000-05-05;0,6533
2000-05-08;0,6520
2000-05-09;0,6529
2000-05-10;0,6614
2000-05-11;0,6650
2000-05-12;0,6576
2000-05-15;0,6642
2000-05-16;0,6697
2000-05-17;0,6680
2000-05-18;0,6739
2000-05-19;0,6724
2000-05-22;0,6699
2000-05-23;0,6770
2000-05-24;0,6779
2000-05-25;0,6802
2000-05-26;0,6711
2000-05-29;0,6700
2000-05-30;0,6680
2000-05-31;0,6661
2000-06-01;0,6692
2000-06-02;0,6623
2000-06-05;0,6581
2000-06-06;0,6543
2000-06-07;0,6569
2000-06-08;0,6619
2000-06-09;0,6624
2000-06-12;0,6609
2000-06-13;0,6637
2000-06-14;0,6671
2000-06-15;0,6614
2000-06-16;0,6599
2000-06-19;0,6616
2000-06-20;0,6585
2000-06-21;0,6670
2000-06-22;0,6612
2000-06-23;0,6662
2000-06-26;0,6680
2000-06-27;0,6635
2000-06-28;0,6609
2000-06-29;0,6584
2000-06-30;0,6594
2000-07-03;0,6607
2000-07-04;0,6600
2000-07-05;0,6634
2000-07-06;0,6634
2000-07-07;0,6606
2000-07-10;0,6609
2000-07-11;0,6592
2000-07-12;0,6637
2000-07-13;0,6652
2000-07-14;0,6664
2000-07-17;0,6690
2000-07-18;0,6677
2000-07-19;0,6675
2000-07-20;0,6615
2000-07-21;0,6592
2000-07-24;0,6601
2000-07-25;0,6595
2000-07-26;0,6601
2000-07-27;0,6605
2000-07-28;0,6655
2000-07-31;0,6668
2000-08-01;0,6701
2000-08-02;0,6686
2000-08-03;0,6677
2000-08-04;0,6639
2000-08-07;0,6611
2000-08-08;0,6644
2000-08-09;0,6657
2000-08-10;0,6679
2000-08-11;0,6658
2000-08-14;0,6642
2000-08-15;0,6650
2000-08-16;0,6664
2000-08-17;0,6678
2000-08-18;0,6713
2000-08-21;0,6724
2000-08-22;0,6750
2000-08-23;0,6724
2000-08-24;0,6751
2000-08-25;0,6807
2000-08-28;0,6808
2000-08-29;0,6867
2000-08-30;0,6851
2000-08-31;0,6909
2000-09-01;0,6829
2000-09-04;0,6861
2000-09-05;0,6873
2000-09-06;0,6961
2000-09-07;0,6954
2000-09-08;0,7067
2000-09-11;0,7131
2000-09-12;0,7110
2000-09-13;0,7095
2000-09-14;0,7105
2000-09-15;0,7153
2000-09-18;0,7113
2000-09-19;0,7096
2000-09-20;0,7089
2000-09-21;0,6957
2000-09-22;0,6879
2000-09-25;0,6884
2000-09-26;0,6832
2000-09-27;0,6828
2000-09-28;0,6839
2000-09-29;0,6765
2000-10-02;0,6824
2000-10-03;0,6851
2000-10-04;0,6851
2000-10-05;0,6926
2000-10-06;0,6916
2000-10-09;0,6903
2000-10-10;0,6875
2000-10-11;0,6837
2000-10-12;0,6797
2000-10-13;0,6823
2000-10-16;0,6908
2000-10-17;0,6895
2000-10-18;0,6928
2000-10-19;0,6912
2000-10-20;0,6891
2000-10-23;0,6880
2000-10-24;0,6895
2000-10-25;0,6983
2000-10-26;0,6964
2000-10-27;0,6870
2000-10-30;0,6900
2000-10-31;0,6910
2000-11-01;0,6889
2000-11-02;0,6920
2000-11-03;0,6904
2000-11-06;0,7007
2000-11-07;0,6979
2000-11-08;0,7026
