"date","rate"
2000-01-03,250.56
2000-01-04,246.88
2000-01-05,246.6
2000-01-06,246.57
2000-01-07,247.35
2000-01-10,248.43
2000-01-11,246.83
2000-01-12,247.77
2000-01-13,248.22
2000-01-14,251.33
2000-01-17,252.52
2000-01-18,251.91
2000-01-19,252
2000-01-20,251.94
2000-01-21,252.77
2000-01-24,254.46
2000-01-25,253.85
2000-01-26,254.94
2000-01-27,258.03
2000-01-28,261.37
2000-01-31,263.16
2000-02-01,262.48
2000-02-02,261.63
2000-02-03,256.92
2000-02-04,261.69
2000-02-07,261.24
2000-02-08,259.13
2000-02-09,257.79
2000-02-10,259.21
2000-02-11,259.69
2000-02-14,261.22
2000-02-15,261.3
2000-02-16,259.41
2000-02-17,259.18
2000-02-18,260.04
2000-02-21,260.06
2000-02-22,256.89
2000-02-23,256.62
2000-02-24,258.69
2000-02-25,263.44
2000-02-28,263.3
2000-02-29,266.24
2000-03-01,263.53
2000-03-02,265.67
2000-03-03,267.65
2000-03-06,269.35
2000-03-07,267.83
2000-03-08,267.11
2000-03-09,265.62
2000-03-10,266.38
2000-03-13,266.41
2000-03-14,266.68
2000-03-15,266.29
2000-03-16,265.46
2000-03-17,260.72
2000-03-20,264.03
2000-03-21,265.86
2000-03-22,268.07
2000-03-23,264.73
2000-03-24,263.34
2000-03-27,266.13
2000-03-28,268.06
2000-03-29,270.87
2000-03-30,268.96
2000-03-31,270.42
2000-04-03,270.1
2000-04-04,269.94
2000-04-05,268.5
2000-04-06,269.66
2000-04-07,271.23
2000-04-10,267.68
2000-04-11,269.33
2000-04-12,268.82
2000-04-13,270.23
2000-04-14,268
2000-04-17,271.77
2000-04-18,273.53
2000-04-19,275.61
2000-04-20,276.8
2000-04-21,274.61
2000-04-24,274.55
2000-04-25,279.84
2000-04-26,280.15
2000-04-27,285.12
2000-04-28,283.54
2000-05-01,282.48
2000-05-02,285.02
2000-05-03,289.5
2000-05-04,289.41
2000-05-05,289.43
2000-05-08,287.88
2000-05-09,285.74
2000-05-10,283.48
2000-05-11,286.02
2000-05-12,284.43
2000-05-15,284.79
2000-05-16,288.7
2000-05-17,290.19
2000-05-18,290.24
2000-05-19,289.44
2000-05-22,288.25
2000-05-23,286.82
2000-05-24,285.78
2000-05-25,284.65
2000-05-26,278.65
2000-05-29,280.1
2000-05-30,278.44
2000-05-31,276.32
2000-06-01,277.58
2000-06-02,274.11
2000-06-05,272.79
2000-06-06,271.04
2000-06-07,269.91
2000-06-08,271.41
2000-06-09,273.62
2000-06-12,272.02
2000-06-13,270.03
2000-06-14,271.58
2000-06-15,272.05
2000-06-16,269.1
2000-06-19,271.95
2000-06-20,271.47
2000-06-21,275.25
2000-06-22,277.77
2000-06-23,277.6
2000-06-26,277.81
2000-06-27,273.81
2000-06-28,275.7
2000-06-29,273.15
2000-06-30,271.99
2000-07-03,273.29
2000-07-04,272.89
2000-07-05,272.31
2000-07-06,273.9
2000-07-07,274.18
2000-07-10,272.9
2000-07-11,273.1
2000-07-12,276.42
2000-07-13,277.52
2000-07-14,277.33
2000-07-17,278
2000-07-18,281.38
2000-07-19,281.61
2000-07-20,278.74
2000-07-21,277.76
2000-07-24,278.79
2000-07-25,277.58
2000-07-26,275.87
2000-07-27,279.57
2000-07-28,281.39
2000-07-31,280.97
2000-08-01,282.83
2000-08-02,284.79
2000-08-03,288.34
2000-08-04,287.43
2000-08-07,287.82
2000-08-08,288.96
2000-08-09,289.4
2000-08-10,286.94
2000-08-11,289.15
2000-08-14,288.3
2000-08-15,285.69
2000-08-16,284.96
2000-08-17,285.03
2000-08-18,287.02
2000-08-21,289.87
2000-08-22,290.43
2000-08-23,290.68
2000-08-24,289.37
2000-08-25,289.16
2000-08-28,290.09
2000-08-29,292.18
2000-08-30,292.52
2000-08-31,294.91
2000-09-01,290.6
2000-09-04,290.89
2000-09-05,294.68
2000-09-06,300.55
2000-09-07,299.02
2000-09-08,302.64
2000-09-11,303.83
2000-09-12,304.04
2000-09-13,302.61
2000-09-14,303.19
2000-09-15,304.83
2000-09-18,307.68
2000-09-19,308.59
2000-09-20,310
2000-09-21,305.76
2000-09-22,300.1
2000-09-25,301.67
2000-09-26,298.07
2000-09-27,297.38
2000-09-28,299.37
2000-09-29,299.23
2000-10-02,300.64
2000-10-03,300.42
2000-10-04,301.79
2000-10-05,302.15
2000-10-06,302.02
2000-10-09,302.39
2000-10-10,301.66
2000-10-11,301.83
2000-10-12,304.19
2000-10-13,306.77
2000-10-16,309.06
2000-10-17,308.71
2000-10-18,313.19
2000-10-19,312.05
2000-10-20,313.95
2000-10-23,313.78
2000-10-24,313.65
2000-10-25,317.56
2000-10-26,317.35
2000-10-27,311.96
2000-10-30,312.22
2000-10-31,310.27
2000-11-01,306.43
2000-11-02,307.05
2000-11-03,306.14
2000-11-06,307.58
2000-11-07,307.41
2000-11-08,308.5
2000-11-09,307.91
2000-11-10,305.81
2000-11-13,307.12
2000-11-14,307.91
2000-11-15,307.19
2000-11-16,308.89
2000-11-17,309.59
2000-11-20,311.22
2000-11-21,312.72
2000-11-22,313.31
2000-11-23,313.99
2000-11-24,315.08
2000-11-27,311.1
2000-11-28,309.49
2000-11-29,309.08
2000-11-30,303.85
2000-12-01,302.55
2000-12-04,298.93
2000-12-05,300.77
2000-12-06,298.66
2000-12-07,298.89
2000-12-08,299.69
2000-12-11,302.45
2000-12-12,301.94
2000-12-13,302.42
2000-12-14,298.43
2000-12-15,294.4
2000-12-18,296.42
2000-12-19,297.01
2000-12-20,291.8
2000-12-21,288.85
2000-12-22,286.64
2000-12-25,286.64
2000-12-26,285.23
2000-12-27,285.56
2000-12-28,285.36
2000-12-29,282.34
2001-01-01,282.34
2001-01-02,279.3
2001-01-03,279.9
2001-01-04,280.26
2001-01-05,278.26
2001-01-08,278.85
2001-01-09,281.79
2001-01-10,281.74
2001-01-11,278.8
2001-01-12,276.86
2001-01-15,280.46
2001-01-16,281.67
2001-01-17,281.55
2001-01-18,280.64
2001-01-19,282.94
2001-01-22,282.63
2001-01-23,282.19
2001-01-24,286.27
2001-01-25,287.61
2001-01-26,287.73
2001-01-29,288.7
2001-01-30,286.07
2001-01-31,284.79
2001-02-01,282.54
2001-02-02,283.53
2001-02-05,282.27
2001-02-06,284.55
2001-02-07,284.41
2001-02-08,289.05
2001-02-09,286.4
2001-02-12,285.52
2001-02-13,288.5
2001-02-14,288.71
2001-02-15,293.21
2001-02-16,289.87
2001-02-19,288.86
2001-02-20,292.15
2001-02-21,293.33
2001-02-22,293.34
2001-02-23,292.5
2001-02-26,292.74
2001-02-27,291.43
2001-02-28,289.03
2001-03-01,286.69
2001-03-02,284.87
2001-03-05,286.71
2001-03-06,285.92
2001-03-07,287.01
2001-03-08,286.86
2001-03-09,285.74
2001-03-12,286.26
2001-03-13,290.95
2001-03-14,291.68
2001-03-15,294.56
2001-03-16,298.69
2001-03-19,296.49
2001-03-20,294.64
2001-03-21,296.91
2001-03-22,300.57
2001-03-23,298.59
2001-03-26,297.68
2001-03-27,299.25
2001-03-28,300.16
2001-03-29,302.75
2001-03-30,303.2
2001-04-02,302.37
2001-04-03,298.77
2001-04-04,295.9
2001-04-05,297.34
2001-04-06,296.4
2001-04-09,296.06
2001-04-10,300.48
2001-04-11,301.45
2001-04-12,299.25
2001-04-13,300.31
2001-04-16,301.27
2001-04-17,302.94
2001-04-18,302.95
2001-04-19,299.68
2001-04-20,295.69
2001-04-23,297.94
2001-04-24,298.48
2001-04-25,297.51
2001-04-26,296.56
2001-04-27,299.48
2001-04-30,301.13
2001-05-01,298.94
2001-05-02,299.45
2001-05-03,300.62
2001-05-04,291.87
2001-05-07,291.01
2001-05-08,292.21
2001-05-09,291.93
2001-05-10,293.8
2001-05-11,293.8
2001-05-14,294.34
2001-05-15,293.71
2001-05-16,292
2001-05-17,292.3
2001-05-18,294.26
2001-05-21,295.16
2001-05-22,298.09
2001-05-23,298.73
2001-05-24,299.27
2001-05-25,296.89
2001-05-28,296.67
2001-05-29,297.33
2001-05-30,295.72
2001-05-31,300.1
2001-06-01,300.06
2001-06-04,300.07
2001-06-05,295.79
2001-06-06,295.62
2001-06-07,293.99
2001-06-08,294.72
2001-06-11,296.45
2001-06-12,293.09
2001-06-13,290.16
2001-06-14,287.36
2001-06-15,284.92
2001-06-18,286.26
2001-06-19,288.08
2001-06-20,289.64
2001-06-21,286.34
2001-06-22,284.95
2001-06-25,282.24
2001-06-26,282.15
2001-06-27,281.12
2001-06-28,286.12
2001-06-29,287.58
2001-07-02,286.92
2001-07-03,285.82
2001-07-04,284.82
2001-07-05,289.89
2001-07-06,295.12
2001-07-09,299.19
2001-07-10,297.42
2001-07-11,298.75
2001-07-12,300.8
2001-07-13,299.43
2001-07-16,296.72
2001-07-17,293
2001-07-18,285.63
2001-07-19,286.37
2001-07-20,285.81
2001-07-23,285.34
2001-07-24,282.61
2001-07-25,280.37
2001-07-26,280.88
2001-07-27,281.38
2001-07-30,282.38
2001-07-31,282.44
2001-08-01,281.94
2001-08-02,282.33
2001-08-03,279.67
2001-08-06,280.34
2001-08-07,282.11
2001-08-08,280.05
2001-08-09,276.98
2001-08-10,276.19
2001-08-13,273.53
2001-08-14,273.29
2001-08-15,274.63
2001-08-16,280.3
2001-08-17,279
2001-08-20,280.14
2001-08-21,281.05
2001-08-22,278.92
2001-08-23,273.76
2001-08-24,277.18
2001-08-27,277.63
2001-08-28,278.59
2001-08-29,277.8
2001-08-30,275.82
2001-08-31,277.95
2001-09-03,276.74
2001-09-04,283.83
2001-09-05,282.86
2001-09-06,281.28
2001-09-07,279.04
2001-09-10,279.99
2001-09-11,280.53
2001-09-12,283.15
2001-09-13,281.06
2001-09-14,277.34
2001-09-17,280.81
2001-09-18,278.89
2001-09-19,276.93
2001-09-20,278.87
2001-09-21,285.37
2001-09-24,285.68
2001-09-25,280.23
2001-09-26,278.26
2001-09-27,280.24
2001-09-28,282.48
2001-10-01,280.73
2001-10-02,281.43
2001-10-03,280.38
2001-10-04,280.17
2001-10-05,281.1
2001-10-08,280.83
2001-10-09,280.15
2001-10-10,280.69
2001-10-11,282.78
2001-10-12,280.38
2001-10-15,280.62
2001-10-16,278.94
2001-10-17,280.16
2001-10-18,281.16
2001-10-19,282.73
2001-10-22,283.8
2001-10-23,281.62
2001-10-24,282.21
2001-10-25,282.4
2001-10-26,283.34
2001-10-29,283.44
2001-10-30,282.59
2001-10-31,283.44
2001-11-01,281.29
2001-11-02,282.51
2001-11-05,281.33
2001-11-06,280.31
2001-11-07,278.99
2001-11-08,281.2
2001-11-09,280.7
2001-11-12,280.48
2001-11-13,283.19
2001-11-14,282.7
2001-11-15,283.47
2001-11-16,285.09
2001-11-19,284.35
2001-11-20,283.15
2001-11-21,284.77
2001-11-22,286.59
2001-11-23,287.28
2001-11-26,285.66
2001-11-27,285.41
2001-11-28,282.38
2001-11-29,283.18
2001-11-30,280.75
2001-12-03,281.14
2001-12-04,280.29
2001-12-05,281.35
2001-12-06,279.39
2001-12-07,280.42
2001-12-10,280.86
2001-12-11,277.79
2001-12-12,275.97
2001-12-13,275.24
2001-12-14,272.84
2001-12-17,271.67
2001-12-18,271.82
2001-12-19,271.75
2001-12-20,275.49
2001-12-21,277.39
2001-12-24,280.08
2001-12-25,280.25
2001-12-26,279.92
2001-12-27,277.73
2001-12-28,277.05
2001-12-31,274.81
