date;rate
2000-01-03;7040
2000-01-04;7125
2000-01-05;7145
2000-01-06;7225
2000-01-07;7165
2000-01-10;7175
2000-01-11;7295
2000-01-12;7235
2000-01-13;7225
2000-01-14;7123
2000-01-17;7275
2000-01-18;7275
2000-01-19;7338
2000-01-20;7275
2000-01-21;7335
2000-01-24;7335
2000-01-25;7355
2000-01-26;7465
2000-01-27;7420
2000-01-28;7475
2000-01-31;7445
2000-02-01;7485
2000-02-02;7670
2000-02-03;7685
2000-02-04;7563
2000-02-07;7500
2000-02-08;7385
2000-02-09;7245
2000-02-10;7305
2000-02-11;7335
2000-02-14;7240
2000-02-15;7335
2000-02-16;7423
2000-02-17;7450
2000-02-18;7435
2000-02-21;7460
2000-02-22;7455
2000-02-23;7435
2000-02-24;7535
2000-02-25;7350
2000-02-28;7465
2000-02-29;7440
2000-03-01;7365
2000-03-02;7475
2000-03-03;7465
2000-03-06;7435
2000-03-07;7440
2000-03-08;7445
2000-03-09;7380
2000-03-10;7355
2000-03-13;7455
2000-03-14;7438
2000-03-15;7485
2000-03-16;7455
2000-03-17;7435
2000-03-20;7440
2000-03-21;7465
2000-03-22;7428
2000-03-23;7448
2000-03-24;7453
2000-03-27;7485
2000-03-28;7565
2000-03-29;7555
2000-03-30;7598
2000-03-31;7580
2000-04-03;7718
2000-04-04;7678
2000-04-05;7785
2000-04-06;7810
2000-04-07;7665
2000-04-10;7630
2000-04-11;7625
2000-04-12;7625
2000-04-13;7595
2000-04-14;7605
2000-04-17;7705
2000-04-18;7755
2000-04-19;7850
2000-04-20;7965
2000-04-21;7995
2000-04-24;7905
2000-04-25;7950
2000-04-26;7995
2000-04-27;7915
2000-04-28;7925
2000-05-01;7985
2000-05-02;8035
2000-05-03;7995
2000-05-04;7990
2000-05-05;7970
2000-05-08;7978
2000-05-09;8110
2000-05-10;8175
2000-05-11;8378
2000-05-12;8455
2000-05-15;8670
2000-05-16;8585
2000-05-17;8525
2000-05-18;8550
2000-05-19;8360
2000-05-22;8355
2000-05-23;8392
2000-05-24;8513
2000-05-25;8448
2000-05-26;8515
2000-05-29;8595
2000-05-30;8650
2000-05-31;8595
2000-06-01;8500
2000-06-02;8315
2000-06-05;8488
2000-06-06;8575
2000-06-07;8600
2000-06-08;8610
2000-06-09;8625
2000-06-12;8620
2000-06-13;8570
2000-06-14;8510
2000-06-15;8525
2000-06-16;8600
2000-06-19;8613
2000-06-20;8610
2000-06-21;8635
2000-06-22;8710
2000-06-23;8675
2000-06-26;8665
2000-06-27;8685
2000-06-28;8685
2000-06-29;8733
2000-06-30;8760
2000-07-03;8970
2000-07-04;8990
2000-07-05;9345
2000-07-06;9270
2000-07-07;9313
2000-07-10;9283
2000-07-11;9350
2000-07-12;9410
2000-07-13;9415
2000-07-14;9500
2000-07-17;9510
2000-07-18;9245
2000-07-19;8953
2000-07-20;8883
2000-07-21;8925
2000-07-24;8875
2000-07-25;9080
2000-07-26;9110
2000-07-27;8953
2000-07-28;8900
2000-07-31;8945
2000-08-01;8935
2000-08-02;8815
2000-08-03;8605
2000-08-04;8625
2000-08-07;8640
2000-08-08;8646
2000-08-09;8565
2000-08-10;8463
2000-08-11;8325
2000-08-14;8215
2000-08-15;8313
2000-08-16;8325
2000-08-17;8325
2000-08-18;8345
2000-08-21;8230
2000-08-22;8125
2000-08-23;8395
2000-08-24;8435
2000-08-25;8335
2000-08-28;8245
2000-08-29;8415
2000-08-30;8375
2000-08-31;8325
2000-09-01;8275
2000-09-04;8285
2000-09-05;8340
2000-09-06;8375
2000-09-07;8400
2000-09-08;8390
2000-09-11;8500
2000-09-12;8645
2000-09-13;8835
2000-09-14;8625
2000-09-15;8745
2000-09-18;8735
2000-09-19;8673
2000-09-20;8785
2000-09-21;8755
2000-09-22;8765
2000-09-25;8855
2000-09-26;8780
2000-09-27;8875
2000-09-28;8845
2000-09-29;8775
2000-10-02;8780
2000-10-03;8775
2000-10-04;8815
2000-10-05;8783
2000-10-06;8790
2000-10-09;8820
2000-10-10;8840
2000-10-11;8850
2000-10-12;8983
2000-10-13;8908
2000-10-16;8918
2000-10-17;8900
2000-10-18;8905
2000-10-19;8880
2000-10-20;8950
2000-10-23;8938
2000-10-24;8930
2000-10-25;8950
2000-10-26;9008
2000-10-27;9130
2000-10-30;9415
2000-10-31;9325
2000-11-01;9160
2000-11-02;9193
2000-11-03;9135
2000-11-06;9180
2000-11-07;9275
2000-11-08;9225
2000-11-09;9260
2000-11-10;9230
2000-11-13;9310
2000-11-14;9365
2000-11-15;9405
2000-11-16;9405
2000-11-17;9480
2000-11-20;9485
2000-11-21;9470
2000-11-22;9405
2000-11-23;9412
2000-11-24;9420
2000-11-27;9445
2000-11-28;9455
2000-11-29;9490
2000-11-30;9535
2000-12-01;9520
2000-12-04;9515
2000-12-05;9510
2000-12-06;9515
2000-12-07;9575
2000-12-08;9545
2000-12-11;9275
2000-12-12;9500
2000-12-13;9460
2000-12-14;9325
2000-12-15;9355
2000-12-18;9385
2000-12-19;9245
2000-12-20;9250
2000-12-21;9405
2000-12-22;9288
2000-12-25;9295
2000-12-26;9450
2000-12-27;9450
2000-12-28;9613
2000-12-29;9675
2001-01-01;9750
2001-01-02;9498
2001-01-03;9525
2001-01-04;9475
2001-01-05;9500
2001-01-08;9505
2001-01-09;9500
2001-01-10;9525
2001-01-11;9625
2001-01-12;9600
2001-01-15;9455
2001-01-16;9415
2001-01-17;9350
2001-01-18;9450
2001-01-19;9450
2001-01-22;9375
2001-01-23;9400
2001-01-24;9400
2001-01-25;9450
2001-01-26;9450
2001-01-29;9450
2001-01-30;9450
2001-01-31;9440
2001-02-01;9540
2001-02-02;9550
2001-02-05;9550
2001-02-06;9635
2001-02-07;9651
2001-02-08;9550
2001-02-09;9550
2001-02-12;9603
2001-02-13;9600
2001-02-14;9600
2001-02-15;9600
2001-02-16;9600
2001-02-19;9610
2001-02-20;9625
2001-02-21;9625
2001-02-22;9638
2001-02-23;9638
2001-02-26;9805
2001-02-27;9860
2001-02-28;9855
2001-03-01;9860
2001-03-02;9875
2001-03-05;9860
2001-03-06;9855
2001-03-07;9875
2001-03-08;9900
2001-03-09;10155
2001-03-12;10500
2001-03-13;10350
2001-03-14;10275
2001-03-15;9925
2001-03-16;10300
2001-03-19;10438
2001-03-20;10400
2001-03-21;10450
2001-03-22;10395
2001-03-23;10413
2001-03-26;10400
2001-03-27;10450
2001-03-28;10390
2001-03-29;10400
2001-03-30;10425
2001-04-02;10430
2001-04-03;10440
2001-04-04;10575
2001-04-05;10708
2001-04-06;10900
2001-04-09;10825
2001-04-10;10650
2001-04-11;10575
2001-04-12;10613
2001-04-13;10613
2001-04-16;10805
2001-04-17;10850
2001-04-18;10938
2001-04-19;11100
2001-04-20;11775
2001-04-23;11900
2001-04-24;11825
2001-04-25;11850
2001-04-26;12000
2001-04-27;11875
2001-04-30;11600
2001-05-01;11210
2001-05-02;11225
2001-05-03;11080
2001-05-04;10950
2001-05-07;10950
2001-05-08;10945
2001-05-09;11075
2001-05-10;11165
2001-05-11;11278
2001-05-14;11425
2001-05-15;11500
2001-05-16;11423
2001-05-17;11300
2001-05-18;11375
2001-05-21;11465
2001-05-22;11425
2001-05-23;11425
2001-05-24;11425
2001-05-25;11425
2001-05-28;11590
2001-05-29;11200
2001-05-30;11385
2001-05-31;11125
2001-06-01;11450
2001-06-04;11450
2001-06-05;11225
2001-06-06;11200
2001-06-07;11190
2001-06-08;11213
2001-06-11;11265
2001-06-12;11238
2001-06-13;11225
2001-06-14;11225
2001-06-15;11260
2001-06-18;11295
2001-06-19;11390
2001-06-20;11290
2001-06-21;11345
2001-06-22;11355
2001-06-25;11365
2001-06-26;11372
2001-06-27;11395
2001-06-28;11448
2001-06-29;11390
2001-07-02;11320
2001-07-03;11322
2001-07-04;11365
2001-07-05;11363
2001-07-06;11335
2001-07-09;11340
2001-07-10;11353
2001-07-11;11348
2001-07-12;11360
2001-07-13;11330
2001-07-16;11340
2001-07-17;11340
2001-07-18;11263
2001-07-19;11259
2001-07-20;11145
2001-07-23;10188
2001-07-24;10050
2001-07-25;10050
2001-07-26;10050
2001-07-27;10050
2001-07-30;9723
2001-07-31;9500
2001-08-01;9625
2001-08-02;9625
2001-08-03;9520
2001-08-06;9390
2001-08-07;9355
2001-08-08;9330
2001-08-09;9190
2001-08-10;9110
2001-08-13;8600
2001-08-14;8485
2001-08-15;8775
2001-08-16;8750
2001-08-17;8750
2001-08-20;8525
2001-08-21;8525
2001-08-22;8615
2001-08-23;8725
2001-08-24;8695
2001-08-27;8740
2001-08-28;8975
2001-08-29;9140
2001-08-30;8925
2001-08-31;8863
2001-09-03;8988
2001-09-04;8990
2001-09-05;9055
2001-09-06;9000
2001-09-07;9125
2001-09-10;9075
2001-09-11;9090
2001-09-12;9040
2001-09-13;9105
2001-09-14;9115
2001-09-17;9313
2001-09-18;9565
2001-09-19;9605
2001-09-20;9605
2001-09-21;9415
2001-09-24;9450
2001-09-25;9525
2001-09-26;9625
2001-09-27;9670
2001-09-28;9715
2001-10-01;10050
2001-10-02;10050
2001-10-03;9915
2001-10-04;9740
2001-10-05;9865
2001-10-08;10163
2001-10-09;10000
2001-10-10;9985
2001-10-11;9940
2001-10-12;9970
2001-10-15;9965
2001-10-16;9995
2001-10-17;10025
2001-10-18;10035
2001-10-19;10090
2001-10-22;10113
2001-10-23;10168
2001-10-24;10235
2001-10-25;10265
2001-10-26;10265
2001-10-29;10270
2001-10-30;10400
2001-10-31;10475
2001-11-01;10525
2001-11-02;10675
2001-11-05;10925
2001-11-06;10835
2001-11-07;10638
2001-11-08;10465
2001-11-09;10410
2001-11-12;10611
2001-11-13;10678
2001-11-14;10645
2001-11-15;10630
2001-11-16;10625
2001-11-19;10570
2001-11-20;10535
2001-11-21;10440
2001-11-22;10550
2001-11-23;10500
2001-11-26;10350
2001-11-27;10430
2001-11-28;10400
2001-11-29;10415
2001-11-30;10465
2001-12-03;10455
2001-12-04;10455
2001-12-05;10470
2001-12-06;10400
2001-12-07;10365
2001-12-10;10233
2001-12-11;10165
2001-12-12;10025
2001-12-13;10113
2001-12-14;10195
2001-12-17;10205
2001-12-18;10155
2001-12-19;10105
2001-12-20;10100
2001-12-21;10160
2001-12-24;10190
2001-12-25;10190
2001-12-26;10188
