date;rate
2000-01-03;1,9048
2000-01-04;1,9251
2000-01-05;1,9212
2000-01-06;1,9446
2000-01-07;1,9324
2000-01-10;1,9393
2000-01-11;1,9333
2000-01-12;1,9281
2000-01-13;1,9100
2000-01-14;1,9185
2000-01-17;1,9255
2000-01-18;1,9352
2000-01-19;1,9442
2000-01-20;1,9427
2000-01-21;1,9552
2000-01-24;1,9753
2000-01-25;1,9687
2000-01-26;1,9683
2000-01-27;1,9798
2000-01-28;2,0325
2000-01-31;2,0131
2000-02-01;2,0282
2000-02-02;2,0163
2000-02-03;2,0204
2000-02-04;2,0143
2000-02-07;2,0245
2000-02-08;2,0329
2000-02-09;2,0253
2000-02-10;2,0352
2000-02-11;2,0367
2000-02-14;2,0583
2000-02-15;2,0528
2000-02-16;2,0294
2000-02-17;2,0241
2000-02-18;2,0352
2000-02-21;2,0477
2000-02-22;2,0385
2000-02-23;2,0435
2000-02-24;2,0536
2000-02-25;2,0504
2000-02-28;2,0583
2000-02-29;2,0431
2000-03-01;2,0526
2000-03-02;2,0507
2000-03-03;2,0477
2000-03-06;2,0706
2000-03-07;2,0638
2000-03-08;2,0486
2000-03-09;2,0245
2000-03-10;2,0253
2000-03-13;2,0274
2000-03-14;2,0523
2000-03-15;2,0444
2000-03-16;2,0469
2000-03-17;2,0625
2000-03-20;2,0536
2000-03-21;2,0439
2000-03-22;2,0536
2000-03-23;2,0439
2000-03-24;2,0439
2000-03-27;1,9962
2000-03-28;1,9831
2000-03-29;2,0026
2000-03-30;1,9926
2000-03-31;2,0153
2000-04-03;1,9942
2000-04-04;1,9938
2000-04-05;1,9875
2000-04-06;1,9970
2000-04-07;1,9992
2000-04-10;2,0143
2000-04-11;2,0052
2000-04-12;2,0084
2000-04-13;2,0080
2000-04-14;2,0056
2000-04-17;2,0182
2000-04-18;2,0178
2000-04-19;2,0076
2000-04-20;2,0243
2000-04-21;2,0235
2000-04-24;2,0182
2000-04-25;2,0214
2000-04-26;2,0549
2000-04-27;2,0521
2000-04-28;2,0593
2000-05-01;2,0526
2000-05-02;2,0610
2000-05-03;2,0358
2000-05-04;2,0367
2000-05-05;2,0305
2000-05-08;2,0721
2000-05-09;2,0777
2000-05-10;2,0997
2000-05-11;2,0846
2000-05-12;2,0833
2000-05-15;2,1213
2000-05-16;2,1097
2000-05-17;2,1622
2000-05-18;2,2107
2000-05-19;2,1877
2000-05-22;2,1834
