"date","rate"
2000-01-03,39.99
2000-01-04,39.775
2000-01-05,40.15
2000-01-06,40.545
2000-01-07,40.38
2000-01-10,40.275
2000-01-11,40.675
2000-01-12,40.64
2000-01-13,40.6
2000-01-14,40.59
2000-01-17,40.555
2000-01-18,40.595
2000-01-19,40.695
2000-01-20,40.645
2000-01-21,40.6
2000-01-24,40.49
2000-01-25,40.445
2000-01-26,40.495
2000-01-27,40.395
2000-01-28,40.465
2000-01-31,40.575
2000-02-01,40.545
2000-02-02,40.675
2000-02-03,40.675
2000-02-04,40.525
2000-02-07,40.5
2000-02-08,40.48
2000-02-09,40.53
2000-02-10,40.405
2000-02-11,40.44
2000-02-14,40.4
2000-02-15,40.455
2000-02-16,40.495
2000-02-17,40.585
2000-02-18,40.67
2000-02-21,40.675
2000-02-22,40.75
2000-02-23,40.675
2000-02-24,40.85
2000-02-25,40.9
2000-02-28,40.955
2000-02-29,40.925
2000-03-01,40.94
2000-03-02,40.935
2000-03-03,40.89
2000-03-06,40.89
2000-03-07,41.125
2000-03-08,41.015
2000-03-09,40.94
2000-03-10,40.93
2000-03-13,40.875
2000-03-14,40.88
2000-03-15,40.95
2000-03-16,40.95
2000-03-17,40.975
2000-03-20,40.96
2000-03-21,40.96
2000-03-22,40.89
2000-03-23,40.9
2000-03-24,40.915
2000-03-27,40.905
2000-03-28,40.95
2000-03-29,40.95
2000-03-30,41.05
2000-03-31,41.115
2000-04-03,41.15
2000-04-04,41.2
2000-04-05,41.165
2000-04-06,41.125
2000-04-07,41.09
2000-04-10,41.12
2000-04-11,41.12
2000-04-12,41.175
2000-04-13,41.175
2000-04-14,41.175
2000-04-17,41.225
2000-04-18,41.201
2000-04-19,41.225
2000-04-20,41.24
2000-04-21,41.25
2000-04-24,41.301
2000-04-25,41.325
2000-04-26,41.35
2000-04-27,41.305
2000-04-28,41.275
2000-05-01,41.32
2000-05-02,41.28
2000-05-03,41.3
2000-05-04,41.265
2000-05-05,41.265
2000-05-08,41.315
2000-05-09,41.265
2000-05-10,41.375
2000-05-11,41.45
2000-05-12,41.5
2000-05-15,41.55
2000-05-16,41.6
2000-05-17,41.65
2000-05-18,41.725
2000-05-19,41.675
2000-05-22,41.925
2000-05-23,42.375
2000-05-24,42.875
2000-05-25,42.95
2000-05-26,43.025
2000-05-29,42.725
2000-05-30,42.75
2000-05-31,42.63
2000-06-01,42.65
2000-06-02,42.5
2000-06-05,42.3
2000-06-06,42.4
2000-06-07,42.4
2000-06-08,42.5
2000-06-09,42.5
2000-06-12,42.465
2000-06-13,42.45
2000-06-14,42.415
2000-06-15,42.5
2000-06-16,42.615
2000-06-19,42.65
2000-06-20,42.7
2000-06-21,42.8
2000-06-22,42.9
2000-06-23,42.9
2000-06-26,42.915
2000-06-27,43
2000-06-28,43.1
2000-06-29,43.125
2000-06-30,43.25
2000-07-03,43.55
2000-07-04,43.55
2000-07-05,43.75
2000-07-06,43.95
2000-07-07,44.05
2000-07-10,44.3
2000-07-11,44.85
2000-07-12,44.75
2000-07-13,44.75
2000-07-14,44.55
2000-07-17,44.605
2000-07-18,44.6
2000-07-19,44.53
2000-07-20,44.63
2000-07-21,44.43
2000-07-24,44.625
2000-07-25,44.75
2000-07-26,45.05
2000-07-27,44.9
2000-07-28,44.95
2000-07-31,44.9
2000-08-01,44.95
2000-08-02,44.8
2000-08-03,44.7
2000-08-04,44.8
2000-08-07,44.8
2000-08-08,44.7
2000-08-09,44.71
2000-08-10,44.9
2000-08-11,44.9
2000-08-14,44.875
2000-08-15,44.93
2000-08-16,44.95
2000-08-17,44.925
2000-08-18,45
2000-08-21,44.92
2000-08-22,44.9
2000-08-23,44.925
2000-08-24,44.985
2000-08-25,44.905
2000-08-28,45
2000-08-29,45.05
2000-08-30,45.1
2000-08-31,45.128
2000-09-01,45.175
2000-09-04,45.3
2000-09-05,45.6
2000-09-06,45.55
2000-09-07,45.7
2000-09-08,45.55
2000-09-11,45.5
2000-09-12,45.645
2000-09-13,45.7
2000-09-14,45.85
2000-09-15,45.6
2000-09-18,45.85
2000-09-19,45.9
2000-09-20,45.95
2000-09-21,45.95
2000-09-22,46.125
2000-09-25,46.175
2000-09-26,46.15
2000-09-27,46.175
2000-09-28,46.275
2000-09-29,46.2
2000-10-02,46.32
2000-10-03,46.43
2000-10-04,46.6
2000-10-05,46.425
2000-10-06,46.3
2000-10-09,46.575
2000-10-10,47
2000-10-11,47.4
2000-10-12,47.5
2000-10-13,48.5
2000-10-16,48.6
2000-10-17,48.6
2000-10-18,48.6
2000-10-19,48.75
2000-10-20,48.8
2000-10-23,48.95
2000-10-24,48.95
2000-10-25,49.65
2000-10-26,50.65
2000-10-27,51.15
2000-10-30,51.7
2000-10-31,51.55
2000-11-01,51.15
2000-11-02,51
2000-11-03,51.05
2000-11-06,48
2000-11-07,49.25
2000-11-08,50.15
2000-11-09,49.95
2000-11-10,50.15
2000-11-13,50.15
2000-11-14,49.85
2000-11-15,49.85
2000-11-16,49.9
2000-11-17,49.85
2000-11-20,49.8
2000-11-21,49.4
2000-11-22,49.05
2000-11-23,49.4
2000-11-24,49.075
2000-11-27,49.425
2000-11-28,49.475
2000-11-29,49.625
2000-11-30,49.625
2000-12-01,49.575
2000-12-04,49.5
2000-12-05,49.6
2000-12-06,50.05
2000-12-07,50.15
2000-12-08,50.15
2000-12-11,50
2000-12-12,49.975
