"date","rate"
2000-01-03,4.125
2000-01-04,4.1225
2000-01-05,4.1245
2000-01-06,4.081
2000-01-07,4.075
2000-01-10,4.0705
2000-01-11,4.0655
2000-01-12,4.065
2000-01-13,4.067
2000-01-14,4.075
2000-01-17,4.077
2000-01-18,4.0875
2000-01-19,4.1003
2000-01-20,4.0805
2000-01-21,4.08
2000-01-24,4.0945
2000-01-25,4.135
2000-01-26,4.129
2000-01-27,4.155
2000-01-28,4.1975
2000-01-31,4.221
2000-02-01,4.24
2000-02-02,4.2305
2000-02-03,4.185
2000-02-04,4.185
2000-02-07,4.1825
2000-02-08,4.1435
2000-02-09,4.14
2000-02-10,4.15
2000-02-11,4.153
2000-02-14,4.1505
2000-02-15,4.1395
2000-02-16,4.138
2000-02-17,4.108
2000-02-18,4.113
2000-02-21,4.1055
2000-02-22,4.0775
2000-02-23,4.075
2000-02-24,4.0925
2000-02-25,4.1475
2000-02-28,4.171
2000-02-29,4.165
2000-03-01,4.1225
2000-03-02,4.1275
2000-03-03,4.1225
2000-03-06,4.1215
2000-03-07,4.146
2000-03-08,4.1425
2000-03-09,4.085
2000-03-10,4.1005
2000-03-13,4.101
2000-03-14,4.093
2000-03-15,4.0875
2000-03-16,4.0755
2000-03-17,4.0735
2000-03-20,4.052
2000-03-21,4.0415
2000-03-22,4.0625
2000-03-23,4.0435
2000-03-24,4.037
2000-03-27,4.0345
2000-03-28,4.0545
2000-03-29,4.0918
2000-03-30,4.135
2000-03-31,4.1295
2000-04-03,4.152
2000-04-04,4.1975
2000-04-05,4.2045
2000-04-06,4.1653
2000-04-07,4.1475
2000-04-10,4.1413
2000-04-11,4.1585
2000-04-12,4.1525
2000-04-13,4.1675
2000-04-14,4.23
2000-04-17,4.2615
2000-04-18,4.2575
2000-04-19,4.2875
2000-04-20,4.2935
2000-04-21,4.2905
2000-04-24,4.2925
2000-04-25,4.3085
2000-04-26,4.2975
2000-04-27,4.365
2000-04-28,4.471
2000-05-01,4.465
2000-05-02,4.485
2000-05-03,4.485
2000-05-04,4.575
2000-05-05,4.64
2000-05-08,4.47
2000-05-09,4.485
2000-05-10,4.43
2000-05-11,4.46
2000-05-12,4.477
2000-05-15,4.365
2000-05-16,4.4545
2000-05-17,4.4325
2000-05-18,4.525
2000-05-19,4.525
2000-05-22,4.5235
2000-05-23,4.51
2000-05-24,4.513
2000-05-25,4.5313
2000-05-26,4.525
2000-05-29,4.513
2000-05-30,4.44
2000-05-31,4.4
2000-06-01,4.38
2000-06-02,4.3205
2000-06-05,4.301
2000-06-06,4.35
2000-06-07,4.335
2000-06-08,4.401
2000-06-09,4.407
2000-06-12,4.3945
2000-06-13,4.4155
2000-06-14,4.405
2000-06-15,4.4028
2000-06-16,4.4213
2000-06-19,4.4018
2000-06-20,4.39
2000-06-21,4.3988
