"date","rate"
2000-01-03,1.811
2000-01-04,1.832
2000-01-05,1.8345
2000-01-06,1.829
2000-01-07,1.8322
2000-01-10,1.8335
2000-01-11,1.8315
2000-01-12,1.8313
2000-01-13,1.835
2000-01-14,1.7973
2000-01-17,1.8318
2000-01-18,1.833
2000-01-19,1.8348
2000-01-20,1.8363
2000-01-21,1.8363
2000-01-24,1.8387
2000-01-25,1.838
2000-01-26,1.8415
2000-01-27,1.8445
2000-01-28,1.8453
2000-01-31,1.8475
2000-02-01,1.847
2000-02-02,1.8468
2000-02-03,1.8563
2000-02-04,1.8595
2000-02-07,1.8602
2000-02-08,1.8578
2000-02-09,1.8605
2000-02-10,1.867
2000-02-11,1.869
2000-02-14,1.869
2000-02-15,1.8695
2000-02-16,1.877
2000-02-17,1.879
2000-02-18,1.879
2000-02-21,1.88
2000-02-22,1.881
2000-02-23,1.8813
2000-02-24,1.8858
2000-02-25,1.887
2000-02-28,1.8898
2000-02-29,1.889
2000-03-01,1.894
2000-03-02,1.8562
2000-03-03,1.8968
2000-03-06,1.9005
2000-03-07,1.9053
2000-03-08,1.907
2000-03-09,1.9088
2000-03-10,1.9086
2000-03-13,1.909
2000-03-14,1.913
2000-03-15,1.9165
2000-03-16,1.923
2000-03-17,1.9278
2000-03-20,1.9275
2000-03-21,1.929
2000-03-22,1.9318
2000-03-23,1.9355
2000-03-24,1.9365
2000-03-27,1.9385
2000-03-28,1.942
2000-03-29,1.943
2000-03-30,1.9457
2000-03-31,1.9486
2000-04-03,1.9503
2000-04-04,1.9513
2000-04-05,1.9523
2000-04-06,1.9563
2000-04-07,1.959
2000-04-10,1.962
2000-04-11,1.9646
2000-04-12,1.9695
2000-04-13,1.9704
2000-04-14,1.9735
2000-04-17,1.9763
2000-04-18,1.9795
2000-04-19,1.9821
2000-04-20,1.989
2000-04-21,NA
2000-04-24,1.991
2000-04-25,1.9988
2000-04-26,1.9993
2000-04-27,2.006
2000-04-28,2.0095
2000-05-01,NA
2000-05-02,2.0095
2000-05-03,2.007
2000-05-04,2.0155
2000-05-05,2.0163
2000-05-08,1.9765
2000-05-09,2.0228
2000-05-10,2.0252
2000-05-11,NA
2000-05-12,2.0315
2000-05-15,2.0345
2000-05-16,2.038
2000-05-17,2.0396
2000-05-18,2.045
2000-05-19,2.051
2000-05-22,2.054
2000-05-23,2.0555
2000-05-24,2.058
2000-05-25,2.0602
2000-05-26,2.0622
2000-05-29,2.065
2000-05-30,NA
2000-05-31,2.0702
2000-06-01,2.0725
2000-06-02,2.075
2000-06-05,2.078
2000-06-06,2.081
2000-06-07,2.0831
2000-06-08,2.087
2000-06-09,2.0882
2000-06-12,2.0915
2000-06-13,2.095
2000-06-14,2.097
2000-06-15,2.1023
2000-06-16,2.1053
2000-06-19,2.1083
2000-06-20,2.1118
2000-06-21,2.113
2000-06-22,2.118
2000-06-23,2.1208
2000-06-26,2.1225
2000-06-27,2.125
2000-06-28,2.1273
2000-06-29,2.1325
2000-06-30,2.134
2000-07-03,2.136
2000-07-04,2.1391
2000-07-05,2.1408
2000-07-06,2.1456
2000-07-07,2.1475
2000-07-10,2.148
2000-07-11,2.1499
2000-07-12,2.1525
2000-07-13,2.156
2000-07-14,2.1563
2000-07-17,2.1575
2000-07-18,2.1598
2000-07-19,2.1614
2000-07-20,2.1658
2000-07-21,2.169
2000-07-24,2.1709
2000-07-25,2.1735
2000-07-26,2.178
2000-07-27,2.1836
2000-07-28,2.187
2000-07-31,2.1895
2000-08-01,2.193
2000-08-02,2.1965
2000-08-03,2.2012
2000-08-04,2.2053
2000-08-07,2.208
2000-08-08,2.2135
2000-08-09,2.216
2000-08-10,2.2235
2000-08-11,2.2275
2000-08-14,2.2315
2000-08-15,2.2345
2000-08-16,2.2455
2000-08-17,2.248
2000-08-18,2.2535
2000-08-21,2.2556
2000-08-22,2.261
2000-08-23,2.2653
2000-08-24,2.2725
2000-08-25,2.2745
2000-08-28,2.2833
2000-08-29,2.29
2000-08-30,2.2895
2000-08-31,2.301
2000-09-01,2.3055
2000-09-04,2.3115
2000-09-05,2.321
2000-09-06,2.3228
2000-09-07,2.3325
2000-09-08,2.3346
2000-09-11,2.336
2000-09-12,2.3423
2000-09-13,2.3494
2000-09-14,2.359
2000-09-15,2.3615
2000-09-18,2.366
2000-09-19,2.3718
2000-09-20,2.3765
2000-09-21,2.3835
2000-09-22,2.3873
2000-09-25,2.394
2000-09-26,2.398
2000-09-27,2.4027
2000-09-28,2.414
2000-09-29,2.4173
2000-10-02,2.42
2000-10-03,2.425
2000-10-04,2.4265
2000-10-05,2.432
2000-10-06,2.4358
2000-10-09,2.437
2000-10-10,2.4415
2000-10-11,2.441
2000-10-12,2.4465
2000-10-13,2.4488
2000-10-16,2.4532
2000-10-17,2.457
2000-10-18,2.4597
2000-10-19,2.4635
2000-10-20,2.4655
2000-10-23,2.469
2000-10-24,2.4707
2000-10-25,2.4755
2000-10-26,2.4811
2000-10-27,2.4805
2000-10-30,2.4824
2000-10-31,2.485
2000-11-01,2.4865
2000-11-02,2.493
2000-11-03,2.492
2000-11-06,2.494
2000-11-07,2.496
2000-11-08,2.4973
2000-11-09,2.4995
2000-11-10,2.5025
2000-11-13,2.504
2000-11-14,2.5057
2000-11-15,2.508
2000-11-16,2.5125
2000-11-17,2.5134
2000-11-20,2.516
2000-11-21,2.5134
2000-11-22,2.5191
2000-11-23,2.5235
2000-11-24,2.525
2000-11-27,2.5275
2000-11-28,2.5303
2000-11-29,2.5333
2000-11-30,2.5373
2000-12-01,2.5365
2000-12-04,2.5384
2000-12-05,2.5415
2000-12-06,2.5418
2000-12-07,2.5461
2000-12-08,2.5493
2000-12-11,2.5492
2000-12-12,2.5519
2000-12-13,2.554
2000-12-14,2.5575
2000-12-15,2.5588
2000-12-18,2.5605
2000-12-19,2.5635
2000-12-20,2.5653
2000-12-21,2.5755
