date;rate
2000-01-03;8,3767
2000-01-04;8,3810
2000-01-05;8,3671
2000-01-06;8,3719
2000-01-07;8,4167
2000-01-10;8,4485
2000-01-11;8,3968
2000-01-12;8,3983
2000-01-13;8,4165
2000-01-14;8,4749
2000-01-17;8,4656
2000-01-18;8,4590
2000-01-19;8,4755
2000-01-20;8,4520
2000-01-21;8,4844
2000-01-24;8,5257
2000-01-25;8,5566
2000-01-26;8,5113
2000-01-27;8,6131
2000-01-28;8,8670
2000-01-31;8,8560
2000-02-01;8,7773
2000-02-02;8,7336
2000-02-03;8,5606
2000-02-04;8,6199
2000-02-07;8,6168
2000-02-08;8,5940
2000-02-09;8,5215
2000-02-10;8,5842
2000-02-11;8,5762
2000-02-14;8,6768
2000-02-15;8,6889
2000-02-16;8,6335
2000-02-17;8,6470
2000-02-18;8,6644
2000-02-21;8,6720
2000-02-22;8,5583
2000-02-23;8,5524
2000-02-24;8,5992
2000-02-25;8,6730
2000-02-28;8,6617
2000-02-29;8,7490
2000-03-01;8,6590
2000-03-02;8,7761
2000-03-03;8,7985
2000-03-06;8,7910
2000-03-07;8,7779
2000-03-08;8,8117
2000-03-09;8,7278
2000-03-10;8,7195
2000-03-13;8,7198
2000-03-14;8,6693
2000-03-15;8,7403
2000-03-16;8,6852
2000-03-17;8,6411
2000-03-20;8,6373
2000-03-21;8,6954
2000-03-22;8,6814
2000-03-23;8,6433
2000-03-24;8,5308
2000-03-27;8,6260
2000-03-28;8,5639
2000-03-29;8,6615
2000-03-30;8,6305
2000-03-31;8,6427
2000-04-03;8,7131
2000-04-04;8,6294
2000-04-05;8,6291
2000-04-06;8,6562
2000-04-07;8,6720
2000-04-10;8,5839
2000-04-11;8,6438
2000-04-12;8,6909
2000-04-13;8,7207
2000-04-14;8,6609
2000-04-17;8,7377
2000-04-18;8,7497
2000-04-19;8,7692
2000-04-20;8,7961
2000-04-21;8,7787
2000-04-24;8,8107
2000-04-25;8,8953
2000-04-26;8,8846
2000-04-27;8,9520
2000-04-28;8,9077
2000-05-01;8,8983
2000-05-02;8,9213
2000-05-03;9,0221
2000-05-04;9,1221
2000-05-05;9,0992
2000-05-08;9,0736
2000-05-09;9,0220
2000-05-10;9,0240
2000-05-11;9,1888
2000-05-12;8,9936
2000-05-15;9,0748
2000-05-16;9,1146
2000-05-17;9,1305
2000-05-18;9,1220
2000-05-19;9,1474
2000-05-22;9,2227
2000-05-23;9,1900
2000-05-24;9,2036
2000-05-25;9,1435
2000-05-26;9,0372
2000-05-29;9,0810
2000-05-30;9,0161
2000-05-31;8,9347
2000-06-01;8,9501
2000-06-02;8,8207
2000-06-05;8,8020
2000-06-06;8,7250
2000-06-07;8,6490
2000-06-08;8,7431
2000-06-09;8,7155
2000-06-12;8,6937
2000-06-13;8,6118
2000-06-14;8,5467
2000-06-15;8,6047
2000-06-16;8,6295
2000-06-19;8,6568
2000-06-20;8,6392
2000-06-21;8,7253
2000-06-22;8,8458
2000-06-23;8,8671
2000-06-26;8,9268
2000-06-27;8,8472
2000-06-28;8,9122
2000-06-29;8,8435
2000-06-30;8,8269
2000-07-03;8,8196
2000-07-04;8,8235
2000-07-05;8,8304
2000-07-06;8,8829
2000-07-07;8,9058
2000-07-10;8,8480
2000-07-11;8,8615
2000-07-12;8,8535
2000-07-13;8,9050
2000-07-14;8,8861
2000-07-17;8,9373
2000-07-18;9,0890
2000-07-19;9,0728
2000-07-20;8,9942
2000-07-21;8,9845
2000-07-24;8,9844
2000-07-25;8,9538
2000-07-26;8,9166
2000-07-27;9,1143
2000-07-28;9,1816
2000-07-31;9,1602
2000-08-01;9,2886
2000-08-02;9,2617
2000-08-03;9,3064
2000-08-04;9,2443
2000-08-07;9,2059
2000-08-08;9,2391
2000-08-09;9,2561
2000-08-10;9,2074
2000-08-11;9,2405
2000-08-14;9,2005
2000-08-15;9,1643
2000-08-16;9,1802
2000-08-17;9,1928
2000-08-18;9,2847
2000-08-21;9,3066
2000-08-22;9,3454
2000-08-23;9,2730
2000-08-24;9,2836
2000-08-25;9,3093
2000-08-28;9,3723
2000-08-29;9,4474
2000-08-30;9,4345
2000-08-31;9,4314
2000-09-01;9,3043
2000-09-04;9,3338
2000-09-05;9,4593
2000-09-06;9,6386
2000-09-07;9,5745
2000-09-08;9,6192
2000-09-11;9,7655
2000-09-12;9,7317
2000-09-13;9,7738
2000-09-14;9,7216
2000-09-15;9,8112
2000-09-18;9,8299
2000-09-19;9,8436
2000-09-20;9,8713
2000-09-21;9,7838
2000-09-22;9,6772
2000-09-25;9,6724
2000-09-26;9,6200
2000-09-27;9,6686
2000-09-28;9,7147
2000-09-29;9,6535
2000-10-02;9,7375
2000-10-03;9,8038
2000-10-04;9,7759
2000-10-05;9,8018
2000-10-06;9,8503
2000-10-09;9,8679
2000-10-10;9,8939
2000-10-11;9,8981
2000-10-12;9,9499
2000-10-13;9,9454
2000-10-16;10,0167
2000-10-17;9,9792
2000-10-18;10,1624
2000-10-19;10,0644
2000-10-20;10,0977
2000-10-23;10,1393
2000-10-24;10,1225
2000-10-25;10,2633
2000-10-26;10,2559
2000-10-27;10,0977
2000-10-30;10,1112
2000-10-31;9,9915
2000-11-01;9,8448
2000-11-02;9,8981
2000-11-03;9,8616
2000-11-06;9,9490
2000-11-07;9,9587
2000-11-08;10,0144
2000-11-09;9,9210
2000-11-10;9,9989
2000-11-13;10,0832
2000-11-14;10,0688
2000-11-15;10,0891
2000-11-16;10,1356
2000-11-17;10,1932
2000-11-20;10,1800
2000-11-21;10,3100
2000-11-22;10,2670
2000-11-23;10,3538
2000-11-24;10,3560
2000-11-27;10,1824
2000-11-28;10,1391
2000-11-29;10,1282
2000-11-30;10,0071
2000-12-01;9,8533
