date;rate
2000-01-03;0,5415
2000-01-04;0,5367
2000-01-05;0,5367
2000-01-06;0,5361
2000-01-07;0,5395
2000-01-10;0,5411
2000-01-11;0,5404
2000-01-12;0,5405
2000-01-13;0,5425
2000-01-14;0,5493
2000-01-17;0,5469
2000-01-18;0,5470
2000-01-19;0,5473
2000-01-20;0,5473
2000-01-21;0,5493
2000-01-24;0,5515
2000-01-25;0,5515
2000-01-26;0,5521
2000-01-27;0,5565
2000-01-28;0,5588
2000-01-31;0,5583
2000-02-01;0,5613
2000-02-02;0,5621
2000-02-03;0,5617
2000-02-04;0,5616
2000-02-07;0,5629
2000-02-08;0,5609
2000-02-09;0,5593
2000-02-10;0,5613
2000-02-11;0,5643
2000-02-14;0,5637
2000-02-15;0,5655
2000-02-16;0,5645
2000-02-17;0,5648
2000-02-18;0,5667
2000-02-21;0,5655
2000-02-22;0,5626
2000-02-23;0,5616
2000-02-24;0,5653
2000-02-25;0,5702
2000-02-28;0,5737
2000-02-29;0,5744
2000-03-01;0,5741
2000-03-02;0,5746
2000-03-03;0,5770
2000-03-06;0,5783
2000-03-07;0,5788
2000-03-08;0,5804
2000-03-09;0,5770
2000-03-10;0,5795
2000-03-13;0,5781
2000-03-14;0,5808
2000-03-15;0,5810
2000-03-16;0,5786
2000-03-17;0,5786
2000-03-20;0,5800
2000-03-21;0,5811
2000-03-22;0,5846
2000-03-23;0,5820
2000-03-24;0,5836
2000-03-27;0,5831
2000-03-28;0,5845
2000-03-29;0,5900
2000-03-30;0,5899
2000-03-31;0,5899
2000-04-03;0,5904
2000-04-04;0,5908
2000-04-05;0,5890
2000-04-06;0,5913
2000-04-07;0,5925
2000-04-10;0,5910
2000-04-11;0,5914
2000-04-12;0,5928
2000-04-13;0,5941
2000-04-14;0,5938
2000-04-17;0,5942
2000-04-18;0,5970
2000-04-19;0,5976
2000-04-20;0,5996
2000-04-21;0,6003
2000-04-24;0,5999
2000-04-25;0,6049
2000-04-26;0,6072
2000-04-27;0,6099
2000-04-28;0,6111
2000-05-01;0,6120
2000-05-02;0,6138
2000-05-03;0,6170
2000-05-04;0,6173
2000-05-05;0,6182
2000-05-08;0,6180
2000-05-09;0,6169
2000-05-10;0,6138
2000-05-11;0,6165
2000-05-12;0,6157
2000-05-15;0,6150
2000-05-16;0,6177
2000-05-17;0,6211
2000-05-18;0,6240
2000-05-19;0,6236
2000-05-22;0,6216
2000-05-23;0,6193
2000-05-24;0,6186
2000-05-25;0,6217
2000-05-26;0,6185
2000-05-29;0,6160
2000-05-30;0,6146
2000-05-31;0,6156
2000-06-01;0,6165
2000-06-02;0,6160
2000-06-05;0,6125
2000-06-06;0,6130
2000-06-07;0,6090
2000-06-08;0,6114
2000-06-09;0,6122
2000-06-12;0,6137
2000-06-13;0,6118
2000-06-14;0,6130
2000-06-15;0,6158
2000-06-16;0,6124
2000-06-19;0,6148
2000-06-20;0,6160
2000-06-21;0,6190
2000-06-22;0,6210
2000-06-23;0,6240
2000-06-26;0,6235
2000-06-27;0,6205
2000-06-28;0,6227
2000-06-29;0,6201
2000-06-30;0,6193
2000-07-03;0,6218
2000-07-04;0,6216
2000-07-05;0,6213
2000-07-06;0,6220
2000-07-07;0,6245
2000-07-10;0,6219
2000-07-11;0,6240
2000-07-12;0,6253
2000-07-13;0,6278
2000-07-14;0,6280
2000-07-17;0,6294
2000-07-18;0,6343
2000-07-19;0,6333
2000-07-20;0,6285
2000-07-21;0,6295
2000-07-24;0,6318
2000-07-25;0,6308
2000-07-26;0,6301
2000-07-27;0,6319
2000-07-28;0,6365
2000-07-31;0,6351
2000-08-01;0,6363
2000-08-02;0,6402
2000-08-03;0,6422
2000-08-04;0,6440
2000-08-07;0,6422
2000-08-08;0,6449
2000-08-09;0,6453
2000-08-10;0,6436
2000-08-11;0,6470
2000-08-14;0,6448
2000-08-15;0,6424
2000-08-16;0,6415
2000-08-17;0,6424
2000-08-18;0,6463
2000-08-21;0,6483
2000-08-22;0,6498
2000-08-23;0,6505
2000-08-24;0,6490
2000-08-25;0,6496
2000-08-28;0,6509
2000-08-29;0,6555
2000-08-30;0,6538
2000-08-31;0,6558
2000-09-01;0,6535
2000-09-04;0,6529
2000-09-05;0,6547
2000-09-06;0,6594
2000-09-07;0,6612
2000-09-08;0,6624
2000-09-11;0,6680
2000-09-12;0,6681
2000-09-13;0,6678
2000-09-14;0,6649
2000-09-15;0,6707
2000-09-18;0,6711
2000-09-19;0,6735
2000-09-20;0,6734
2000-09-21;0,6688
2000-09-22;0,6634
2000-09-25;0,6673
2000-09-26;0,6655
2000-09-27;0,6643
2000-09-28;0,6651
2000-09-29;0,6649
2000-10-02;0,6681
2000-10-03;0,6683
2000-10-04;0,6682
2000-10-05;0,6706
2000-10-06;0,6715
2000-10-09;0,6711
2000-10-10;0,6718
2000-10-11;0,6702
2000-10-12;0,6747
