date;rate
2000-01-03;6,1315
2000-01-04;6,0900
2000-01-05;6,0684
2000-01-06;6,0788
2000-01-07;6,0575
2000-01-10;6,0750
2000-01-11;6,0925
2000-01-12;6,0650
2000-01-13;6,0618
2000-01-14;6,0725
2000-01-17;6,0760
2000-01-18;6,0915
2000-01-19;6,1123
2000-01-20;6,0978
2000-01-21;6,1325
2000-01-24;6,1630
2000-01-25;6,1565
2000-01-26;6,1700
2000-01-27;6,2210
2000-01-28;6,3375
2000-01-31;6,3060
2000-02-01;6,2560
2000-02-02;6,2875
2000-02-03;6,2545
2000-02-04;6,2575
2000-02-07;6,2845
2000-02-08;6,2875
2000-02-09;6,3325
2000-02-10;6,3200
2000-02-11;6,3345
2000-02-14;6,3355
2000-02-15;6,3488
2000-02-16;6,3233
2000-02-17;6,3075
2000-02-18;6,3225
2000-02-21;6,2900
2000-02-22;6,3090
2000-02-23;6,3235
2000-02-24;6,3335
2000-02-25;6,2825
2000-02-28;6,3575
2000-02-29;6,3340
2000-03-01;6,3465
2000-03-02;6,3805
2000-03-03;6,4538
2000-03-06;6,4950
2000-03-07;6,5310
2000-03-08;6,4700
2000-03-09;6,3910
2000-03-10;6,3950
2000-03-13;6,4275
2000-03-14;6,4281
2000-03-15;6,4668
2000-03-16;6,4415
2000-03-17;6,4721
2000-03-20;6,4785
2000-03-21;6,4925
2000-03-22;6,4565
2000-03-23;6,4775
2000-03-24;6,4795
2000-03-27;6,4720
2000-03-28;6,4850
2000-03-29;6,5125
2000-03-30;6,5913
2000-03-31;6,5250
2000-04-03;6,5590
2000-04-04;6,5575
2000-04-05;6,5880
2000-04-06;6,5815
2000-04-07;6,5615
2000-04-10;6,5655
2000-04-11;6,5900
2000-04-12;6,5875
2000-04-13;6,5705
2000-04-14;6,5955
2000-04-17;6,6130
2000-04-18;6,5865
2000-04-19;6,6565
2000-04-20;6,7150
2000-04-21;6,7326
2000-04-24;6,7250
2000-04-25;6,7375
2000-04-26;6,8090
2000-04-27;6,8460
2000-04-28;6,7885
2000-05-01;6,7800
2000-05-02;6,7700
2000-05-03;6,8375
2000-05-04;6,9700
2000-05-05;6,9600
2000-05-08;6,9600
2000-05-09;7,0850
2000-05-10;7,0413
2000-05-11;7,0100
2000-05-12;7,0252
2000-05-15;7,0575
2000-05-16;7,0525
2000-05-17;7,1093
2000-05-18;7,1375
2000-05-19;7,1683
2000-05-22;7,1100
2000-05-23;7,0875
2000-05-24;7,1108
2000-05-25;7,1500
2000-05-26;7,1185
2000-05-29;7,1000
2000-05-30;6,9973
2000-05-31;6,9680
2000-06-01;6,9750
2000-06-02;6,9338
2000-06-05;6,9035
2000-06-06;6,9538
2000-06-07;6,9838
2000-06-08;7,0488
2000-06-09;7,0070
2000-06-12;7,0200
2000-06-13;7,0150
2000-06-14;6,9310
2000-06-15;6,8928
2000-06-16;6,8300
2000-06-19;6,8535
2000-06-20;6,8976
2000-06-21;6,9200
2000-06-22;6,9225
2000-06-23;6,8850
2000-06-26;6,8850
2000-06-27;6,8085
2000-06-28;6,8075
2000-06-29;6,8250
2000-06-30;6,7950
2000-07-03;6,8100
2000-07-04;6,7850
2000-07-05;6,7875
2000-07-06;6,8650
2000-07-07;6,8585
2000-07-10;6,8225
2000-07-11;6,8025
2000-07-12;6,8350
2000-07-13;6,8600
2000-07-14;6,8875
2000-07-17;6,9150
2000-07-18;6,9558
2000-07-19;6,9775
2000-07-20;6,9175
2000-07-21;6,9135
2000-07-24;6,9463
2000-07-25;6,9575
2000-07-26;6,9250
2000-07-27;6,9413
2000-07-28;6,9550
2000-07-31;6,9538
2000-08-01;7,0175
2000-08-02;6,9860
2000-08-03;6,9900
2000-08-04;6,9560
2000-08-07;6,9675
2000-08-08;6,9805
2000-08-09;6,9950
2000-08-10;6,9500
2000-08-11;6,8900
2000-08-14;6,9185
2000-08-15;6,9325
2000-08-16;6,9475
2000-08-17;6,9163
2000-08-18;6,9363
2000-08-21;6,9635
2000-08-22;6,9844
2000-08-23;6,9620
2000-08-24;6,9290
2000-08-25;6,9125
2000-08-28;6,9460
2000-08-29;6,9568
2000-08-30;6,9555
2000-08-31;6,9785
2000-09-01;6,9450
2000-09-04;6,9565
2000-09-05;7,0275
2000-09-06;7,0888
2000-09-07;7,0925
2000-09-08;7,0940
2000-09-11;7,1220
2000-09-12;7,1375
2000-09-13;7,1145
2000-09-14;7,1365
2000-09-15;7,2010
2000-09-18;7,2900
2000-09-19;7,2750
2000-09-20;7,3338
2000-09-21;7,3185
2000-09-22;7,2291
2000-09-25;7,2535
2000-09-26;7,1905
2000-09-27;7,2425
2000-09-28;7,3038
2000-09-29;7,2350
2000-10-02;7,2135
2000-10-03;7,2175
2000-10-04;7,2325
2000-10-05;7,2850
2000-10-06;7,2975
2000-10-09;7,3369
2000-10-10;7,3625
2000-10-11;7,3980
2000-10-12;7,4750
2000-10-13;7,4725
2000-10-16;7,5756
2000-10-17;7,5550
2000-10-18;7,7100
2000-10-19;7,6725
2000-10-20;7,5730
2000-10-23;7,5903
2000-10-24;7,6120
2000-10-25;7,6800
2000-10-26;7,6635
2000-10-27;7,6013
2000-10-30;7,5770
2000-10-31;7,5500
2000-11-01;7,4850
2000-11-02;7,5200
2000-11-03;7,5375
2000-11-06;7,5469
2000-11-07;7,6175
2000-11-08;7,6739
2000-11-09;7,7550
2000-11-10;7,5994
2000-11-13;7,6594
2000-11-14;7,6450
2000-11-15;7,6860
2000-11-16;7,6878
2000-11-17;7,7088
2000-11-20;7,7650
2000-11-21;7,8225
2000-11-22;7,7983
2000-11-23;7,8350
2000-11-24;7,8255
2000-11-27;7,7550
2000-11-28;7,7800
2000-11-29;7,7870
2000-11-30;7,7444
2000-12-01;7,6656
2000-12-04;7,6475
2000-12-05;7,6519
2000-12-06;7,5705
2000-12-07;7,6225
2000-12-08;7,6500
2000-12-11;7,6613
2000-12-12;7,7305
2000-12-13;7,7550
2000-12-14;7,6975
2000-12-15;7,6900
2000-12-18;7,6845
2000-12-19;7,7150
2000-12-20;7,6275
2000-12-21;7,6285
2000-12-22;7,5612
2000-12-25;7,5612
2000-12-26;7,5073
2000-12-27;7,5375
2000-12-28;7,5650
2000-12-29;7,5788
2001-01-01;7,5853
2001-01-02;7,5625
2001-01-03;7,5750
2001-01-04;7,5325
2001-01-05;7,5175
2001-01-08;7,5950
2001-01-09;7,7325
2001-01-10;7,9350
2001-01-11;7,8400
2001-01-12;7,8250
2001-01-15;7,8441
2001-01-16;7,7900
2001-01-17;7,8300
2001-01-18;7,8675
2001-01-19;7,9025
2001-01-22;7,8800
2001-01-23;7,8270
2001-01-24;7,8850
2001-01-25;7,8900
2001-01-26;7,8800
2001-01-29;7,8775
2001-01-30;7,7850
2001-01-31;7,7350
2001-02-01;7,7350
2001-02-02;7,7725
2001-02-05;7,7650
2001-02-06;7,7830
2001-02-07;7,8950
2001-02-08;7,9825
2001-02-09;7,8775
2001-02-12;7,8313
2001-02-13;7,9350
2001-02-14;7,8890
2001-02-15;7,8650
2001-02-16;7,8300
2001-02-19;7,7425
2001-02-20;7,7550
2001-02-21;7,8050
2001-02-22;7,8350
2001-02-23;7,8175
2001-02-26;7,7900
2001-02-27;7,7125
2001-02-28;7,6713
2001-03-01;7,7050
2001-03-02;7,7425
2001-03-05;7,7725
2001-03-06;7,8723
2001-03-07;7,9238
2001-03-08;7,7150
2001-03-09;7,7350
2001-03-12;7,7700
